feature_set,mode,ridge_lambda,is_baseline_model,is_baseline_family,n_days,mean_rank_ic,p10_rank_ic,p50_rank_ic,average_daily_turnover,block_bootstrap_positive_probability,cagr,max_drawdown,utility,mean_daily_excess,hac_t_stat,turnover_gate_pass,bootstrap_gate_pass,both_gates_pass
TECH2,BREADTH_REGIME,0.1,false,true,1972,0.11471534823948187,-0.16052201597290142,0.11652350462114441,0.020450275367238705,0.8066,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.00012055807150796657,0.7734100331411837,true,true,true
TECH2,BREADTH_REGIME,1.0,true,true,1972,0.1147150373836749,-0.16052201597290142,0.11652350462114441,0.020450275367238705,0.8066,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.00012055807150796657,0.7734100331411837,true,true,true
TECH2,BREADTH_REGIME,10.0,false,true,1972,0.11470599229331586,-0.16029784967743516,0.11653061605464052,0.020450275367238705,0.8066,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.00012055807150796657,0.7734100331411837,true,true,true
TECH2,BREADTH_REGIME,100.0,false,true,1972,0.11469308576641205,-0.1598388811356897,0.11617566711000268,0.020362367667319244,0.7928,0.10329316867166027,-0.30878489150165,-0.05109927707916473,0.00011257257542619831,0.7262871573115104,true,true,true
PRICE8,BREADTH_REGIME,100.0,false,false,1972,0.11168584810918926,-0.14012161261221218,0.11475478867670028,0.01963843995347821,0.5282,0.0763185726446387,-0.2988802764216183,-0.07312156556617044,8.2908673113582e-6,0.05837412437775297,true,false,false
PRICE8,BREADTH_REGIME,10.0,false,false,1972,0.11181438675488067,-0.1378402440243284,0.11643573446066256,0.019669182072047108,0.515,0.07552179102592227,-0.3048549304823248,-0.07690567421524014,5.327005213409049e-6,0.03672822993857247,true,false,false
PRICE8,BREADTH_REGIME,1.0,false,false,1972,0.11180044639972739,-0.13725151312112005,0.11682818699191255,0.019631292993022645,0.51,0.07464219594936439,-0.31654031864628496,-0.08362796337377809,3.118766321854192e-6,0.021451147159169827,true,false,false
PRICE8,BREADTH_REGIME,0.1,false,false,1972,0.11179620995130035,-0.13710756393977871,0.11673112541595587,0.019631292993022645,0.51,0.07464219594936439,-0.31654031864628496,-0.08362796337377809,3.118766321854192e-6,0.021451147159169827,true,false,false
TECH2,GLOBAL,10.0,false,false,1972,0.060362418008905086,-0.20859599153110606,0.05452686786079382,0.006007404744462465,0.146,0.03649052156940691,-0.2656404483354009,-0.09632970259829354,-0.0001661701777379527,-1.0166318091374364,true,false,false
TECH2,GLOBAL,0.1,false,false,1972,0.06035913691796172,-0.20859599153110606,0.05452686786079382,0.006007404744462465,0.146,0.03649052156940691,-0.2656404483354009,-0.09632970259829354,-0.0001661701777379527,-1.0166318091374364,true,false,false
TECH2,GLOBAL,1.0,false,false,1972,0.0603587961536488,-0.20859599153110606,0.05452686786079382,0.006007404744462465,0.146,0.03649052156940691,-0.2656404483354009,-0.09632970259829354,-0.0001661701777379527,-1.0166318091374364,true,false,false
TECH2,GLOBAL,100.0,false,false,1972,0.06035152110250348,-0.20859599153110606,0.05472598782168096,0.006007404744462465,0.146,0.03649052156940691,-0.2656404483354009,-0.09632970259829354,-0.0001661701777379527,-1.0166318091374364,true,false,false
PRICE8,GLOBAL,100.0,false,false,1972,0.06488611374623107,-0.19376450011394625,0.06830559283486044,0.0158475313963003,0.1356,0.03915279692786444,-0.2706476843863894,-0.09617104526533027,-0.0001473708951105871,-1.0386910075194182,true,false,false
PRICE8,GLOBAL,10.0,false,false,1972,0.06479581274246601,-0.19398584346539233,0.06890439575092228,0.015371201191390328,0.13,0.038632836293224226,-0.26742557031338965,-0.0950799488634706,-0.0001518660940754387,-1.0616667081948528,true,false,false
PRICE8,GLOBAL,1.0,false,false,1972,0.06479187776886372,-0.1939933104639256,0.06881615158871926,0.015371201191390328,0.13,0.038632836293224226,-0.26742557031338965,-0.0950799488634706,-0.0001518660940754387,-1.0616667081948528,true,false,false
PRICE8,GLOBAL,0.1,false,false,1972,0.06479052187900594,-0.19386516679160906,0.06889233515483573,0.015371201191390328,0.13,0.038632836293224226,-0.26742557031338965,-0.0950799488634706,-0.0001518660940754387,-1.0616667081948528,true,false,false
