date,nav,cash,positions,stale_positions,turnover,cumulative_cost
2023-01-03,1.0,1.0,0,0,0.0,0.0
2023-01-04,0.9980786985053777,2.914335439641036e-16,22,0,0.9980786985053769,0.001921301494622851
2023-01-05,1.004000084234363,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-01-06,1.0019010320031,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-01-09,1.015872593092786,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-01-10,1.0227044435654074,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-01-11,1.0250168715644894,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-01-12,1.0232655663080759,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-01-13,1.0212164612532595,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-01-16,1.0197164630387552,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-01-17,1.0205299884335621,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-01-30,1.0415762427576583,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-01-31,1.0470345728420258,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-01,1.050620188951434,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-02,1.061093035563051,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-03,1.0616547622462535,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-06,1.0559316396972063,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-07,1.053124996825713,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-08,1.0615045588685068,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-09,1.0576165493746004,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-10,1.0614439379769227,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-13,1.0558665713527478,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-14,1.0647955762014536,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-15,1.0672931144252245,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-16,1.071802961186384,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-17,1.0723231687495283,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-20,1.081757935075006,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-21,1.0897842421548654,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-22,1.0865785990995507,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-23,1.0905143882791648,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-24,1.101969378023728,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-01,1.0813872242262483,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-02,1.0853942369662948,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-03,1.0934093089632193,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-06,1.0987758513059633,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-07,1.107219410040844,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-08,1.1151316439563386,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-09,1.1235659833414051,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-10,1.104128953921898,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-13,1.0946357780828482,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-14,1.0985385962740568,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-15,1.1038014412360062,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-16,1.0908121999782476,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-17,1.089255358703628,1.3877787807814457e-17,22,0,0.5101021675196028,0.003830538933505515
2023-03-20,1.099351461684029,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-03-21,1.1034932390927792,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-03-22,1.1076294904234771,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-03-23,1.10430800062175,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-03-24,1.1150640738875792,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-03-27,1.112713631336327,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-03-28,1.113116212214475,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-03-29,1.106676391476404,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-03-30,1.11295847758942,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-03-31,1.117017218911227,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-04-06,1.1165970953363686,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-04-07,1.1151284667560148,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-04-10,1.1150282634311894,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-04-11,1.1257241216476588,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-04-12,1.134243917835938,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-04-13,1.143439028981333,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-04-14,1.1394136830923105,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-04-17,1.1422508359222905,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-04-18,1.1481598079529478,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-04-19,1.1407652938358803,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-04-20,1.135405988304249,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-04-21,1.1287814011917947,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-04-24,1.1137617811774319,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-04-25,1.121913297800378,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-04-26,1.0976318898351338,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-04-27,1.1029002478795065,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-04-28,1.1196787435246989,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-05-02,1.1299601717710406,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-05-03,1.1339284424198512,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-05-04,1.1328427336600777,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-05-05,1.1439394133182974,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-05-08,1.1442193570611117,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-05-09,1.1432092827940912,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
2023-05-10,1.1375085109082737,1.3877787807814457e-17,22,0,0.0,0.003830538933505515
