challenger,cagr,max_drawdown,utility,average_daily_turnover,block_bootstrap_positive_probability,mean_gross_exposure,turnover_gate_pass,bootstrap_gate_pass,s_n_days,s_n_crisis_days,s_crisis_day_share,s_crisis_mean_excess,s_crisis_hit_rate,s_crisis_sum_excess,s_crisis_strategy_compound,s_other_mean_excess,s_all_mean_excess,both_gates_pass,detector,is_baseline,controller,stress_day_share
BASE::VOL_ROLLP70_NONCRISIS,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.020450275367238705,0.8066,0.9994929006085193,true,true,1971,652,0.33079654997463215,-0.0001648007476958634,0.4662576687116564,-0.10745008749770293,0.5078472975588051,0.0002616148949506483,0.00012055807150796657,true,VOL_ROLLP70_NONCRISIS,true,BASE_FULL,0.3306288032454361
FREEZE_REB::VOL_ROLLP70_NONCRISIS,0.1058115075866295,-0.31415551165909494,-0.05126624824291798,0.01610727868834361,0.8046,0.9994929006085193,true,true,1971,652,0.33079654997463215,-0.00012653035622010362,0.455521472392638,-0.08249779225550756,0.5480928694002645,0.0002454626253876136,0.00012240863045700397,true,VOL_ROLLP70_NONCRISIS,false,FREEZE_REB,0.3306288032454361
ORTH_DEF::VOL_ROLLP70_NONCRISIS,0.09110608239711104,-0.2617598629559912,-0.03977384908088455,0.023549343945197396,0.6828,0.9994929006085193,true,false,1971,652,0.33079654997463215,-0.00019330450427055589,0.4539877300613497,-0.12603453678440243,0.48248872061458536,0.00019163456044720607,0.00006429804588810884,false,VOL_ROLLP70_NONCRISIS,false,ORTH_DEF,0.3306288032454361
ORTH_DEF_FREEZE::VOL_ROLLP70_NONCRISIS,0.1058115075866295,-0.31415551165909494,-0.05126624824291798,0.01610727868834361,0.8046,0.9994929006085193,true,true,1971,652,0.33079654997463215,-0.00012653035622010379,0.455521472392638,-0.08249779225550767,0.5480928694002662,0.0002454626253876136,0.00012240863045700392,true,VOL_ROLLP70_NONCRISIS,false,ORTH_DEF_FREEZE,0.3306288032454361
BASE::VOL_ROLLP80_NONCRISIS,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.020450275367238705,0.8066,0.9994929006085193,true,true,1971,496,0.25164890918315574,-0.00006846713911542418,0.46774193548387094,-0.0339597010012504,0.34084367673302585,0.00018412180335149316,0.00012055807150796657,true,VOL_ROLLP80_NONCRISIS,true,BASE_FULL,0.2515212981744422
FREEZE_REB::VOL_ROLLP80_NONCRISIS,0.09923411587013375,-0.31415551165909494,-0.05784363995941372,0.016977125292843218,0.7506,0.9994929006085193,true,true,1971,496,0.25164890918315574,-0.00008795529939570545,0.4536290322580645,-0.0436258285002699,0.3292185163948811,0.00016174509370318083,0.00009890826215724088,true,VOL_ROLLP80_NONCRISIS,false,FREEZE_REB,0.2515212981744422
ORTH_DEF::VOL_ROLLP80_NONCRISIS,0.0920279729057194,-0.26179323501573604,-0.038868644602148616,0.022784756246903046,0.6854,0.9994929006085193,true,false,1971,496,0.25164890918315574,-0.000291860516137674,0.4495967741935484,-0.1447628160042863,0.2020407873355674,0.00018710674170830744,0.00006657515373691888,false,VOL_ROLLP80_NONCRISIS,false,ORTH_DEF,0.2515212981744422
ORTH_DEF_FREEZE::VOL_ROLLP80_NONCRISIS,0.09923411587013375,-0.31415551165909494,-0.05784363995941372,0.016977125292843225,0.7506,0.9994929006085193,true,true,1971,496,0.25164890918315574,-0.00008795529939570494,0.4536290322580645,-0.04362582850026965,0.3292185163948762,0.0001617450937031806,0.00009890826215724088,true,VOL_ROLLP80_NONCRISIS,false,ORTH_DEF_FREEZE,0.2515212981744422
BASE::COMBO_VOL70_VAL03,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.020450275367238705,0.8066,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.00003618134362870352,0.47619047619047616,0.008357890378230513,0.024205838101660104,0.00013175980951952393,0.00012055807150796657,true,COMBO_VOL70_VAL03,true,BASE_FULL,0.11713995943204868
FREEZE_REB::COMBO_VOL70_VAL03,0.10436926740564134,-0.3023731520676275,-0.046817308628172405,0.01927072563991813,0.7846,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.00015835605378573597,0.47619047619047616,0.03658024842450501,0.055247807974267094,0.00010918161950364001,0.00011494483326272889,true,COMBO_VOL70_VAL03,false,FREEZE_REB,0.11713995943204868
ORTH_DEF::COMBO_VOL70_VAL03,0.11013487722199478,-0.3023731520676275,-0.04105169881181897,0.021412265860797444,0.829,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.00012737792771346307,0.4675324675324675,0.029424301301809966,0.04622466178553153,0.0001381469352005721,0.0001368848140795563,true,COMBO_VOL70_VAL03,false,ORTH_DEF,0.11713995943204868
ORTH_DEF_FREEZE::COMBO_VOL70_VAL03,0.10436926740564134,-0.3023731520676275,-0.046817308628172405,0.01927072563991813,0.7846,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.0001583560537857341,0.47619047619047616,0.03658024842450458,0.05524780797426687,0.00010918161950363972,0.00011494483326272839,true,COMBO_VOL70_VAL03,false,ORTH_DEF_FREEZE,0.11713995943204868
BASE::COMBO_VOL80_VAL05,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.020450275367238705,0.8066,0.9994929006085193,true,true,1971,164,0.08320649416539827,-0.00009369598956629427,0.4573170731707317,-0.015366142288872259,-0.07550928845439897,0.00014000337644221047,0.00012055807150796657,true,COMBO_VOL80_VAL05,true,BASE_FULL,0.08316430020283976
FREEZE_REB::COMBO_VOL80_VAL05,0.10779889494633865,-0.3023731520676275,-0.043387681087475094,0.01946086528610225,0.8102,0.9994929006085193,true,true,1971,164,0.08320649416539827,0.00003616377641441936,0.4634146341463415,0.005930859331964775,-0.054104834787693346,0.00013556275546302315,0.00012729211489276892,true,COMBO_VOL80_VAL05,false,FREEZE_REB,0.08316430020283976
ORTH_DEF::COMBO_VOL80_VAL05,0.1103513730553054,-0.3023731520676275,-0.040835202978508345,0.02078209074405012,0.8278,0.9994929006085193,true,true,1971,164,0.08320649416539827,0.000027582294223338314,0.4573170731707317,0.004523496252627483,-0.055784057414760446,0.00014649353152872737,0.0001365993443556762,true,COMBO_VOL80_VAL05,false,ORTH_DEF,0.08316430020283976
ORTH_DEF_FREEZE::COMBO_VOL80_VAL05,0.10779889494633865,-0.3023731520676275,-0.043387681087475094,0.019460865286102254,0.8102,0.9994929006085193,true,true,1971,164,0.08320649416539827,0.0000361637764144191,0.4634146341463415,0.005930859331964732,-0.05410483478769201,0.0001355627554630233,0.00012729211489276909,true,COMBO_VOL80_VAL05,false,ORTH_DEF_FREEZE,0.08316430020283976
BASE::ALPHA_STRESS_RISKON_MOMWEAK,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.020450275367238705,0.8066,0.9994929006085193,true,true,1971,279,0.1415525114155251,0.00006251712106557198,0.5017921146953405,0.017442276777294582,0.24962605468803312,0.00013012865376176561,0.00012055807150796657,true,ALPHA_STRESS_RISKON_MOMWEAK,true,BASE_FULL,0.14148073022312374
FREEZE_REB::ALPHA_STRESS_RISKON_MOMWEAK,0.10053524082727594,-0.30872538050643983,-0.053827449425943974,0.019908475995546963,0.7684,0.9994929006085193,true,true,1971,279,0.1415525114155251,0.00003023522221308199,0.5232974910394266,0.008435626997449874,0.23851577618509867,0.00011549230392646425,0.00010342394989397633,true,ALPHA_STRESS_RISKON_MOMWEAK,false,FREEZE_REB,0.14148073022312374
ORTH_DEF::ALPHA_STRESS_RISKON_MOMWEAK,0.09354765199567483,-0.3041677080377816,-0.058536202023215966,0.022682742713842262,0.7228,0.9994929006085193,true,true,1971,279,0.1415525114155251,-0.00010867670739133035,0.48028673835125446,-0.03032080136218117,0.18906733083486893,0.0001097951050318575,0.00007886987130985371,true,ALPHA_STRESS_RISKON_MOMWEAK,false,ORTH_DEF,0.14148073022312374
ORTH_DEF_FREEZE::ALPHA_STRESS_RISKON_MOMWEAK,0.10053524082727572,-0.30872538050643994,-0.05382744942594425,0.019908475995546963,0.7684,0.9994929006085193,true,true,1971,279,0.1415525114155251,0.000030235222213085617,0.5232974910394266,0.008435626997450887,0.23851577618509956,0.00011549230392646274,0.00010342394989397564,true,ALPHA_STRESS_RISKON_MOMWEAK,false,ORTH_DEF_FREEZE,0.14148073022312374
