date,nav,cash,positions,stale_positions,turnover,cumulative_cost
2023-01-03,1.0,1.0,0,0,0.0,0.0
2023-01-04,0.9980786985053777,2.914335439641036e-16,22,0,0.9980786985053769,0.001921301494622851
2023-01-05,1.0052466555924535,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-01-06,1.0069352709285413,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-01-09,1.0193072354268533,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-01-10,1.027574208016021,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-01-11,1.0287039213141163,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-01-12,1.0252355285247474,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-01-13,1.0242478493095313,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-01-16,1.0264817834921849,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-01-17,1.0278600393752408,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-01-30,1.050016017843246,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-01-31,1.0488114610021417,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-01,1.0466733884950397,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-02,1.0551012468725585,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-03,1.0546718726679316,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-06,1.0512882616886996,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-07,1.0506777848512105,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-08,1.0565604092414387,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-09,1.052883641161457,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-10,1.054882942433192,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-13,1.0543015980255517,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-14,1.0648131728836892,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-15,1.0669599561235308,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-16,1.0696458359375351,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-17,1.0697159604225035,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-20,1.0762081036422524,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-21,1.0827046934483016,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-22,1.0791402461730268,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-23,1.0818477108517663,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-02-24,1.0900982253839853,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-01,1.072197992327123,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-02,1.0799733809876069,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-03,1.0869297831154967,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-06,1.0915950791515951,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-07,1.097423013411848,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-08,1.100106880611077,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-09,1.1070632766607233,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-10,1.0882435062641744,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-13,1.0751649373983727,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-14,1.0753510103083763,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-15,1.0796850221097232,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-16,1.0702247074196634,2.914335439641036e-16,22,0,0.0,0.001921301494622851
2023-03-17,1.069740538311774,1.3877787807814457e-17,22,0,0.6728417996899214,0.004395915181051555
2023-03-20,1.0748768673271656,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-03-21,1.0808933828765714,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-03-22,1.0863315127397135,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-03-23,1.0853907638440845,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-03-24,1.0973282230885857,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-03-27,1.0966997407456265,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-03-28,1.0961985024623337,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-03-29,1.0903100488446855,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-03-30,1.0946762395773966,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-03-31,1.0986072636499888,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-04-06,1.1012576488480912,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-04-07,1.0985403948755992,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-04-10,1.0956616787671043,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-04-11,1.104962263585774,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-04-12,1.1146904166821598,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-04-13,1.1184543640564355,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-04-14,1.1146410945424594,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-04-17,1.1197094507925347,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-04-18,1.12172515172006,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-04-19,1.11912136816746,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-04-20,1.1123922366022794,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-04-21,1.1084507834839923,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-04-24,1.0996310153640907,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-04-25,1.1075917093014325,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-04-26,1.0847953107954307,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-04-27,1.0911497344357186,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-04-28,1.1013245010426127,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-05-02,1.109956910208666,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-05-03,1.1171390072790415,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-05-04,1.115395159879836,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-05-05,1.1257319700111452,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-05-08,1.129906602520578,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
2023-05-09,1.1311948699018628,1.3877787807814457e-17,22,0,0.0,0.004395915181051555
