signal_date,execution_date,code,side,gross_value,cost
2023-01-03,2023-01-04,1216,BUY,0.049903934925268865,0.00009606507473114258
2023-01-03,2023-01-04,2412,BUY,0.049903934925268865,0.00009606507473114258
2023-01-03,2023-01-04,2002,BUY,0.049903934925268865,0.00009606507473114258
2023-01-03,2023-01-04,3034,BUY,0.049903934925268865,0.00009606507473114258
2023-01-03,2023-01-04,4938,BUY,0.049903934925268865,0.00009606507473114258
2023-01-03,2023-01-04,1513,BUY,0.049903934925268865,0.00009606507473114258
2023-01-03,2023-01-04,2308,BUY,0.049903934925268865,0.00009606507473114258
2023-01-03,2023-01-04,2885,BUY,0.049903934925268865,0.00009606507473114258
2023-01-03,2023-01-04,3293,BUY,0.049903934925268865,0.00009606507473114258
2023-01-03,2023-01-04,2317,BUY,0.049903934925268865,0.00009606507473114258
2023-01-03,2023-01-04,1301,BUY,0.049903934925268865,0.00009606507473114258
2023-01-03,2023-01-04,3231,BUY,0.049903934925268865,0.00009606507473114258
2023-01-03,2023-01-04,2881,BUY,0.049903934925268865,0.00009606507473114258
2023-01-03,2023-01-04,1102,BUY,0.049903934925268865,0.00009606507473114258
2023-01-03,2023-01-04,2891,BUY,0.049903934925268865,0.00009606507473114258
2023-01-03,2023-01-04,2347,BUY,0.049903934925268865,0.00009606507473114258
2023-01-03,2023-01-04,2371,BUY,0.049903934925268865,0.00009606507473114258
2023-01-03,2023-01-04,2886,BUY,0.049903934925268865,0.00009606507473114258
2023-01-03,2023-01-04,1101,BUY,0.049903934925268865,0.00009606507473114258
2023-01-03,2023-01-04,3711,BUY,0.049903934925268865,0.00009606507473114258
2023-03-16,2023-03-17,1216,SELL,0.05201786862860853,0.000256188002995897
2023-03-16,2023-03-17,3034,SELL,0.009886430363565638,0.000048690669540560774
2023-03-16,2023-03-17,4938,SELL,0.05337825950867365,0.00026288792808021777
2023-03-16,2023-03-17,1513,SELL,0.011261506384780698,0.00005546291894504494
2023-03-16,2023-03-17,2885,SELL,0.05001918650708242,0.00024634449354738093
2023-03-16,2023-03-17,3293,SELL,0.01018113146605093,0.00005014207247030083
2023-03-16,2023-03-17,3231,SELL,0.005640981316496423,0.000027781832983744885
2023-03-16,2023-03-17,1102,SELL,0.05285392122626998,0.00026030556203937967
2023-03-16,2023-03-17,2347,SELL,0.05150829154723183,0.0002536783358701168
2023-03-16,2023-03-17,2371,SELL,0.04616473519023433,0.0002273613208119041
2023-03-16,2023-03-17,1101,SELL,0.00044530000519865665,2.1931025256033843e-6
2023-03-16,2023-03-17,3711,SELL,0.004299203993017579,0.00002117357966561158
2023-03-16,2023-03-17,2412,BUY,0.00150105089808185,2.8895229788075614e-6
2023-03-16,2023-03-17,2002,BUY,0.002583295846022221,4.972844503592775e-6
2023-03-16,2023-03-17,2308,BUY,0.0037294737212775243,7.179236913459234e-6
2023-03-16,2023-03-17,2317,BUY,0.0013740583270177617,2.6450622795091913e-6
2023-03-16,2023-03-17,1301,BUY,0.0028749710910825474,5.5343193503339036e-6
2023-03-16,2023-03-17,2881,BUY,0.004779986858861995,9.20147470330934e-6
2023-03-16,2023-03-17,2891,BUY,0.006268264923634018,0.000012066409977995486
2023-03-16,2023-03-17,2886,BUY,0.001375721953150693,2.648264759815084e-6
2023-03-16,2023-03-17,2303,BUY,0.05346551980157181,0.00010292112561802575
2023-03-16,2023-03-17,2382,BUY,0.05346551980157181,0.00010292112561802575
2023-03-16,2023-03-17,2474,BUY,0.05346551980157181,0.00010292112561802575
2023-03-16,2023-03-17,2301,BUY,0.05346551980157181,0.00010292112561802575
2023-03-16,2023-03-17,2892,BUY,0.05346551980157181,0.00010292112561802575
2023-03-16,2023-03-17,4904,BUY,0.05346551980157181,0.00010292112561802575
2023-05-19,2023-05-22,3034,SELL,0.05211140725598942,0.00025664868073574794
2023-05-19,2023-05-22,1513,SELL,0.062246843226940095,0.00030656570289268
2023-05-19,2023-05-22,3293,SELL,0.05277233598982668,0.00025990375474989645
2023-05-19,2023-05-22,3231,SELL,0.02284685845104746,0.00011252077787140875
2023-05-19,2023-05-22,2881,SELL,0.000882229215429714,4.344978885991342e-6
2023-05-19,2023-05-22,2891,SELL,0.0038168461121989294,0.00001879796710257973
2023-05-19,2023-05-22,2886,SELL,0.0018152108167837216,8.93991327265983e-6
2023-05-19,2023-05-22,2382,SELL,0.016344808155768276,0.00008049818016715877
2023-05-19,2023-05-22,2474,SELL,0.05476603244539382,0.0002697227097935646
2023-05-19,2023-05-22,2301,SELL,0.0023256518467588763,0.000011453835345287468
2023-05-19,2023-05-22,2892,SELL,0.05780056194764518,0.00028466776759215255
2023-05-19,2023-05-22,4904,SELL,0.05933093547600591,0.0002922048572193291
2023-05-19,2023-05-22,2412,BUY,0.0013805527481678883,2.657564040223185e-6
2023-05-19,2023-05-22,2002,BUY,0.00723384245738921,0.00001392514673047423
2023-05-19,2023-05-22,2308,BUY,0.0015446787697639193,2.973506631795545e-6
2023-05-19,2023-05-22,2317,BUY,0.005232811022430571,0.000010073161218178849
2023-05-19,2023-05-22,1301,BUY,0.00172615389861161,3.3228462548273496e-6
2023-05-19,2023-05-22,1101,BUY,0.0029187918787465265,5.618674366587064e-6
2023-05-19,2023-05-22,3711,BUY,0.004963921051484314,9.555548024107305e-6
2023-05-19,2023-05-22,2303,BUY,0.008836058966599255,0.000017009413510703566
2023-05-19,2023-05-22,1216,BUY,0.05842944085305611,0.00011247667364213301
2023-05-19,2023-05-22,2330,BUY,0.05842944085305611,0.00011247667364213301
2023-05-19,2023-05-22,1303,BUY,0.05842944085305611,0.00011247667364213301
2023-05-19,2023-05-22,2882,BUY,0.05842944085305611,0.00011247667364213301
2023-05-19,2023-05-22,2618,BUY,0.05842944085305611,0.00011247667364213301
2023-05-19,2023-05-22,2206,BUY,0.05842944085305611,0.00011247667364213301
2023-07-20,2023-07-21,2002,SELL,0.05858294299212884,0.0002885209942362346
2023-07-20,2023-07-21,3231,SELL,0.14902382667055278,0.0007339423463524725
2023-07-20,2023-07-21,1101,SELL,0.05741402812273966,0.00028276408850449287
2023-07-20,2023-07-21,2382,SELL,0.04000121154601148,0.00019700596686410656
2023-07-20,2023-07-21,2301,SELL,0.027463403334404335,0.00013525726142194137
2023-07-20,2023-07-21,1216,SELL,0.05819665423611169,0.0002866185221128501
2023-07-20,2023-07-21,1303,SELL,0.05356192551161507,0.00026379248314470426
2023-07-20,2023-07-21,2618,SELL,0.004636231239212932,0.00002283343885312369
2023-07-20,2023-07-21,2206,SELL,0.06898497284215732,0.0003397509912476248
2023-07-20,2023-07-21,2412,BUY,0.014122017552726396,0.000027184883788998313
2023-07-20,2023-07-21,2308,BUY,0.0007639720125719459,1.4706461242009958e-6
2023-07-20,2023-07-21,2317,BUY,0.005784577889099233,0.000011135312436516025
2023-07-20,2023-07-21,1301,BUY,0.0154528496187996,0.00002974673551618923
2023-07-20,2023-07-21,2881,BUY,0.008455252288388069,0.00001627636065514703
2023-07-20,2023-07-21,2891,BUY,0.00736557358395443,0.00001417872914911228
2023-07-20,2023-07-21,2886,BUY,0.006084436253774731,0.000011712539788516357
2023-07-20,2023-07-21,3711,BUY,0.006419579236926731,0.000012357690031083957
2023-07-20,2023-07-21,2303,BUY,0.012742688302034762,0.00002452967498141692
2023-07-20,2023-07-21,2330,BUY,0.008257580339284027,0.00001589584215312175
2023-07-20,2023-07-21,2882,BUY,0.011117389312500113,0.00002140097442656272
2023-07-20,2023-07-21,2454,BUY,0.06962645318147327,0.00013403092237433605
2023-07-20,2023-07-21,3293,BUY,0.06962645318147327,0.00013403092237433605
2023-07-20,2023-07-21,2357,BUY,0.06962645318147327,0.00013403092237433605
2023-07-20,2023-07-21,1477,BUY,0.06962645318147327,0.00013403092237433605
2023-07-20,2023-07-21,3008,BUY,0.06962645318147327,0.00013403092237433605
2023-07-20,2023-07-21,6472,BUY,0.06962645318147327,0.00013403092237433605
2023-09-19,2023-09-20,2412,SELL,0.0006639985543803878,3.2701928803234104e-6
2023-09-19,2023-09-20,2881,SELL,0.0031348799435595848,0.000015439283722030955
2023-09-19,2023-09-20,2886,SELL,0.00012654434456500774,6.232308969826632e-7
2023-09-19,2023-09-20,3711,SELL,0.0032981160032043016,0.00001624322131578119
2023-09-19,2023-09-20,2303,SELL,0.0017037259859216808,8.390850480664278e-6
2023-09-19,2023-09-20,2382,SELL,0.07457327854652271,0.0003672733968416244
2023-09-19,2023-09-20,2301,SELL,0.06370257284171041,0.0003137351712454238
2023-09-19,2023-09-20,2882,SELL,0.002750435575898047,0.000013545895211297883
2023-09-19,2023-09-20,2618,SELL,0.056383323552549526,0.00027768786849630643
2023-09-19,2023-09-20,2454,SELL,0.008728799949377378,0.00004298933975068359
2023-09-19,2023-09-20,3293,SELL,0.06918647559422851,0.00034074339230157546
2023-09-19,2023-09-20,2357,SELL,0.08047445383613838,0.0003963366851429816
2023-09-19,2023-09-20,1477,SELL,0.0042894128810213455,0.00002112535843903013
2023-09-19,2023-09-20,6472,SELL,0.06013806585110433,0.00029617997431668884
2023-09-19,2023-09-20,2308,BUY,0.003926424908082385,7.5583679480585915e-6
2023-09-19,2023-09-20,2317,BUY,0.00020810753399497703,4.006070029403308e-7
2023-09-19,2023-09-20,1301,BUY,0.0006175047733631886,1.1886966887241382e-6
2023-09-19,2023-09-20,2891,BUY,0.0002035851095305174,3.9190133584624603e-7
2023-09-19,2023-09-20,2330,BUY,0.0025141983341352083,4.839831793210276e-6
2023-09-19,2023-09-20,3008,BUY,0.0019311651846022242,3.7174929803592817e-6
2023-09-19,2023-09-20,2327,BUY,0.06946984003421455,0.00013372944206586302
2023-09-19,2023-09-20,6285,BUY,0.06946984003421455,0.00013372944206586302
2023-09-19,2023-09-20,3044,BUY,0.06946984003421455,0.00013372944206586302
2023-09-19,2023-09-20,2474,BUY,0.06946984003421455,0.00013372944206586302
2023-09-19,2023-09-20,2603,BUY,0.06946984003421455,0.00013372944206586302
2023-09-19,2023-09-20,1319,BUY,0.06946984003421455,0.00013372944206586302
2023-11-21,2023-11-22,2881,SELL,0.0002296196790655125,1.1308769193976492e-6
2023-11-21,2023-11-22,2891,SELL,0.0038925718923309566,0.000019170916569729963
2023-11-21,2023-11-22,2886,SELL,0.001989235399857417,9.796984344297779e-6
2023-11-21,2023-11-22,3711,SELL,0.0043814195977649045,0.000021578491518992156
2023-11-21,2023-11-22,2303,SELL,0.0037669016044353104,0.000018551990401843906
2023-11-21,2023-11-22,2330,SELL,0.003196262911491554,0.000015741594839095905
2023-11-21,2023-11-22,2454,SELL,0.01289882377257165,0.00006352670707991539
2023-11-21,2023-11-22,1477,SELL,0.07896310916552196,0.0003888933126401957
2023-11-21,2023-11-22,3008,SELL,0.0012419255320582079,6.116483245386675e-6
2023-11-21,2023-11-22,2327,SELL,0.0007045421344119146,3.46987001197868e-6
2023-11-21,2023-11-22,6285,SELL,0.06468667072038341,0.0003185818532978883
2023-11-21,2023-11-22,3044,SELL,0.06389914531448976,0.0003147032906738621
2023-11-21,2023-11-22,2474,SELL,0.07476999131747886,0.0003682422072385834
2023-11-21,2023-11-22,1319,SELL,0.06677113697524137,0.0003288478496030638
2023-11-21,2023-11-22,2412,BUY,0.0013976745843626616,2.6905235748981235e-6
2023-11-21,2023-11-22,2308,BUY,0.006760212692090951,0.000013013409432275082
2023-11-21,2023-11-22,2317,BUY,0.00427585632610705,8.231023427756071e-6
2023-11-21,2023-11-22,1301,BUY,0.0025014732903056378,4.8153360838383526e-6
2023-11-21,2023-11-22,2882,BUY,0.0022915196029860974,4.411175235748238e-6
2023-11-21,2023-11-22,2603,BUY,0.004250738516297099,8.182671643871916e-6
2023-11-21,2023-11-22,4938,BUY,0.07146127393510902,0.00013756295232508487
2023-11-21,2023-11-22,1216,BUY,0.07146127393510902,0.00013756295232508487
2023-11-21,2023-11-22,2313,BUY,0.07146127393510902,0.00013756295232508487
2023-11-21,2023-11-22,1101,BUY,0.07146127393510902,0.00013756295232508487
2023-11-21,2023-11-22,1560,BUY,0.07146127393510902,0.00013756295232508487
2024-01-19,2024-01-22,2308,SELL,0.06745641985797003,0.00033222286780050243
2024-01-19,2024-01-22,1301,SELL,0.06279009093122553,0.0003092411978362858
2024-01-19,2024-01-22,2891,SELL,0.0008241907364018586,4.059139376779154e-6
2024-01-19,2024-01-22,3711,SELL,0.0017324977763914645,8.532551548727963e-6
2024-01-19,2024-01-22,2330,SELL,0.005821170523105518,0.00002866926482629468
2024-01-19,2024-01-22,2454,SELL,0.0001755345649686324,8.645077324705147e-7
2024-01-19,2024-01-22,3008,SELL,0.006785866740502092,0.000033420393696972804
2024-01-19,2024-01-22,2327,SELL,0.0005287095277944076,2.6038944243874577e-6
2024-01-19,2024-01-22,2603,SELL,0.02245005545190694,0.00011056652310064169
2024-01-19,2024-01-22,1216,SELL,0.07056800801092018,0.00034754743945378193
2024-01-19,2024-01-22,2313,SELL,0.0022529871710399163,0.000011095961817371588
2024-01-19,2024-01-22,1101,SELL,0.06799839281931082,0.0003348920846351058
2024-01-19,2024-01-22,1560,SELL,0.07897282829760631,0.0003889411793657111
2024-01-19,2024-01-22,2412,BUY,0.0007970934021019204,1.5344047990461968e-6
2024-01-19,2024-01-22,2317,BUY,0.003458843014710341,6.658272803317407e-6
2024-01-19,2024-01-22,2881,BUY,0.003244518619165075,6.24569834189277e-6
2024-01-19,2024-01-22,2886,BUY,0.004927739191652188,9.485897943930462e-6
2024-01-19,2024-01-22,2303,BUY,0.0014807933714831533,2.85052724010507e-6
2024-01-19,2024-01-22,2882,BUY,0.005121040783630407,9.858003508488535e-6
2024-01-19,2024-01-22,4938,BUY,0.0008861103270830855,1.7057623796349398e-6
2024-01-19,2024-01-22,3293,BUY,0.07315709621512312,0.000140827410214112
2024-01-19,2024-01-22,3231,BUY,0.07315709621512312,0.000140827410214112
2024-01-19,2024-01-22,3481,BUY,0.07315709621512312,0.000140827410214112
2024-01-19,2024-01-22,2002,BUY,0.07315709621512312,0.000140827410214112
2024-01-19,2024-01-22,3406,BUY,0.07315709621512312,0.000140827410214112
2024-03-29,2024-04-01,2317,SELL,0.02587886998281179,0.00012745343466534807
2024-03-29,2024-04-01,2891,SELL,0.001682968676355076,8.28862073104875e-6
2024-03-29,2024-04-01,3711,SELL,0.004585466007127781,0.000022583420085104324
2024-03-29,2024-04-01,2330,SELL,0.006779126767163149,0.00003338719932827851
2024-03-29,2024-04-01,2454,SELL,0.009697506211313642,0.00004776021809071969
2024-03-29,2024-04-01,2603,SELL,0.08390490625641224,0.00041323166331283035
2024-03-29,2024-04-01,4938,SELL,0.004772596857055,0.00002350503952099588
2024-03-29,2024-04-01,2313,SELL,0.0029419542393041426,0.000014489124628572903
2024-03-29,2024-04-01,3293,SELL,0.02081828467014392,0.00010253005200045881
2024-03-29,2024-04-01,3481,SELL,0.06612698486712332,0.00032567540047058236
2024-03-29,2024-04-01,2002,SELL,0.0710796127526247,0.0003500670928066767
2024-03-29,2024-04-01,3406,SELL,0.004504610426850381,0.000022185206352238128
2024-03-29,2024-04-01,2412,BUY,0.007049550208060638,0.000013570384150516729
2024-03-29,2024-04-01,2881,BUY,0.003407735880252996,6.5598915694870176e-6
2024-03-29,2024-04-01,2886,BUY,0.006149785220066,0.00001183833654862705
2024-03-29,2024-04-01,2303,BUY,0.00752212974357862,0.000014480099756388844
2024-03-29,2024-04-01,2882,BUY,0.0027298165623665604,5.254896882555629e-6
2024-03-29,2024-04-01,3008,BUY,0.011323014429396499,0.00002179680277658826
2024-03-29,2024-04-01,2327,BUY,0.006742592070932259,0.000012979489736544599
2024-03-29,2024-04-01,3231,BUY,0.0032377840422371557,6.232734281306525e-6
2024-03-29,2024-04-01,1216,BUY,0.08418015668162107,0.00016204680161212057
2024-03-29,2024-04-01,1504,BUY,0.08418015668162107,0.00016204680161212057
2024-03-29,2024-04-01,2618,BUY,0.08418015668162107,0.00016204680161212057
2024-05-31,2024-06-03,2317,SELL,0.011658622856460632,0.00005741871756806862
