year,month,stress_share,mean_mom_ic_lag21,risk_on_share,days
2016,9,1.0,-0.1232027137809159,1.0,19
2018,1,1.0,-0.09460920294174534,1.0,22
2017,5,1.0,-0.08687321068047558,1.0,20
2016,7,1.0,-0.09190162021690007,1.0,20
2016,5,0.8571428571428571,-0.028201695124820784,0.8571428571428571,21
2018,8,0.782608695652174,-0.2077262999832301,1.0,23
2016,3,0.782608695652174,-0.1410549621444921,1.0,23
2016,2,0.7692307692307693,-0.28392684444161065,0.7692307692307693,13
2017,11,0.6818181818181818,-0.06401397427537127,1.0,22
2017,12,0.6666666666666666,-0.1082486707009782,1.0,21
2018,9,0.631578947368421,-0.05335454897048084,0.7894736842105263,19
2014,1,0.6111111111111112,-0.0516514456027589,1.0,18
2017,6,0.6086956521739131,-0.19453021110071322,1.0,23
2013,12,0.5909090909090909,-0.05117682669340918,1.0,22
2016,10,0.55,-0.01526283157912071,1.0,20
2018,2,0.5384615384615384,0.0011640626800131161,1.0,13
2013,8,0.5238095238095238,-0.1305873659554923,1.0,21
2016,6,0.5238095238095238,-0.005982453339399692,0.9047619047619048,21
2015,10,0.42857142857142855,-0.1925619590317187,0.42857142857142855,21
2016,12,0.36363636363636365,-0.19995724639881066,0.36363636363636365,22
2013,9,0.35,0.060077438435220475,1.0,20
2017,2,0.3333333333333333,0.02286410739909696,1.0,18
2013,5,0.3181818181818182,0.07164257013221968,1.0,22
2016,4,0.3157894736842105,0.021454141097019368,1.0,19
2016,11,0.2727272727272727,-0.028467661620647008,0.5,22
2015,7,0.2727272727272727,-0.08147222852802714,0.45454545454545453,22
2013,7,0.2608695652173913,-0.03767031754201124,1.0,23
2016,8,0.21739130434782608,0.044071633431747,1.0,23
2018,6,0.2,-0.0074515225269604106,1.0,20
2015,6,0.14285714285714285,0.22526862464850356,1.0,21
2017,1,0.125,0.06324128090071775,0.9375,16
2013,4,0.1,0.08120554848958415,1.0,20
2014,3,0.09523809523809523,-0.10352771488229637,1.0,21
2014,8,0.09523809523809523,-0.09984046122541622,1.0,21
2018,7,0.09090909090909091,-0.32123745266107046,1.0,22
2017,4,0.05555555555555555,0.0318509200465304,1.0,18
2017,9,0.045454545454545456,0.053853441368961245,1.0,22
2014,10,0.0,-0.11678216982657862,0.0,22
2012,12,0.0,-0.1751503545501676,0.19047619047619047,21
2014,9,0.0,-0.1209976646379594,0.8571428571428571,21
2017,3,0.0,0.07982484181423764,1.0,23
2015,8,0.0,0.06223032335853794,0.0,21
2015,1,0.0,0.01268565768919144,1.0,20
2013,10,0.0,0.21678472688240635,1.0,22
2014,4,0.0,-0.2622339800333517,1.0,21
2015,12,0.0,0.06366952024143596,1.0,23
2012,10,0.0,0.33132215322752534,0.8636363636363636,22
2011,7,0.0,0.3987060680248309,1.0,21
2011,6,0.0,0.12246565695613396,0.9523809523809523,21
2012,2,0.0,-0.15940347192715423,1.0,20
2011,9,0.0,-0.31299528562264695,0.0,21
2013,11,0.0,0.09233523074266867,1.0,21
2016,1,0.0,0.06992731133708367,0.14285714285714285,21
2012,7,0.0,0.1613001799140958,0.18181818181818182,22
2011,2,0.0,0.08421151507001153,1.0,14
2014,11,0.0,-0.00022576803377778168,0.05,20
2017,7,0.0,0.21666046285707172,1.0,21
2014,12,0.0,0.0013111025704424864,0.375,24
2015,4,0.0,0.09412300195173569,1.0,20
2018,5,0.0,0.0319233018048499,0.9545454545454546,22
2018,3,0.0,0.13978646778132292,1.0,23
2012,11,0.0,-0.11084760280711388,0.045454545454545456,22
2012,9,0.0,-0.026277782805270565,1.0,20
2014,6,0.0,0.031024669603413057,1.0,20
2011,12,0.0,-0.18554872919388252,0.045454545454545456,22
2012,5,0.0,-0.022131462097809536,0.09090909090909091,22
2013,1,0.0,0.1275486296014756,1.0,22
2011,8,0.0,0.06490068459202822,0.17391304347826086,23
2013,6,0.0,0.14968689820874687,1.0,19
2018,4,0.0,0.07289365315463534,0.9444444444444444,18
2011,11,0.0,0.17095993606267001,0.045454545454545456,22
2015,9,0.0,-0.18185229131884958,0.0,20
2015,11,0.0,0.16306085458575204,1.0,21
2012,8,0.0,0.04141534181356327,1.0,22
2011,1,0.0,0.07979901986643988,1.0,20
2017,8,0.0,0.18954871427271106,1.0,23
2018,12,0.0,0.111952612410388,0.0,21
2015,3,0.0,0.16235586133876348,1.0,22
2012,4,0.0,0.06424397290530974,0.95,20
2015,2,0.0,-0.0004212595973209392,1.0,13
2011,4,0.0,0.005219833877905341,0.7368421052631579,19
2012,3,0.0,0.11015115285140062,1.0,23
2015,5,0.0,0.27986199567787196,1.0,20
2013,2,0.0,0.26763817425645525,1.0,13
2011,3,0.0,0.06459757471045516,0.9130434782608695,23
2018,10,0.0,0.0012873265404563965,0.18181818181818182,22
2014,2,0.0,0.187983768556783,1.0,17
2011,5,0.0,-0.05394420859592755,0.7142857142857143,21
2018,11,0.0,-0.25043919244522256,0.0,22
2012,1,0.0,-0.4165170742162685,0.13333333333333333,15
2013,3,0.0,0.06666842512568541,1.0,21
2014,5,0.0,0.05697437558846924,1.0,21
2014,7,0.0,-0.2762163920011385,1.0,22
2011,10,0.0,-0.0055201834921483174,0.0,20
2012,6,0.0,-0.01417652062930405,0.0,21
2017,10,0.0,0.056950915804340405,1.0,19
