cell_id,n_days,mean_rank_ic,p50_rank_ic,average_daily_turnover,block_bootstrap_positive_probability,cagr,max_drawdown,utility,mean_daily_excess,hac_t_stat,turnover_gate_pass,bootstrap_gate_pass,both_gates_pass,is_baseline,family
TECH2,1972,0.1147150373836749,0.11652350462114441,0.020450275367238705,0.8066,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.00012055807150796657,0.7734100331411837,true,true,true,true,baseline
BLEND_TECH2_30_DEF4_70,1972,0.11596668696997105,0.11437482277974995,0.017835351166784075,0.6972,0.09525681810374675,-0.283935803333504,-0.04671108356300524,0.00006994220956939945,0.49245647209135307,true,false,false,false,blend
BLEND_TECH2_70_DEF4_30,1972,0.1181879018437773,0.11727810124894439,0.017965078457187103,0.642,0.0858033465792265,-0.2793236565616184,-0.053858481701582694,0.00005127006152972949,0.33597902149887443,true,false,false,false,blend
REGIME_PICK_TECH2_ON_DEF4_OFF,1972,0.1211277149496838,0.12485982712137905,0.018911043592076442,0.6044,0.08832224558612856,-0.2606712522149208,-0.042013380521331856,0.000043890459099826564,0.3003112807835279,true,false,false,false,regime_pick
REGIME_PICK_DEF4_ON_TECH2_OFF,1972,0.10408597758567854,0.1022856011236272,0.016821777730917475,0.5758,0.08351571566585969,-0.3152781221140175,-0.07412334539114906,0.00003140739279665417,0.2126125826380094,true,false,false,false,regime_pick_probe
BLEND_TECH2_50_DEF4_50,1972,0.11791781144662287,0.11708703377751734,0.017156319293277544,0.55,0.07521084500646968,-0.2901789902439056,-0.06987865011548311,7.847151183549627e-6,0.05267551261995588,true,false,false,false,blend
REGIME_PICK_TECH2_ON_ORTHDEF_OFF,1972,0.11875707466583084,0.12289414664675787,0.019397749236028914,0.539,0.07832485633080921,-0.2859854393137303,-0.06466786332605595,8.582812972963953e-6,0.05814851692553299,true,false,false,false,regime_pick
BLEND_TECH2_50_ORTHDEF_50,1972,0.12881992808697731,0.13079131444881037,0.017121903994916053,0.4696,0.06779900582763587,-0.37339330058172326,-0.11889764446322576,-0.00002085474516397884,-0.13181840960264016,true,false,false,false,blend
