family,top_k,rebalance_every,exit_multiple,neutralization,industry_cap,min_hold_cycles,liquidity_floor,replace_rank_gap,cagr,max_drawdown,average_daily_turnover,total_cost,trade_count,ending_nav,utility,block_bootstrap_positive_probability,mean_daily_excess,hac_t_stat,turnover_gate_pass,bootstrap_gate_pass,implied_avg_rebalance_day_turnover,diag_rebalance_events,diag_forced_rank_exits,diag_liquidity_or_missing_exits,diag_min_hold_blocks,diag_replace_gap_blocks,diag_mean_jaccard,diag_mean_one_way_name_churn,diag_mean_names_held,diag_exit_rank,both_gates_pass,is_prior_locked,feature_set,mode,ridge_lambda,bootstrap_margin,turnover_headroom
C3_book_bootstrap,28,42,2.25,NONE,5,0,20000000.0,5,0.08343297547490236,-0.3000342244525894,0.018203708714850452,0.154099067784876,1814,1.8715513427816226,-0.06658413675139235,0.6322,0.00003701381002818742,0.2659876770316217,true,false,0.764555766023719,47,376,127,0,0,0.48763549694239866,0.3905279503105589,28.0,63,false,false,TECH2,BREADTH_REGIME,1.0,-0.06779999999999997,0.006796291285149549
C3_book_bootstrap,28,42,2.0,NONE,5,0,20000000.0,0,0.08277439453891589,-0.3109519317124959,0.020017901954649968,0.16936307925745922,1872,1.862671717056399,-0.07270157131733207,0.6202,0.000035018211735897,0.24235371604119696,true,false,0.8407518820952986,47,424,138,0,0,0.4397537423583685,0.43633540372670804,28.0,56,false,false,TECH2,BREADTH_REGIME,1.0,-0.07979999999999998,0.0049820980453500335
C3_book_bootstrap,28,42,2.0,NONE,5,0,20000000.0,5,0.08277439453891589,-0.3109519317124959,0.020017901954649968,0.16936307925745922,1872,1.862671717056399,-0.07270157131733207,0.6202,0.000035018211735897,0.24235371604119696,true,false,0.8407518820952986,47,424,138,0,0,0.4397537423583685,0.43633540372670804,28.0,56,false,false,TECH2,BREADTH_REGIME,1.0,-0.07979999999999998,0.0049820980453500335
C3_minhold_bootstrap,28,42,2.0,NONE,5,1,20000000.0,0,0.08277439453891589,-0.3109519317124959,0.020017901954649968,0.16936307925745922,1872,1.862671717056399,-0.07270157131733207,0.6202,0.000035018211735897,0.24235371604119696,true,false,0.8407518820952986,47,424,138,0,0,0.4397537423583685,0.43633540372670804,28.0,56,false,false,TECH2,BREADTH_REGIME,1.0,-0.07979999999999998,0.0049820980453500335
C3_minhold_bootstrap,28,42,2.0,NONE,5,2,20000000.0,0,0.08277439453891589,-0.3109519317124959,0.020017901954649968,0.16936307925745922,1872,1.862671717056399,-0.07270157131733207,0.6202,0.000035018211735897,0.24235371604119696,true,false,0.8407518820952986,47,424,138,0,0,0.4397537423583685,0.43633540372670804,28.0,56,false,false,TECH2,BREADTH_REGIME,1.0,-0.07979999999999998,0.0049820980453500335
C3_book_bootstrap,24,42,2.5,NONE,5,0,20000000.0,5,0.08327689795126103,-0.3270769774016089,0.018302806378604458,0.15543580313872035,1560,1.8694436235141059,-0.08026159074954342,0.6178,0.00003627494261066373,0.24685221970557597,true,false,0.7687178679013873,47,340,98,0,0,0.4855380658673864,0.3967391304347826,24.0,60,false,false,TECH2,BREADTH_REGIME,1.0,-0.08219999999999994,0.006697193621395543
C3_book_bootstrap,24,42,2.5,NONE,5,0,20000000.0,0,0.08327689795126103,-0.3270769774016089,0.018302806378604458,0.15543580313872035,1560,1.8694436235141059,-0.08026159074954342,0.6178,0.00003627494261066373,0.24685221970557597,true,false,0.7687178679013873,47,340,98,0,0,0.4855380658673864,0.3967391304347826,24.0,60,false,false,TECH2,BREADTH_REGIME,1.0,-0.08219999999999994,0.006697193621395543
C3_reb_bootstrap,25,35,2.25,NONE,5,0,20000000.0,0,0.07960442541649759,-0.34707396345631325,0.02089063871383184,0.1631929771070077,1934,1.8204431946836481,-0.09393255631165903,0.5878,0.00002516166962518721,0.16592403665315542,true,false,0.7311723549841144,57,383,131,0,0,0.5151437044870845,0.36714285714285716,25.0,57,false,false,TECH2,BREADTH_REGIME,1.0,-0.11219999999999997,0.004109361286168161
C3_book_bootstrap,28,42,2.5,NONE,5,0,20000000.0,0,0.07991644442298074,-0.30201007943405433,0.016162250562350027,0.13368438290848905,1764,1.8245623459302782,-0.07108859529404643,0.581,0.000020167571775198296,0.14531523007051333,true,false,0.6788145236187011,47,335,119,0,0,0.5283783332001998,0.3524844720496894,28.0,70,false,false,TECH2,BREADTH_REGIME,1.0,-0.119,0.008837749437649974
C3_book_bootstrap,28,42,2.5,NONE,5,0,20000000.0,5,0.07991644442298074,-0.30201007943405433,0.016162250562350027,0.13368438290848905,1764,1.8245623459302782,-0.07108859529404643,0.581,0.000020167571775198296,0.14531523007051333,true,false,0.6788145236187011,47,335,119,0,0,0.5283783332001998,0.3524844720496894,28.0,70,false,false,TECH2,BREADTH_REGIME,1.0,-0.119,0.008837749437649974
C3_book_bootstrap,30,42,2.0,NONE,5,0,20000000.0,0,0.07735813993877505,-0.30691122364120105,0.01971480199592104,0.16453078050759407,1995,1.7910272337118547,-0.07609747188182547,0.5722,0.00001384763622694665,0.099726348318838,true,false,0.8280216838286837,47,435,156,0,0,0.4417775915519911,0.42826086956521736,30.0,60,false,false,TECH2,BREADTH_REGIME,1.0,-0.1277999999999999,0.005285198004078961
C3_book_bootstrap,30,42,2.0,NONE,5,0,20000000.0,5,0.07735813993877505,-0.30691122364120105,0.01971480199592104,0.16453078050759407,1995,1.7910272337118547,-0.07609747188182547,0.5722,0.00001384763622694665,0.099726348318838,true,false,0.8280216838286837,47,435,156,0,0,0.4417775915519911,0.42826086956521736,30.0,60,false,false,TECH2,BREADTH_REGIME,1.0,-0.1277999999999999,0.005285198004078961
C3_book_bootstrap,30,42,2.5,NONE,5,0,20000000.0,0,0.07757692613166434,-0.3042771200043556,0.015188636517956324,0.12468574500689825,1858,1.793873980959312,-0.07456163387051346,0.5668,0.00001170499008648806,0.08720529394254056,true,false,0.6379227337541656,47,334,120,0,0,0.5501545443025975,0.32898550724637676,30.0,75,false,false,TECH2,BREADTH_REGIME,1.0,-0.13319999999999999,0.009811363482043678
C3_book_bootstrap,30,42,2.5,NONE,5,0,20000000.0,5,0.07757692613166434,-0.3042771200043556,0.015188636517956324,0.12468574500689825,1858,1.793873980959312,-0.07456163387051346,0.5668,0.00001170499008648806,0.08720529394254056,true,false,0.6379227337541656,47,334,120,0,0,0.5501545443025975,0.32898550724637676,30.0,75,false,false,TECH2,BREADTH_REGIME,1.0,-0.13319999999999999,0.009811363482043678
C3_reb_bootstrap,25,45,2.0,NONE,5,0,20000000.0,0,0.07552663028201834,-0.32289636706578473,0.02030484121923056,0.16500634532998948,1594,1.7673505831522227,-0.08592155325087403,0.5572,7.369416989064137e-6,0.04941848429422941,true,false,0.9137178548653753,44,387,110,0,0,0.42719941042237564,0.4623255813953489,25.0,50,false,false,TECH2,BREADTH_REGIME,1.0,-0.14279999999999993,0.00469515878076944
C3_book_bootstrap,25,42,2.5,NONE,5,0,20000000.0,5,0.07656350693447189,-0.3308260988058507,0.017810449724055568,0.14655859509987712,1610,1.7807209420727341,-0.08884954246845345,0.5564,0.000012124246019642012,0.08332126022510987,true,false,0.7480388884103338,47,339,101,0,0,0.49908390746607045,0.3826086956521738,25.0,63,false,false,TECH2,BREADTH_REGIME,1.0,-0.14359999999999995,0.007189550275944433
C3_book_bootstrap,25,42,2.5,NONE,5,0,20000000.0,0,0.07656350693447189,-0.3308260988058507,0.017810449724055568,0.14655859509987712,1610,1.7807209420727341,-0.08884954246845345,0.5564,0.000012124246019642012,0.08332126022510987,true,false,0.7480388884103338,47,339,101,0,0,0.49908390746607045,0.3826086956521738,25.0,63,false,false,TECH2,BREADTH_REGIME,1.0,-0.14359999999999995,0.007189550275944433
C3_book_bootstrap,30,42,2.25,NONE,5,0,20000000.0,0,0.07431573483111786,-0.31298621159057527,0.01746331099299554,0.14190314989260575,1919,1.7518471806066385,-0.08217737096416977,0.537,2.348473745642052e-6,0.01702001938448419,true,false,0.7334590617058127,47,379,135,0,0,0.5036293870218094,0.372463768115942,30.0,68,false,false,TECH2,BREADTH_REGIME,1.0,-0.16299999999999992,0.007536689007004462
C3_book_bootstrap,30,42,2.25,NONE,5,0,20000000.0,5,0.07431573483111786,-0.31298621159057527,0.01746331099299554,0.14190314989260575,1919,1.7518471806066385,-0.08217737096416977,0.537,2.348473745642052e-6,0.01702001938448419,true,false,0.7334590617058127,47,379,135,0,0,0.5036293870218094,0.372463768115942,30.0,68,false,false,TECH2,BREADTH_REGIME,1.0,-0.16299999999999992,0.007536689007004462
C3_reb_bootstrap,25,40,2.25,NONE,5,0,20000000.0,0,0.07350233862984168,-0.31790473677322195,0.02030038982793194,0.16209920344000558,1750,1.7414997814235003,-0.0854500297567693,0.5246,1.4513408148087208e-6,0.009622151072948323,true,false,0.8120155931172777,50,393,110,0,0,0.47301879725066265,0.4106122448979593,25.0,57,false,false,TECH2,BREADTH_REGIME,1.0,-0.1754,0.004699610172068061
C3_book_bootstrap,22,42,2.0,NONE,5,0,20000000.0,5,0.07597752363913157,-0.2904452730278154,0.017645658397450626,0.14211669630240625,1419,1.7731539831850944,-0.06924511287477614,0.5218,0.000014333562002957453,0.08989180090172091,true,false,0.7411176526929263,47,383,102,0,566,0.47232736117936647,0.4031652845591466,21.80851063829787,44,false,false,TECH2,BREADTH_REGIME,1.0,-0.17819999999999991,0.007354341602549375
C3_reb_bootstrap,25,45,2.25,NONE,5,0,20000000.0,0,0.05932019924542309,-0.3263097760245235,0.018904958221646714,0.14853221361751442,1557,1.5694550287350348,-0.10383468876683866,0.3924,-0.00005337598928090997,-0.35693064939146374,true,false,0.8507231199741021,44,355,104,0,0,0.46025677404169313,0.4269767441860465,25.0,57,false,false,TECH2,BREADTH_REGIME,1.0,-0.30759999999999993,0.006095041778353287
