family,top_k,rebalance_every,exit_multiple,neutralization,industry_cap,min_hold_cycles,liquidity_floor,replace_rank_gap,cagr,max_drawdown,average_daily_turnover,total_cost,trade_count,ending_nav,utility,block_bootstrap_positive_probability,mean_daily_excess,hac_t_stat,turnover_gate_pass,bootstrap_gate_pass,implied_avg_rebalance_day_turnover,diag_rebalance_events,diag_forced_rank_exits,diag_liquidity_or_missing_exits,diag_min_hold_blocks,diag_replace_gap_blocks,diag_mean_jaccard,diag_mean_one_way_name_churn,diag_mean_names_held,diag_exit_rank,both_gates_pass,is_prior_locked,feature_set,mode,ridge_lambda,bootstrap_margin,turnover_headroom
C3_minhold_bootstrap,25,42,2.0,NONE,5,2,20000000.0,0,0.10596748680933166,-0.3032512496185613,0.021064638557885196,0.19433481853464155,1701,2.1985064423916767,-0.045658137999949,0.8078,0.0001208166744373755,0.8096609821164429,true,true,0.8847148194311782,47,413,119,0,0,0.420259219001476,0.4626086956521738,25.0,50,true,false,TECH2,BREADTH_REGIME,1.0,0.1078,0.003935361442114805
C3_minhold_bootstrap,25,42,2.0,NONE,5,1,20000000.0,0,0.10596748680933166,-0.3032512496185613,0.021064638557885196,0.19433481853464155,1701,2.1985064423916767,-0.045658137999949,0.8078,0.0001208166744373755,0.8096609821164429,true,true,0.8847148194311782,47,413,119,0,0,0.420259219001476,0.4626086956521738,25.0,50,true,false,TECH2,BREADTH_REGIME,1.0,0.1078,0.003935361442114805
C3_reb_bootstrap,25,42,2.0,NONE,5,0,20000000.0,0,0.10596748680933166,-0.3032512496185613,0.021064638557885196,0.19433481853464155,1701,2.1985064423916767,-0.045658137999949,0.8078,0.0001208166744373755,0.8096609821164429,true,true,0.8847148194311782,47,413,119,0,0,0.420259219001476,0.4626086956521738,25.0,50,true,false,TECH2,BREADTH_REGIME,1.0,0.1078,0.003935361442114805
C3_book_bootstrap,22,42,2.25,NONE,5,0,20000000.0,5,0.10556706893635148,-0.3023731520676275,0.020450275367238705,0.18580262177206602,1482,2.19228847163767,-0.045619507097462264,0.8066,0.00012055807150796657,0.7734100331411837,true,true,0.8589115654240256,47,366,91,0,52,0.4393031025548683,0.4486166007905139,22.0,50,true,false,TECH2,BREADTH_REGIME,1.0,0.10660000000000003,0.004549724632761296
C3_book_bootstrap,25,42,2.0,NONE,5,0,20000000.0,5,0.10476155065790338,-0.3032512496185613,0.02100803215814858,0.19353151407440108,1699,2.179826262663097,-0.04686407415137728,0.803,0.00011639683819548637,0.7800237933438295,true,true,0.8823373506422404,47,413,119,0,31,0.42120316734862245,0.46086956521739114,25.0,50,true,false,TECH2,BREADTH_REGIME,1.0,0.10300000000000009,0.003991967841851421
C3_book_bootstrap,24,42,2.0,NONE,5,0,20000000.0,0,0.10347866845480724,-0.30600303725086286,0.021290054745372353,0.19408196394250277,1642,2.1601062773479116,-0.04952285017062419,0.7882,0.00011244176331223982,0.74361042865551,true,true,0.8941822993056389,47,408,112,0,0,0.4129932995869446,0.4710144927536231,24.0,48,true,false,TECH2,BREADTH_REGIME,1.0,0.08820000000000006,0.003709945254627648
C3_industry_cap,25,42,2.0,NONE,6,0,20000000.0,0,0.1036614370958262,-0.30201041133791895,0.02089155589533696,0.19258699337400922,1695,2.1629061887683614,-0.04734376857313327,0.788,0.00011414465821488786,0.7444907220227489,true,true,0.8774453476041523,47,414,112,0,0,0.4283756230500791,0.45739130434782604,25.0,50,true,false,TECH2,BREADTH_REGIME,1.0,0.08800000000000008,0.004108444104663041
C3_industry_cap,25,42,2.0,NONE,4,0,20000000.0,0,0.101391878731943,-0.29690021779892395,0.021495841795750398,0.19788437701287376,1714,2.12836122867615,-0.04705823016751898,0.7832,0.00010294581438965578,0.6989801666093044,true,true,0.9028253554215167,47,416,129,0,0,0.4066653120324272,0.4739130434782609,25.0,50,true,false,TECH2,BREADTH_REGIME,1.0,0.08320000000000005,0.0035041582042496036
C3_book_bootstrap,22,42,2.25,NONE,5,0,20000000.0,0,0.10176023482017826,-0.3023731520676275,0.020508871323358498,0.18478894944496002,1484,2.133935047443178,-0.04942634121363548,0.778,0.00010667559341410768,0.6848524784463264,true,true,0.8613725955810569,47,364,92,0,0,0.43873434068089756,0.4505928853754942,22.0,50,true,false,TECH2,BREADTH_REGIME,1.0,0.07800000000000007,0.004491128676641504
C3_book_bootstrap,22,42,2.0,NONE,5,0,20000000.0,0,0.10147837616740785,-0.30440168751277163,0.02171414885996892,0.19788724368765528,1517,2.1296689316639994,-0.05072246758897797,0.773,0.0001065730043557337,0.6830094388354794,true,true,0.9119942521186947,47,391,98,0,0,0.40121224155546037,0.483201581027668,22.0,44,true,false,TECH2,BREADTH_REGIME,1.0,0.07300000000000006,0.00328585114003108
C1_REFERENCE,20,42,2.0,NONE,5,0,20000000.0,0,0.10038792073507619,-0.3007120488380899,0.02195110039323891,0.20090324349277677,1385,2.113234146378882,-0.049968103683968756,0.7672,0.00010267525858099235,0.6362629315127005,true,true,0.9219462165160343,47,364,87,0,0,0.3976675857714596,0.49021739130434777,20.0,40,true,true,TECH2,BREADTH_REGIME,1.0,0.06720000000000004,0.00304889960676109
C2_REFERENCE,20,42,2.5,NONE,5,0,20000000.0,0,0.09910628889565354,-0.3109218161027131,0.020085462971119534,0.18096177301535452,1343,2.094059541670361,-0.056354619155703,0.7554,0.00009700446608370132,0.6083915923422799,true,true,0.8435894447870205,47,329,80,0,0,0.4467702621882822,0.44456521739130433,20.0,50,true,true,TECH2,BREADTH_REGIME,1.0,0.055400000000000005,0.0049145370288804675
C3_reb_bootstrap,25,49,2.0,NONE,5,0,20000000.0,0,0.0899680598969892,-0.31151707821006,0.021348165583304376,0.18174799613794781,1550,1.9616844199761352,-0.06579047920804082,0.7156,0.00006936482973036786,0.4980935940955309,true,true,1.0460601135819143,41,399,131,0,0,0.35355829757067314,0.53,25.0,50,true,false,TECH2,BREADTH_REGIME,1.0,0.015600000000000058,0.0036518344166956256
C3_book_bootstrap,24,42,2.25,NONE,5,0,20000000.0,0,0.09133156153709066,-0.3140117199916128,0.01957748483395562,0.1711405361578959,1594,1.9809601416429419,-0.06567429845871575,0.6872,0.00006678053548009498,0.44546727678529147,true,false,0.822254363026136,47,366,106,0,0,0.45766922344102984,0.427536231884058,24.0,54,false,false,TECH2,BREADTH_REGIME,1.0,-0.012799999999999923,0.005422515166044382
C3_book_bootstrap,24,42,2.25,NONE,5,0,20000000.0,5,0.09133156153709066,-0.3140117199916128,0.01957748483395562,0.1711405361578959,1594,1.9809601416429419,-0.06567429845871575,0.6872,0.00006678053548009498,0.44546727678529147,true,false,0.822254363026136,47,366,106,0,0,0.45766922344102984,0.427536231884058,24.0,54,false,false,TECH2,BREADTH_REGIME,1.0,-0.012799999999999923,0.005422515166044382
C3_reb_bootstrap,25,35,2.0,NONE,5,0,20000000.0,0,0.08650289284616708,-0.3569906899169718,0.023047500797364808,0.1854730265992623,1992,1.9134318947220639,-0.09199245211231882,0.6658,0.0000539587795399553,0.34192967935631297,true,false,0.8066625279077683,57,432,140,0,0,0.4723646639194506,0.40857142857142853,25.0,50,false,false,TECH2,BREADTH_REGIME,1.0,-0.03420000000000001,0.0019524992026351932
C3_reb_bootstrap,25,49,2.25,NONE,5,0,20000000.0,0,0.08558286498996504,-0.30612171051536086,0.019855711201502407,0.16676698718623983,1511,1.9007957341133221,-0.0674779902677154,0.6592,0.00005161183333194422,0.36928506180700127,true,false,0.9729298488736179,41,365,126,0,0,0.3903102718406146,0.491,25.0,57,false,false,TECH2,BREADTH_REGIME,1.0,-0.04079999999999995,0.005144288798497595
C3_reb_bootstrap,25,42,2.25,NONE,5,0,20000000.0,0,0.08728941922866507,-0.313302718646992,0.01914098738908681,0.16355022000055333,1648,1.924292498553249,-0.06936194009483093,0.655,0.000051441157719387536,0.3507596080800855,true,false,0.803921470341646,47,369,110,0,0,0.4649031270712651,0.4165217391304348,25.0,57,false,false,TECH2,BREADTH_REGIME,1.0,-0.04499999999999993,0.005859012610913192
C3_book_bootstrap,25,42,2.25,NONE,5,0,20000000.0,5,0.08728941922866507,-0.313302718646992,0.01914098738908681,0.16355022000055333,1648,1.924292498553249,-0.06936194009483093,0.655,0.000051441157719387536,0.3507596080800855,true,false,0.803921470341646,47,369,110,0,0,0.4649031270712651,0.4165217391304348,25.0,57,false,false,TECH2,BREADTH_REGIME,1.0,-0.04499999999999993,0.005859012610913192
C3_reb_bootstrap,25,40,2.0,NONE,5,0,20000000.0,0,0.08468158003281756,-0.34160109963885854,0.02242591663009133,0.18699788530171826,1809,1.888487630844002,-0.08611896978661171,0.65,0.00004554479177250453,0.29591974841083535,true,false,0.8970366652036532,50,448,115,0,0,0.42454724212111117,0.4595918367346939,25.0,50,false,false,TECH2,BREADTH_REGIME,1.0,-0.04999999999999993,0.002574083369908671
C3_book_bootstrap,24,42,2.0,NONE,5,0,20000000.0,5,0.09108411637268077,-0.28495702023190295,0.018526946840766438,0.16667597363724362,1584,1.977449809267067,-0.051394393743270705,0.6462,0.00005886435861057271,0.3936386876512787,true,false,0.7781317673121904,47,408,110,0,278,0.4596724262500967,0.4193840579710145,24.0,48,false,false,TECH2,BREADTH_REGIME,1.0,-0.05379999999999996,0.006473053159233563
C3_book_bootstrap,22,42,2.5,NONE,5,0,20000000.0,0,0.08554647929883319,-0.3222779335935476,0.018798374560880605,0.16252581570025254,1444,1.900297493031477,-0.07559248749794062,0.638,0.00004544366083977374,0.29230211933426803,true,false,0.7895317315569854,47,330,86,0,0,0.47560808244646996,0.41106719367588934,22.0,55,false,false,TECH2,BREADTH_REGIME,1.0,-0.061999999999999944,0.006201625439119396
C3_book_bootstrap,22,42,2.5,NONE,5,0,20000000.0,5,0.08554647929883319,-0.3222779335935476,0.018798374560880605,0.16252581570025254,1444,1.900297493031477,-0.07559248749794062,0.638,0.00004544366083977374,0.29230211933426803,true,false,0.7895317315569854,47,330,86,0,0,0.47560808244646996,0.41106719367588934,22.0,55,false,false,TECH2,BREADTH_REGIME,1.0,-0.061999999999999944,0.006201625439119396
C3_book_bootstrap,28,42,2.25,NONE,5,0,20000000.0,0,0.08343297547490236,-0.3000342244525894,0.018203708714850452,0.154099067784876,1814,1.8715513427816226,-0.06658413675139235,0.6322,0.00003701381002818742,0.2659876770316217,true,false,0.764555766023719,47,376,127,0,0,0.48763549694239866,0.3905279503105589,28.0,63,false,false,TECH2,BREADTH_REGIME,1.0,-0.06779999999999997,0.006796291285149549
