family,top_k,rebalance_every,exit_multiple,neutralization,industry_cap,min_hold_cycles,liquidity_floor,replace_rank_gap,cagr,max_drawdown,average_daily_turnover,total_cost,trade_count,ending_nav,utility,block_bootstrap_positive_probability,mean_daily_excess,hac_t_stat,turnover_gate_pass,bootstrap_gate_pass,implied_avg_rebalance_day_turnover,diag_rebalance_events,diag_forced_rank_exits,diag_liquidity_or_missing_exits,diag_min_hold_blocks,diag_replace_gap_blocks,diag_mean_jaccard,diag_mean_one_way_name_churn,diag_mean_names_held,diag_exit_rank,both_gates_pass,bootstrap_margin,turnover_headroom
C5_joint_margin,20,40,2.0,NONE,5,0,20000000.0,0,0.08616985637288899,-0.3312651310699465,0.02394946386565899,0.20129487733975732,1482,1.9088493575052206,-0.07946270916208426,0.6614,0.000055586491704575323,0.32940794543558943,true,false,0.9579785546263596,50,400,85,0,0,0.39846523156961067,0.49489795918367346,20.0,40,false,-0.03859999999999997,0.0010505361343410118
C5_joint_margin,20,40,2.25,NONE,5,0,20000000.0,0,0.08779761587327428,-0.3330554067100493,0.022250968620690256,0.1881643668153024,1445,1.9313383942986668,-0.07873008748175037,0.675,0.00005951114530010902,0.362387947160613,true,false,0.8900387448276103,50,366,82,0,0,0.43926172854361817,0.4571428571428572,20.0,45,false,-0.02499999999999991,0.002749031379309746
C5_joint_margin,20,40,2.5,NONE,5,0,20000000.0,0,0.08422703364106421,-0.33556429326707726,0.02089614515976999,0.1732017226214993,1417,1.8823066769390433,-0.08355511299247442,0.6416,0.000044080728358351874,0.27101727558734257,true,false,0.8358458063907996,50,342,78,0,0,0.46864930602524746,0.42857142857142855,20.0,50,false,-0.05840000000000001,0.004103854840230011
C5_joint_margin,20,40,2.75,NONE,5,0,20000000.0,0,0.07829865797987945,-0.32338022044337555,0.019257796485187873,0.15438759813763042,1381,1.8032928305353204,-0.08339145224180833,0.5724,0.000019231594049194526,0.12125094577717865,true,false,0.7703118594075149,50,315,69,0,0,0.5036378144154894,0.39183673469387753,20.0,55,false,-0.12759999999999994,0.005742203514812128
C5_joint_margin,20,42,2.0,NONE,5,0,20000000.0,0,0.10038792073507619,-0.3007120488380899,0.02195110039323891,0.20090324349277677,1385,2.113234146378882,-0.049968103683968756,0.7672,0.00010267525858099235,0.6362629315127005,true,true,0.9219462165160343,47,364,87,0,0,0.3976675857714596,0.49021739130434777,20.0,40,true,0.06720000000000004,0.00304889960676109
C5_joint_margin,20,42,2.25,NONE,5,0,20000000.0,0,0.10364218697635486,-0.30299110177653377,0.02100341788973133,0.19523552978194555,1363,2.162611138854763,-0.04785336391191203,0.7874,0.00011431231025990242,0.702565314729851,true,true,0.8821435513687159,47,345,84,0,0,0.4240636065729093,0.46630434782608704,20.0,45,true,0.08740000000000003,0.003996582110268671
C5_joint_margin,20,42,2.5,NONE,5,0,20000000.0,0,0.09910628889565354,-0.3109218161027131,0.020085462971119534,0.18096177301535452,1343,2.094059541670361,-0.056354619155703,0.7554,0.00009700446608370132,0.6083915923422799,true,true,0.8435894447870205,47,329,80,0,0,0.4467702621882822,0.44456521739130433,20.0,50,true,0.055400000000000005,0.0049145370288804675
C5_joint_margin,20,42,2.75,NONE,5,0,20000000.0,0,0.08769814411802823,-0.305456211213889,0.018411761999471116,0.1614708353735236,1306,1.9299574991982968,-0.06502996148891627,0.6572,0.00005287947326123745,0.3302616611810194,true,false,0.7732940039777869,47,295,77,0,0,0.48964849949150374,0.40434782608695646,20.0,55,false,-0.04279999999999995,0.006588238000528886
C5_joint_margin,20,45,2.0,NONE,5,0,20000000.0,0,0.08512965932109706,-0.3103355975977884,0.021006594239469864,0.18515936165117444,1292,1.8945979626598897,-0.07003813947779713,0.6436,0.00004447099123315077,0.2754132306371044,true,false,0.9452967407761439,44,334,80,0,0,0.4119968243151755,0.48139534883720936,20.0,40,false,-0.056400000000000006,0.003993405760530137
C5_joint_margin,20,45,2.25,NONE,5,0,20000000.0,0,0.08165729269480337,-0.31723771262557743,0.019848421224147334,0.1710540155957307,1269,1.8476938713678233,-0.07696156361798534,0.611,0.000029106596056159663,0.1863065037135457,true,false,0.89317895508663,44,312,80,0,0,0.44058920697471055,0.4558139534883721,20.0,45,false,-0.08899999999999997,0.005151578775852667
