family,top_k,rebalance_every,exit_multiple,neutralization,industry_cap,min_hold_cycles,liquidity_floor,replace_rank_gap,cagr,max_drawdown,average_daily_turnover,total_cost,trade_count,ending_nav,utility,block_bootstrap_positive_probability,mean_daily_excess,hac_t_stat,turnover_gate_pass,bootstrap_gate_pass,implied_avg_rebalance_day_turnover,diag_rebalance_events,diag_forced_rank_exits,diag_liquidity_or_missing_exits,diag_min_hold_blocks,diag_replace_gap_blocks,diag_mean_jaccard,diag_mean_one_way_name_churn,diag_mean_names_held,diag_exit_rank,both_gates_pass,bootstrap_margin,turnover_headroom
C7_liquidity,20,42,2.0,NONE,5,0,20000000.0,0,0.10038792073507619,-0.3007120488380899,0.02195110039323891,0.20090324349277677,1385,2.113234146378882,-0.049968103683968756,0.7672,0.00010267525858099235,0.6362629315127005,true,true,0.9219462165160343,47,364,87,0,0,0.3976675857714596,0.49021739130434777,20.0,40,true,0.06720000000000004,0.00304889960676109
C7_liquidity,20,42,2.0,NONE,5,1,20000000.0,0,0.10038792073507619,-0.3007120488380899,0.02195110039323891,0.20090324349277677,1385,2.113234146378882,-0.049968103683968756,0.7672,0.00010267525858099235,0.6362629315127005,true,true,0.9219462165160343,47,364,87,0,0,0.3976675857714596,0.49021739130434777,20.0,40,true,0.06720000000000004,0.00304889960676109
C7_liquidity,20,42,2.5,NONE,5,0,20000000.0,0,0.09910628889565354,-0.3109218161027131,0.020085462971119534,0.18096177301535452,1343,2.094059541670361,-0.056354619155703,0.7554,0.00009700446608370132,0.6083915923422799,true,true,0.8435894447870205,47,329,80,0,0,0.4467702621882822,0.44456521739130433,20.0,50,true,0.055400000000000005,0.0049145370288804675
C7_liquidity,20,42,2.5,NONE,5,1,20000000.0,0,0.09910628889565354,-0.3109218161027131,0.020085462971119534,0.18096177301535452,1343,2.094059541670361,-0.056354619155703,0.7554,0.00009700446608370132,0.6083915923422799,true,true,0.8435894447870205,47,329,80,0,0,0.4467702621882822,0.44456521739130433,20.0,50,true,0.055400000000000005,0.0049145370288804675
C7_liquidity,25,42,2.0,NONE,5,0,20000000.0,0,0.10596748680933166,-0.3032512496185613,0.021064638557885196,0.19433481853464155,1701,2.1985064423916767,-0.045658137999949,0.8078,0.0001208166744373755,0.8096609821164429,true,true,0.8847148194311782,47,413,119,0,0,0.420259219001476,0.4626086956521738,25.0,50,true,0.1078,0.003935361442114805
C7_liquidity,25,42,2.0,NONE,5,1,20000000.0,0,0.10596748680933166,-0.3032512496185613,0.021064638557885196,0.19433481853464155,1701,2.1985064423916767,-0.045658137999949,0.8078,0.0001208166744373755,0.8096609821164429,true,true,0.8847148194311782,47,413,119,0,0,0.420259219001476,0.4626086956521738,25.0,50,true,0.1078,0.003935361442114805
C7_liquidity,25,42,2.5,NONE,5,0,20000000.0,0,0.07656350693447189,-0.3308260988058507,0.017810449724055568,0.14655859509987712,1610,1.7807209420727341,-0.08884954246845345,0.5564,0.000012124246019642012,0.08332126022510987,true,false,0.7480388884103338,47,339,101,0,0,0.49908390746607045,0.3826086956521738,25.0,63,false,-0.14359999999999995,0.007189550275944433
C7_liquidity,25,42,2.5,NONE,5,1,20000000.0,0,0.07656350693447189,-0.3308260988058507,0.017810449724055568,0.14655859509987712,1610,1.7807209420727341,-0.08884954246845345,0.5564,0.000012124246019642012,0.08332126022510987,true,false,0.7480388884103338,47,339,101,0,0,0.49908390746607045,0.3826086956521738,25.0,63,false,-0.14359999999999995,0.007189550275944433
C7_liquidity,30,42,2.0,NONE,5,0,20000000.0,0,0.07735813993877505,-0.30691122364120105,0.01971480199592104,0.16453078050759407,1995,1.7910272337118547,-0.07609747188182547,0.5722,0.00001384763622694665,0.099726348318838,true,false,0.8280216838286837,47,435,156,0,0,0.4417775915519911,0.42826086956521736,30.0,60,false,-0.1277999999999999,0.005285198004078961
C7_liquidity,30,42,2.0,NONE,5,1,20000000.0,0,0.07735813993877505,-0.30691122364120105,0.01971480199592104,0.16453078050759407,1995,1.7910272337118547,-0.07609747188182547,0.5722,0.00001384763622694665,0.099726348318838,true,false,0.8280216838286837,47,435,156,0,0,0.4417775915519911,0.42826086956521736,30.0,60,false,-0.1277999999999999,0.005285198004078961
C7_liquidity,30,42,2.5,NONE,5,0,20000000.0,0,0.07757692613166434,-0.3042771200043556,0.015188636517956324,0.12468574500689825,1858,1.793873980959312,-0.07456163387051346,0.5668,0.00001170499008648806,0.08720529394254056,true,false,0.6379227337541656,47,334,120,0,0,0.5501545443025975,0.32898550724637676,30.0,75,false,-0.13319999999999999,0.009811363482043678
