year,start_date,end_date,start_nav,end_nav,return,max_drawdown_in_year,avg_daily_turnover,avg_positions
2023,2023-01-03,2023-12-29,1.0,1.567892502233562,0.5678925022335619,-0.08263438710007798,0.017195815044309882,19.915966386554622
2024,2024-01-02,2024-12-31,1.5747481151271738,1.8488480495150945,0.1740595411767074,-0.1392534352049053,0.009834766908436439,20.0
2025,2025-01-02,2025-12-31,1.8482840564693452,2.8456211835934018,0.5396016503162417,-0.1815515916150885,0.027346521019900805,20.0
2026,2026-01-02,2026-08-28,2.869076810805099,5.249978553332557,0.82984942527884,-0.1864780347024536,0.013257232688693799,20.0
