feature_set,regime_definition,mode,ridge_lambda,is_baseline,n_features,features,oof_risk_on_day_share,n_days,mean_rank_ic,p50_rank_ic,average_daily_turnover,block_bootstrap_positive_probability,cagr,max_drawdown,utility,mean_daily_excess,hac_t_stat,turnover_gate_pass,bootstrap_gate_pass,both_gates_pass
TECH2,TREND_ONLY,BREADTH_REGIME,1.0,false,2,"momentum_family_score,defensive_family_score",0.7601419878296146,1972,0.1147150373836749,0.11652350462114441,0.020450275367238705,0.8066,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.00012055807150796657,0.7734100331411837,true,true,true
TECH2,BREADTH_BASE,BREADTH_REGIME,1.0,true,2,"momentum_family_score,defensive_family_score",0.7601419878296146,1972,0.1147150373836749,0.11652350462114441,0.020450275367238705,0.8066,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.00012055807150796657,0.7734100331411837,true,true,true
VALUE2,TREND_ONLY,BREADTH_REGIME,1.0,false,2,"value_family_score,defensive_family_score",0.7601419878296146,1972,0.09641547250409478,0.09544593699961859,0.0141868307078682,0.4104,0.056823046113712694,-0.3900711600805449,-0.13821253392655974,-0.00004837073410571321,-0.2900658740678616,true,false,false
VALUE2,BREADTH_BASE,BREADTH_REGIME,1.0,false,2,"value_family_score,defensive_family_score",0.7601419878296146,1972,0.09641547250409478,0.09544593699961859,0.0141868307078682,0.4104,0.056823046113712694,-0.3900711600805449,-0.13821253392655974,-0.00004837073410571321,-0.2900658740678616,true,false,false
QUALITY2,VOL_REGIME,BREADTH_REGIME,1.0,false,2,"quality_family_score,defensive_family_score",0.4234279918864097,1972,0.05844460028999311,0.049490243557727506,0.017894028806286776,0.2448,0.04761500198143942,-0.25554849859901174,-0.08015924731806645,-0.00011352812797186276,-0.7276525941915203,true,false,false
FAMILY5,BREADTH_BASE,BREADTH_REGIME,1.0,false,5,"momentum_family_score,defensive_family_score,quality_family_score,growth_family_score,value_family_score",0.7601419878296146,1972,0.1065752356865494,0.10782701453397929,0.019462390704795048,0.244,0.04051413548438454,-0.3853791514183521,-0.15217544022479151,-0.00011527531556754507,-0.7886618291798848,true,false,false
FAMILY5,TREND_ONLY,BREADTH_REGIME,1.0,false,5,"momentum_family_score,defensive_family_score,quality_family_score,growth_family_score,value_family_score",0.7601419878296146,1972,0.1065752356865494,0.10782701453397929,0.019462390704795048,0.244,0.04051413548438454,-0.3853791514183521,-0.15217544022479151,-0.00011527531556754507,-0.7886618291798848,true,false,false
TECH2,VOL_REGIME,BREADTH_REGIME,1.0,false,2,"momentum_family_score,defensive_family_score",0.4234279918864097,1972,0.08701835249866297,0.07952659308920224,0.019198667602303703,0.2232,0.04512576474486196,-0.3093275762805979,-0.109538023395437,-0.00011701393261549945,-0.8298973308855127,true,false,false
QUALITY2,BREADTH_BASE,GLOBAL,1.0,false,2,"quality_family_score,defensive_family_score",0.7601419878296146,1972,0.06616348507853176,0.07789416324479057,0.0064991795200127775,0.1906,0.039684366818667494,-0.2547337802420946,-0.0876825233023798,-0.00015203947053767685,-0.8978120754135618,true,false,false
QUALITY2,BREADTH_BASE,BREADTH_REGIME,1.0,false,2,"quality_family_score,defensive_family_score",0.7601419878296146,1972,0.09461204838122646,0.09402910976382911,0.009367032557099926,0.1714,0.03290209967969204,-0.2549177064189111,-0.0945567535297635,-0.0001696587041780156,-0.9950175651841425,true,false,false
