date,nav,turnover,gross_exposure,cumulative_cost
2023-01-03,1.0,0.0,1.0,0.0
2023-01-04,0.9980786985053777,0.7984629588043015,1.0,0.0
2023-01-05,1.0052466555924535,0.0,1.0,0.0
2023-01-06,1.0069352709285413,0.0,1.0,0.0
2023-01-09,1.0193072354268533,0.0,1.0,0.0
2023-01-10,1.027574208016021,0.0,1.0,0.0
2023-01-11,1.0287039213141163,0.0,1.0,0.0
2023-01-12,1.0252355285247474,0.0,1.0,0.0
2023-01-13,1.0242478493095313,0.0,1.0,0.0
2023-01-16,1.0264817834921849,0.0,1.0,0.0
2023-01-17,1.0278600393752408,0.0,1.0,0.0
2023-01-30,1.050016017843246,0.0,1.0,0.0
2023-01-31,1.0488114610021417,0.0,1.0,0.0
2023-02-01,1.0466733884950397,0.0,1.0,0.0
2023-02-02,1.0551012468725585,0.0,1.0,0.0
2023-02-03,1.0546718726679316,0.0,1.0,0.0
2023-02-06,1.0512882616886996,0.0,1.0,0.0
2023-02-07,1.0506777848512105,0.0,1.0,0.0
2023-02-08,1.0565604092414387,0.0,1.0,0.0
2023-02-09,1.052883641161457,0.0,1.0,0.0
2023-02-10,1.054882942433192,0.0,1.0,0.0
2023-02-13,1.0543015980255517,0.0,1.0,0.0
2023-02-14,1.0648131728836892,0.0,1.0,0.0
2023-02-15,1.0669599561235308,0.0,1.0,0.0
2023-02-16,1.0696458359375351,0.0,1.0,0.0
2023-02-17,1.0697159604225035,0.0,1.0,0.0
2023-02-20,1.0762081036422524,0.0,1.0,0.0
2023-02-21,1.0827046934483016,0.0,1.0,0.0
2023-02-22,1.0791402461730268,0.0,1.0,0.0
2023-02-23,1.0818477108517663,0.0,1.0,0.0
2023-02-24,1.0900982253839853,0.0,1.0,0.0
2023-03-01,1.072197992327123,0.0,1.0,0.0
2023-03-02,1.0799733809876069,0.0,1.0,0.0
2023-03-03,1.0869297831154967,0.0,1.0,0.0
2023-03-06,1.0915950791515951,0.0,1.0,0.0
2023-03-07,1.097423013411848,0.0,1.0,0.0
2023-03-08,1.100106880611077,0.0,1.0,0.0
2023-03-09,1.1070632766607233,0.0,1.0,0.0
2023-03-10,1.0882435062641744,0.0,1.0,0.0
2023-03-13,1.0751649373983727,0.0,1.0,0.0
2023-03-14,1.0753510103083765,0.0,1.0,0.0
2023-03-15,1.0796850221097234,0.0,1.0,0.0
2023-03-16,1.0702247074196636,0.0,1.0,0.0
2023-03-17,1.0697405383117744,0.5382734397519372,1.0,0.0
2023-03-20,1.0748768673271658,0.0,1.0,0.0
2023-03-21,1.0808933828765717,0.0,1.0,0.0
2023-03-22,1.0863315127397137,0.0,1.0,0.0
2023-03-23,1.0853907638440847,0.0,1.0,0.0
2023-03-24,1.0973282230885861,0.0,1.0,0.0
2023-03-27,1.096699740745627,0.0,1.0,0.0
2023-03-28,1.096198502462334,0.0,1.0,0.0
2023-03-29,1.090310048844686,0.0,1.0,0.0
2023-03-30,1.0946762395773968,0.0,1.0,0.0
2023-03-31,1.098607263649989,0.0,1.0,0.0
2023-04-06,1.1012576488480914,0.0,1.0,0.0
2023-04-07,1.0985403948755994,0.0,1.0,0.0
2023-04-10,1.0956616787671047,0.0,1.0,0.0
2023-04-11,1.1049622635857745,0.0,1.0,0.0
2023-04-12,1.11469041668216,0.0,1.0,0.0
2023-04-13,1.1184543640564357,0.0,1.0,0.0
2023-04-14,1.1146410945424599,0.0,1.0,0.0
2023-04-17,1.1197094507925351,0.0,1.0,0.0
2023-04-18,1.1217251517200604,0.0,1.0,0.0
2023-04-19,1.1191213681674606,0.0,1.0,0.0
2023-04-20,1.1123922366022796,0.0,1.0,0.0
2023-04-21,1.1084507834839925,0.0,1.0,0.0
2023-04-24,1.0996310153640911,0.0,1.0,0.0
2023-04-25,1.107591709301433,0.0,1.0,0.0
2023-04-26,1.084795310795431,0.0,1.0,0.0
2023-04-27,1.0911497344357188,0.0,1.0,0.0
2023-04-28,1.101324501042613,0.0,1.0,0.0
2023-05-02,1.1099569102086662,0.0,1.0,0.0
2023-05-03,1.1171390072790417,0.0,1.0,0.0
2023-05-04,1.1153951598798362,0.0,1.0,0.0
2023-05-05,1.1257319700111454,0.0,1.0,0.0
2023-05-08,1.1299066025205782,0.0,1.0,0.0
2023-05-09,1.131194869901863,0.0,1.0,0.0
2023-05-10,1.1273948682335562,0.0,1.0,0.0
2023-05-11,1.1256205248602227,0.0,1.0,0.0
2023-05-12,1.115518448590957,0.0,1.0,0.0
2023-05-15,1.1212438439987817,0.0,1.0,0.0
2023-05-16,1.1244804834201936,0.0,1.0,0.0
2023-05-17,1.1289455682717946,0.0,1.0,0.0
2023-05-18,1.1419607828532352,0.0,1.0,0.0
2023-05-19,1.1555280632565705,0.0,1.0,0.0
2023-05-22,1.1551686856666339,0.3487400295877539,1.0,0.0
2023-05-23,1.158674224627538,0.0,1.0,0.0
2023-05-24,1.154136683387842,0.0,1.0,0.0
2023-05-26,1.1687955026564065,0.0,1.0,0.0
2023-05-29,1.1868468373732524,0.0,1.0,0.0
2023-05-30,1.1933531791386929,0.0,1.0,0.0
2023-05-31,1.1870913602512159,0.0,1.0,0.0
2023-06-01,1.1845769272898825,0.0,1.0,0.0
2023-06-02,1.1968970598757929,0.0,1.0,0.0
2023-06-05,1.2152238643908924,0.0,1.0,0.0
2023-06-06,1.2152710472618877,0.0,1.0,0.0
2023-06-07,1.2250444092034094,0.0,1.0,0.0
2023-06-08,1.2314437432635883,0.0,1.0,0.0
2023-06-09,1.2318108650008561,0.0,1.0,0.0
2023-06-12,1.2484091012772598,0.0,1.0,0.0
2023-06-13,1.2514707927057924,0.0,1.0,0.0
2023-06-14,1.255923022014459,0.0,1.0,0.0
2023-06-15,1.269645312561451,0.0,1.0,0.0
2023-06-16,1.2775265681862766,0.0,1.0,0.0
2023-06-19,1.274993971103353,0.0,1.0,0.0
2023-06-20,1.2784277477358932,0.0,1.0,0.0
2023-06-21,1.2743222259374813,0.0,1.0,0.0
2023-06-26,1.2703306657958142,0.0,1.0,0.0
2023-06-27,1.2676166011827668,0.0,1.0,0.0
2023-06-28,1.2651228206423053,0.0,1.0,0.0
2023-06-29,1.2667962921131695,0.0,1.0,0.0
2023-06-30,1.2652516128557234,0.0,1.0,0.0
2023-07-03,1.2845812297916877,0.0,1.0,0.0
2023-07-04,1.3017075835284055,0.0,1.0,0.0
2023-07-05,1.3137855094846211,0.0,1.0,0.0
2023-07-06,1.290312486962258,0.0,1.0,0.0
2023-07-07,1.2791925586894057,0.0,1.0,0.0
2023-07-10,1.2790300251108806,0.0,1.0,0.0
2023-07-11,1.2927254616573642,0.0,1.0,0.0
2023-07-12,1.3208593581560089,0.0,1.0,0.0
2023-07-13,1.3587106180586679,0.0,1.0,0.0
