cell_id,feature_set,train_horizon,mode,ridge_lambda,is_baseline,n_features,features,n_days,mean_rank_ic,p50_rank_ic,average_daily_turnover,block_bootstrap_positive_probability,cagr,max_drawdown,utility,mean_daily_excess,hac_t_stat,turnover_gate_pass,bootstrap_gate_pass,both_gates_pass
TECH2_H21,TECH2,21,BREADTH_REGIME,1.0,true,2,"momentum_family_score,defensive_family_score",1972,0.1147150373836749,0.11652350462114441,0.020450275367238705,0.8066,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.00012055807150796657,0.7734100331411837,true,true,true
MOM_ORTH_DEF_H21,MOM_ORTH_DEF,21,BREADTH_REGIME,1.0,false,3,"mom_resid_vs_defensive,pct_vol_60d,pct_drawdown_63d",1972,0.12530369685410794,0.13266298921587275,0.02077484624698621,0.6596,0.09025254236345215,-0.3031353371965976,-0.06131512623484664,0.000055831515534039355,0.3761835139866416,true,false,false
DEF_ONLY_H21,DEF_ONLY,21,BREADTH_REGIME,1.0,false,3,"defensive_family_score,pct_vol_60d,pct_downside_vol_60d",1972,0.11361828876115221,0.11470020889817326,0.01865033226216567,0.5914,0.08596510394599544,-0.27910400871639807,-0.0535869004122036,0.000036642482259007027,0.25446155374898716,true,false,false
DEF4_H21,DEF4,21,BREADTH_REGIME,1.0,false,4,"pct_vol_60d,pct_downside_vol_60d,pct_drawdown_63d,pct_amihud_20d",1972,0.11049865515168741,0.11120699610132011,0.016775374875975312,0.5754,0.08592746362330717,-0.2880155734529062,-0.058080323103145926,0.000032433482327389555,0.22676592711706844,true,false,false
ORTH_DEF_VAL_H63,ORTH_DEF_VAL,63,BREADTH_REGIME,1.0,false,4,"mom_resid_vs_value,defensive_family_score,pct_vol_60d,pct_book_to_price_proxy",1972,0.15210975290839468,0.15636428285701587,0.016582886566977498,0.5316,0.08119093213519224,-0.2852664097902038,-0.061442272759909655,0.00001448922631010002,0.10206158400981732,true,false,false
DEF_VALUE_H63,DEF_VALUE,63,BREADTH_REGIME,1.0,false,4,"defensive_family_score,pct_vol_60d,pct_book_to_price_proxy,pct_earnings_yield_proxy",1972,0.14594437323759585,0.1442252441952861,0.016896898199402825,0.5248,0.07644381259107091,-0.2852664097902038,-0.06618939230403098,-6.104311944153169e-7,-0.0045363823133486025,true,false,false
TECH2_DEF_H21,TECH2_DEF,21,BREADTH_REGIME,1.0,false,4,"momentum_family_score,defensive_family_score,pct_vol_60d,pct_drawdown_63d",1972,0.12580016174313358,0.13030623583270368,0.018720330720287812,0.5002,0.07203687526034219,-0.27254271616078707,-0.06423448282005134,-0.000010910351153152812,-0.07249772086696778,true,false,false
ORTH_DEF_VAL_H21,ORTH_DEF_VAL,21,BREADTH_REGIME,1.0,false,4,"mom_resid_vs_value,defensive_family_score,pct_vol_60d,pct_book_to_price_proxy",1972,0.11187484295012387,0.1104564350681321,0.01633901034769528,0.3378,0.06086341129685402,-0.2701579594139739,-0.07421556841013294,-0.00005722147502378117,-0.40026545936154917,true,false,false
DEF_VALUE_H21,DEF_VALUE,21,BREADTH_REGIME,1.0,false,4,"defensive_family_score,pct_vol_60d,pct_book_to_price_proxy,pct_earnings_yield_proxy",1972,0.11126024498270358,0.1113184369755773,0.016545140444568274,0.3292,0.05868638710443452,-0.2701579594139739,-0.07639259260255243,-0.00006336871449169291,-0.4791636161375408,true,false,false
TECH2_H63,TECH2,63,BREADTH_REGIME,1.0,false,2,"momentum_family_score,defensive_family_score",1972,0.1439915174636251,0.16232530375151266,0.01743119480505018,0.2858,0.03984582278815463,-0.42680921839791774,-0.17355878641080424,-0.00011145900249306167,-0.6450163136101891,true,false,false
TECH2_DEF_H63,TECH2_DEF,63,BREADTH_REGIME,1.0,false,4,"momentum_family_score,defensive_family_score,pct_vol_60d,pct_drawdown_63d",1972,0.15924409653496188,0.17809693644041838,0.018006018401618917,0.2398,0.043798002770973676,-0.307191468978954,-0.10979773171850332,-0.00011084229900783468,-0.6869167585662876,true,false,false
TECH2_INTER_H21,TECH2_INTER,21,BREADTH_REGIME,1.0,false,2,"mom_x_invvol,defensive_family_score",1972,0.11001709400393189,0.10391979985131106,0.017013948251404083,0.2288,0.03638520770219733,-0.4316619841659143,-0.1794457843807598,-0.00012764485854826303,-0.7388640886511344,true,false,false
TECH2_INTER_H63,TECH2_INTER,63,BREADTH_REGIME,1.0,false,2,"mom_x_invvol,defensive_family_score",1972,0.142535701238898,0.15319969776434506,0.01727239158460849,0.1738,0.031305281600426005,-0.33260180725052835,-0.13499562202483817,-0.00016145209038893207,-0.9397172866718858,true,false,false
MOM_ORTH_VAL_H63,MOM_ORTH_VAL,63,BREADTH_REGIME,1.0,false,2,"mom_resid_vs_value,defensive_family_score",1972,0.14329513574142805,0.15564075535611163,0.011839094592891099,0.168,0.027337739216946044,-0.3900711600805449,-0.1676978408233264,-0.0001672200857999364,-0.9598909196780259,true,false,false
MOM_ORTH_VAL_H21,MOM_ORTH_VAL,21,BREADTH_REGIME,1.0,false,2,"mom_resid_vs_value,defensive_family_score",1972,0.10371135825394069,0.10831249207974222,0.011670224515544718,0.1616,0.026744732706803553,-0.3900711600805449,-0.16829084733346888,-0.0001695912806828556,-0.9782943996784779,true,false,false
