family,top_k,rebalance_every,exit_multiple,neutralization,industry_cap,min_hold_cycles,liquidity_floor,replace_rank_gap,cagr,max_drawdown,average_daily_turnover,total_cost,trade_count,ending_nav,utility,block_bootstrap_positive_probability,mean_daily_excess,hac_t_stat,turnover_gate_pass,bootstrap_gate_pass,implied_avg_rebalance_day_turnover,diag_rebalance_events,diag_forced_rank_exits,diag_liquidity_or_missing_exits,diag_min_hold_blocks,diag_replace_gap_blocks,diag_mean_jaccard,diag_mean_one_way_name_churn,diag_mean_names_held,diag_exit_rank,both_gates_pass,bootstrap_margin,turnover_headroom
C6_industry,20,42,2.0,NONE,3,0,20000000.0,0,0.09196035235234712,-0.29951808284701054,0.022380901790127205,0.1995026847327299,1398,1.9899048227618237,-0.05779868907115815,0.6912,0.00007033050064329856,0.4496637552463329,true,false,0.9399978751853426,47,370,94,0,0,0.3819553642005107,0.5043478260869564,20.0,40,false,-0.008799999999999919,0.0026190982098727965
C6_industry,25,42,2.0,NONE,3,0,20000000.0,0,0.08415683518742201,-0.31507407134642706,0.02170484631024324,0.18882780133301516,1721,1.8813536879615171,-0.07338020048579152,0.6396,0.000040523344131135316,0.2764856505928331,true,false,0.9116035450302161,47,426,126,0,0,0.39705739406656493,0.4791304347826088,25.0,50,false,-0.06040000000000001,0.0032951536897567607
C6_industry,20,42,2.25,NONE,3,0,20000000.0,0,0.08916648849521569,-0.298992365072163,0.021340951840443743,0.18873083662933815,1375,1.9504291859163216,-0.0603296940408658,0.6702,0.00005989219954117356,0.3841078195435447,true,false,0.8963199772986372,47,352,89,0,0,0.4060048554097426,0.4793478260869565,20.0,45,false,-0.029799999999999938,0.0036590481595562586
C6_industry,25,42,2.25,NONE,3,0,20000000.0,0,0.07878341072688033,-0.3065481809011592,0.019450119895625877,0.1678494640817064,1659,1.8096432078015086,-0.07449067972369927,0.5872,0.00001961610687401833,0.13322181781354767,true,false,0.8169050356162868,47,372,117,0,0,0.4495617986021788,0.4252173913043478,25.0,57,false,-0.1127999999999999,0.005549880104374124
C6_industry,20,42,2.5,NONE,3,0,20000000.0,0,0.09126753887121342,-0.3070798520967454,0.020390248955755183,0.17980842522010318,1350,1.9800513758665763,-0.06227238717715927,0.6858,0.00006763568223180658,0.4349402591693724,true,false,0.8563904561417177,47,334,81,0,0,0.43646397899422995,0.4510869565217391,20.0,50,false,-0.01419999999999999,0.004609751044244818
C6_industry,25,42,2.5,NONE,3,0,20000000.0,0,0.06870732733781115,-0.30513174081688776,0.017940436777151996,0.1449061139835788,1617,1.6815777080675025,-0.08385854307063273,0.4864,-0.00001752398381005084,-0.12171927529894466,true,false,0.7534983446403838,47,340,107,0,0,0.4879720539229127,0.388695652173913,25.0,63,false,-0.21359999999999996,0.007059563222848005
C6_industry,20,42,2.0,NONE,4,0,20000000.0,0,0.10033661691582729,-0.3062430845386943,0.022243615047046437,0.20298493307243382,1393,2.1124636536845816,-0.05278492535351986,0.7704,0.00010212461248912672,0.6436228093080795,true,true,0.9342318319759504,47,369,90,0,0,0.38704716821382174,0.49891304347826093,20.0,40,true,0.07040000000000002,0.002756384952953564
C6_industry,25,42,2.0,NONE,4,0,20000000.0,0,0.101391878731943,-0.29690021779892395,0.021495841795750398,0.19788437701287376,1714,2.12836122867615,-0.04705823016751898,0.7832,0.00010294581438965578,0.6989801666093044,true,true,0.9028253554215167,47,416,129,0,0,0.4066653120324272,0.4739130434782609,25.0,50,true,0.08320000000000005,0.0035041582042496036
C6_industry,20,42,2.25,NONE,4,0,20000000.0,0,0.1056396612847097,-0.2999784117509139,0.02111036088141526,0.1960275915086082,1366,2.1934145971494505,-0.04434954459074725,0.806,0.00011975766465647081,0.7594374288616917,true,true,0.8866351570194408,47,349,83,0,0,0.4196220655446126,0.4695652173913043,20.0,45,true,0.1060000000000001,0.003889639118584743
C6_industry,25,42,2.25,NONE,4,0,20000000.0,0,0.09308615856388358,-0.31526453687000644,0.019125267269174157,0.16913828420556254,1649,2.0060076708083963,-0.06454610987111964,0.7156,0.00007147680482105479,0.48531688741210127,true,true,0.8032612253053146,47,369,111,0,0,0.4623178794372151,0.41739130434782606,25.0,57,true,0.015600000000000058,0.005874732730825845
C6_industry,20,42,2.5,NONE,4,0,20000000.0,0,0.10014320452497127,-0.3109164357398352,0.02002294356770411,0.17912284749816626,1341,2.109561143856131,-0.05531501334494632,0.766,0.00009945299126206581,0.6299912368698819,true,true,0.8409636298435726,47,327,80,0,0,0.4484671310124569,0.44239130434782603,20.0,50,true,0.06600000000000006,0.004977056432295891
C6_industry,25,42,2.5,NONE,4,0,20000000.0,0,0.08012967599105747,-0.3310446714300267,0.01760031508615491,0.1468321729396052,1605,1.8273820181644156,-0.08539265972395588,0.6016,0.000023986828679947308,0.16754799295818223,true,false,0.7392132336185063,47,333,102,0,0,0.5041994823348042,0.37826086956521743,25.0,63,false,-0.09839999999999993,0.00739968491384509
C6_industry,20,42,2.0,NONE,5,0,20000000.0,0,0.10038792073507619,-0.3007120488380899,0.02195110039323891,0.20090324349277677,1385,2.113234146378882,-0.049968103683968756,0.7672,0.00010267525858099235,0.6362629315127005,true,true,0.9219462165160343,47,364,87,0,0,0.3976675857714596,0.49021739130434777,20.0,40,true,0.06720000000000004,0.00304889960676109
C6_industry,25,42,2.0,NONE,5,0,20000000.0,0,0.10596748680933166,-0.3032512496185613,0.021064638557885196,0.19433481853464155,1701,2.1985064423916767,-0.045658137999949,0.8078,0.0001208166744373755,0.8096609821164429,true,true,0.8847148194311782,47,413,119,0,0,0.420259219001476,0.4626086956521738,25.0,50,true,0.1078,0.003935361442114805
C6_industry,20,42,2.25,NONE,5,0,20000000.0,0,0.10364218697635486,-0.30299110177653377,0.02100341788973133,0.19523552978194555,1363,2.162611138854763,-0.04785336391191203,0.7874,0.00011431231025990242,0.702565314729851,true,true,0.8821435513687159,47,345,84,0,0,0.4240636065729093,0.46630434782608704,20.0,45,true,0.08740000000000003,0.003996582110268671
C6_industry,25,42,2.25,NONE,5,0,20000000.0,0,0.08728941922866507,-0.313302718646992,0.01914098738908681,0.16355022000055333,1648,1.924292498553249,-0.06936194009483093,0.655,0.000051441157719387536,0.3507596080800855,true,false,0.803921470341646,47,369,110,0,0,0.4649031270712651,0.4165217391304348,25.0,57,false,-0.04499999999999993,0.005859012610913192
C6_industry,20,42,2.5,NONE,5,0,20000000.0,0,0.09910628889565354,-0.3109218161027131,0.020085462971119534,0.18096177301535452,1343,2.094059541670361,-0.056354619155703,0.7554,0.00009700446608370132,0.6083915923422799,true,true,0.8435894447870205,47,329,80,0,0,0.4467702621882822,0.44456521739130433,20.0,50,true,0.055400000000000005,0.0049145370288804675
C6_industry,25,42,2.5,NONE,5,0,20000000.0,0,0.07656350693447189,-0.3308260988058507,0.017810449724055568,0.14655859509987712,1610,1.7807209420727341,-0.08884954246845345,0.5564,0.000012124246019642012,0.08332126022510987,true,false,0.7480388884103338,47,339,101,0,0,0.49908390746607045,0.3826086956521738,25.0,63,false,-0.14359999999999995,0.007189550275944433
C6_industry,20,42,2.0,NONE,6,0,20000000.0,0,0.09863835218574213,-0.31016022076652805,0.02181462147946549,0.19792859944028107,1382,2.0870966127218438,-0.056441758197521896,0.7532,0.00009700947325283134,0.5885394691762894,true,true,0.9162141021375506,47,360,88,0,0,0.40344609482999255,0.4869565217391304,20.0,40,true,0.053200000000000025,0.0031853785205345105
C6_industry,25,42,2.0,NONE,6,0,20000000.0,0,0.1036614370958262,-0.30201041133791895,0.02089155589533696,0.19258699337400922,1695,2.1629061887683614,-0.04734376857313327,0.788,0.00011414465821488786,0.7444907220227489,true,true,0.8774453476041523,47,414,112,0,0,0.4283756230500791,0.45739130434782604,25.0,50,true,0.08800000000000008,0.004108444104663041
C6_industry,20,42,2.25,NONE,6,0,20000000.0,0,0.1015691165942223,-0.3172004292388292,0.02070171204251252,0.19056969183194816,1357,2.1310415349992113,-0.057031098025192295,0.775,0.00010722875534241109,0.6531856243221864,true,true,0.8694719057855258,47,341,82,0,0,0.43115011216016447,0.45978260869565224,20.0,45,true,0.07500000000000007,0.004298287957487483
C6_industry,25,42,2.25,NONE,6,0,20000000.0,0,0.08600745755953998,-0.3254178749975144,0.019038882621850006,0.16457748406321276,1645,1.9066182454489862,-0.07670147993921722,0.6446,0.000047826563683834905,0.3175630169730908,true,false,0.7996330701177002,47,369,107,0,0,0.4696836823442379,0.4139130434782608,25.0,57,false,-0.055400000000000005,0.005961117378149996
