date,close,source
2024-01-02,17853.76,finmind_TAIEX
2024-01-03,17559.31,finmind_TAIEX
2024-01-04,17549.65,finmind_TAIEX
2024-01-05,17519.14,finmind_TAIEX
2024-01-08,17572.66,finmind_TAIEX
2024-01-09,17535.49,finmind_TAIEX
2024-01-10,17465.63,finmind_TAIEX
2024-01-11,17545.32,finmind_TAIEX
2024-01-12,17512.83,finmind_TAIEX
2024-01-15,17546.82,finmind_TAIEX
2024-01-16,17346.87,finmind_TAIEX
2024-01-17,17161.79,finmind_TAIEX
2024-01-18,17227.79,finmind_TAIEX
2024-01-19,17681.52,finmind_TAIEX
2024-01-22,17815.1,finmind_TAIEX
2024-01-23,17874.59,finmind_TAIEX
2024-01-24,17875.83,finmind_TAIEX
2024-01-25,18002.62,finmind_TAIEX
2024-01-26,17995.03,finmind_TAIEX
2024-01-29,18119.63,finmind_TAIEX
2024-01-30,18034.63,finmind_TAIEX
2024-01-31,17889.56,finmind_TAIEX
2024-02-01,17968.11,finmind_TAIEX
2024-02-02,18059.93,finmind_TAIEX
2024-02-05,18096.07,finmind_TAIEX
2024-02-15,18644.57,finmind_TAIEX
2024-02-16,18607.25,finmind_TAIEX
2024-02-19,18635.8,finmind_TAIEX
2024-02-20,18753.16,finmind_TAIEX
2024-02-21,18676.31,finmind_TAIEX
2024-02-22,18852.78,finmind_TAIEX
2024-02-23,18889.19,finmind_TAIEX
2024-02-26,18948.05,finmind_TAIEX
2024-02-27,18854.41,finmind_TAIEX
2024-02-29,18966.77,finmind_TAIEX
2024-03-01,18935.93,finmind_TAIEX
2024-03-04,19305.31,finmind_TAIEX
2024-03-05,19386.92,finmind_TAIEX
2024-03-06,19499.45,finmind_TAIEX
2024-03-07,19693.52,finmind_TAIEX
2024-03-08,19785.32,finmind_TAIEX
2024-03-11,19726.08,finmind_TAIEX
2024-03-12,19914.55,finmind_TAIEX
2024-03-13,19928.51,finmind_TAIEX
2024-03-14,19937.92,finmind_TAIEX
2024-03-15,19682.5,finmind_TAIEX
2024-03-18,19879.85,finmind_TAIEX
2024-03-19,19857.2,finmind_TAIEX
2024-03-20,19784.45,finmind_TAIEX
2024-03-21,20199.09,finmind_TAIEX
2024-03-22,20228.43,finmind_TAIEX
2024-03-25,20192.25,finmind_TAIEX
2024-03-26,20126.49,finmind_TAIEX
2024-03-27,20200.12,finmind_TAIEX
2024-03-28,20146.55,finmind_TAIEX
2024-03-29,20294.45,finmind_TAIEX
2024-04-01,20222.33,finmind_TAIEX
2024-04-02,20466.57,finmind_TAIEX
2024-04-03,20337.6,finmind_TAIEX
2024-04-08,20417.7,finmind_TAIEX
2024-04-09,20796.2,finmind_TAIEX
2024-04-10,20763.53,finmind_TAIEX
2024-04-11,20753.22,finmind_TAIEX
2024-04-12,20736.57,finmind_TAIEX
2024-04-15,20449.77,finmind_TAIEX
2024-04-16,19901.96,finmind_TAIEX
2024-04-17,20213.33,finmind_TAIEX
2024-04-18,20301.2,finmind_TAIEX
2024-04-19,19527.12,finmind_TAIEX
2024-04-22,19411.22,finmind_TAIEX
2024-04-23,19599.28,finmind_TAIEX
2024-04-24,20131.74,finmind_TAIEX
2024-04-25,19857.42,finmind_TAIEX
2024-04-26,20120.51,finmind_TAIEX
2024-04-29,20495.52,finmind_TAIEX
2024-04-30,20396.6,finmind_TAIEX
2024-05-02,20222.44,finmind_TAIEX
2024-05-03,20330.32,finmind_TAIEX
2024-05-06,20523.31,finmind_TAIEX
2024-05-07,20653.53,finmind_TAIEX
2024-05-08,20700.51,finmind_TAIEX
2024-05-09,20560.77,finmind_TAIEX
2024-05-10,20708.84,finmind_TAIEX
2024-05-13,20857.71,finmind_TAIEX
2024-05-14,20985.85,finmind_TAIEX
2024-05-15,21147.21,finmind_TAIEX
2024-05-16,21304.26,finmind_TAIEX
2024-05-17,21258.47,finmind_TAIEX
2024-05-20,21271.63,finmind_TAIEX
2024-05-21,21236.75,finmind_TAIEX
2024-05-22,21551.83,finmind_TAIEX
2024-05-23,21607.43,finmind_TAIEX
2024-05-24,21565.34,finmind_TAIEX
2024-05-27,21803.77,finmind_TAIEX
2024-05-28,21858.41,finmind_TAIEX
2024-05-29,21662.5,finmind_TAIEX
2024-05-30,21364.48,finmind_TAIEX
2024-05-31,21174.22,finmind_TAIEX
