code,date,ret_live_adj,ret_yahoo_adj
2880,2011-12-02,-0.022408963585434205,-0.0224087094915999
2880,2011-12-05,-0.01146131805157602,-0.011461488847712697
2880,2011-12-06,-0.01159420289855062,-0.011594070422281
2880,2011-12-07,0.008797653958944274,0.008797571685874805
2880,2011-12-08,-0.0029069767441860517,-0.0029070011542493557
2880,2011-12-09,-0.011661807580174877,-0.011661828528726992
2880,2011-12-12,-0.002949852507374673,-0.0029497210651890926
2880,2011-12-13,-0.005917159763313307,-0.005917130535495252
2880,2011-12-14,-0.005952380952381153,-0.005952430247053053
2880,2011-12-15,-0.008982035928143617,-0.00898203141457632
2880,2011-12-16,0.0,0.0
2880,2011-12-19,-0.027190332326283984,-0.02719023847612778
2880,2011-12-20,0.0,0.0
2880,2011-12-21,0.04968944099378869,0.04968935613720182
2880,2011-12-22,-0.014792899408283988,-0.014792865541129463
2880,2011-12-23,0.01501501501501501,0.015014980123194466
2880,2011-12-26,-0.002958579881656709,-0.002958526065356293
2880,2011-12-27,0.0029673590504448732,0.002967304914289093
2880,2011-12-28,-0.014792899408283988,-0.014792865541129463
2880,2011-12-29,-0.018018018018017834,-0.018018087562673868
2880,2011-12-30,0.0,0.0
2880,2012-01-02,-0.021406727828746308,0.0
2880,2012-01-03,0.018750000000000044,0.0
2880,2012-01-04,-0.0030674846625766694,0.0
2880,2012-01-05,0.0061538461538463984,0.0
2880,2012-01-06,-0.003058103975535298,-0.0030582915871169014
2880,2012-01-09,-0.00613496932515345,-0.006135021690435449
2880,2012-01-10,0.006172839506172867,0.0061728925199380225
2880,2012-01-11,-0.0030674846625766694,-0.003067429554351242
2880,2012-01-12,-0.009230769230769154,-0.009230521346166642
2880,2012-01-13,0.006211180124223503,0.006210819739320916
2880,2012-01-16,-0.015432098765432056,-0.015431822336513856
2880,2012-01-17,0.01567398119122254,0.015673696028989825
2880,2012-01-18,0.0,0.0
2880,2012-01-30,0.0185185185185186,0.018518759352480263
2880,2012-01-31,0.0181818181818183,0.018181889726725187
2880,2012-02-01,0.0,0.0
2880,2012-02-02,0.005952380952380709,0.0059523513755777024
2880,2012-02-03,-0.002958579881656709,-0.002958526065356293
2880,2012-02-06,-0.02285714285714291,0.01483660320887914
2880,2012-02-07,0.00877192982456143,0.008771926425974685
2880,2012-02-08,0.01739130434782621,0.01739122085437872
2880,2012-02-09,-0.005698005698005715,-0.005697752307459059
2880,2012-02-10,0.0,0.0
2880,2012-02-13,0.005730659025787954,0.005730402722795569
2880,2012-02-14,-0.019943019943020057,-0.019942888085290655
2880,2012-02-15,0.01744186046511631,0.01744192988823201
2880,2012-02-16,-0.011428571428571344,-0.011428515181939436
2880,2012-02-17,0.005780346820809079,0.00578016485958166
2880,2012-02-20,-0.0028735632183904958,-0.002873359052836366
2880,2012-02-21,-0.014409221902017433,-0.014409417121832746
2880,2012-02-22,0.00877192982456143,0.008771926425974685
2880,2012-02-23,-0.005797101449275366,-0.005797073618126203
2880,2012-02-24,0.00874635568513149,0.008746506604807802
2880,2012-02-29,0.00867052023121384,0.008670515361205444
2880,2012-03-01,0.0,0.0
2880,2012-03-02,0.0,0.0
2880,2012-03-05,-0.0029069767441860517,-0.017192119371215342
2880,2012-03-06,-0.002915451895043608,-0.00291547644764778
2880,2012-03-07,-0.011695906432748648,-0.011695772755002776
2880,2012-03-08,0.017751479289940697,0.017751391606485756
2880,2012-03-09,0.0029069767441860517,0.0029069241169854543
2880,2012-03-12,-0.008695652173912993,-0.008695648834175174
2880,2012-03-13,0.023391812865497075,0.023391932948895855
2880,2012-03-14,0.0028571428571428914,0.002856939503935063
2880,2012-03-15,-0.002849002849002913,-0.002848800652811123
2880,2012-03-16,0.0,0.0
2880,2012-03-19,0.0,0.0
2880,2012-03-20,-0.008571428571428452,-0.008571348528144673
2880,2012-03-21,-0.0057636887608071286,-0.005763889042692094
2880,2012-03-22,0.0,0.0
2880,2012-03-23,0.008695652173912993,0.008695648834175174
2880,2012-03-26,-0.02011494252873547,-0.020114807950154745
2880,2012-03-27,0.008797653958944274,0.008797571685874805
2880,2012-03-28,-0.008720930232558044,-0.008720849388220153
2880,2012-03-29,-0.014662756598240234,-0.014662723096464214
2880,2012-03-30,0.005952380952380709,0.0059523513755777024
2880,2012-04-02,-0.005917159763313307,-0.005917130535495252
2880,2012-04-03,0.0,0.0
2880,2012-04-05,-0.0267857142857143,-0.026785778368788038
2880,2012-04-06,0.006116207951070152,0.006116177962957492
2880,2012-04-09,-0.015197568389057725,-0.01519777625109442
2880,2012-04-10,0.006172839506172867,0.0061728925199380225
2880,2012-04-11,-0.0030674846625766694,-0.003067429554351242
2880,2012-04-12,0.0030769230769231992,0.0030768676290513497
2880,2012-04-13,0.009202453987730008,0.009202613826519546
2880,2012-04-16,-0.009118541033434568,-0.00911869797049647
2880,2012-04-17,-0.012269938650306678,-0.012269636926538707
2880,2012-04-18,0.0,0.0
2880,2012-04-19,0.012422360248447228,0.012422050981970356
2880,2012-04-20,-0.009202453987730008,-0.00920236995392032
2880,2012-04-23,0.009287925696594312,0.009287840094543087
2880,2012-04-24,-0.0030674846625766694,-0.003067429554351242
2880,2012-04-25,0.01230769230769213,0.01230779668015658
2880,2012-04-26,-0.003039513677811523,-0.0030396196898985206
2880,2012-04-27,-0.0030487804878045477,-0.003048644761745045
2880,2012-04-30,-0.009174311926605672,-0.009174550592329744
2880,2012-05-02,0.024691358024691468,0.024691651872418063
2880,2012-05-03,-0.003012048192771122,-0.0030120731971702286
2880,2012-05-04,0.012084592145015005,0.012084612704972075
2880,2012-05-07,-0.020895522388059806,-0.02089569595099172
2880,2012-05-08,0.0060975609756099836,0.006097693499421242
2880,2012-05-09,-0.015151515151515249,-0.015151641693527562
2880,2012-05-10,0.01230769230769213,0.01230779668015658
