dd_cut,vol_cut,breadth_cut,crisis_scale,rank_buffer,score_gap,min_hold,train_score,train_ret,train_mdd,train_sharpe,train_turnover,crisis_2008_09_mdd
-0.18,0.3,0.3,0.25,0,0.0,42,-0.08472201055890516,0.23384519237056445,-0.30838663525626575,0.2512897650053921,70.61908834748608,-0.30838663525626575
-0.18,0.3,0.3,0.25,1,0.0,0,-0.09805140349972154,0.2343635966559865,-0.32547228351121815,0.2519533978886202,64.27611286670378,-0.32547228351121815
-0.18,0.3,0.3,0.25,1,0.0,21,-0.09805140349972154,0.2343635966559865,-0.32547228351121815,0.2519533978886202,64.27611286670378,-0.32547228351121815
-0.18,0.3,0.3,0.25,0,0.1,42,-0.11323681727521259,0.20739851250734698,-0.3092016658900226,0.23680263575811417,70.22785493669676,-0.3092016658900226
-0.18,0.3,0.3,0.25,0,0.05,42,-0.12450884130469307,0.19664313568019187,-0.3092016658900226,0.2307424599373447,70.04911417719359,-0.3092016658900226
-0.18,0.3,0.3,0.25,1,0.05,42,-0.12631275514100002,0.20432670370825212,-0.32080663150537647,0.23516514383568163,66.69868345488766,-0.32080663150537647
-0.18,0.3,0.3,0.25,1,0.0,42,-0.12819265698647378,0.20985747185792136,-0.3287225433515415,0.2381591517580652,66.28700133732033,-0.3287225433515415
-0.18,0.3,0.3,0.25,1,0.1,0,-0.16734879021188975,0.15167811821323385,-0.3076707932910976,0.20496065022893187,63.70436031383842,-0.3076707932910976
-0.18,0.3,0.3,0.25,1,0.1,21,-0.16734879021188975,0.15167811821323385,-0.3076707932910976,0.20496065022893187,63.70436031383842,-0.3076707932910976
-0.18,0.3,0.3,0.25,1,0.1,42,-0.18282494888098574,0.16782122281461054,-0.33853763011949745,0.21434358350798424,67.08579985379455,-0.33853763011949745
-0.18,0.3,0.3,0.25,1,0.05,0,-0.19305025299585132,0.13554791033541158,-0.31641980074723675,0.19528641732326726,63.414008632705745,-0.31641980074723675
-0.18,0.3,0.3,0.25,1,0.05,21,-0.19305025299585132,0.13554791033541158,-0.31641980074723675,0.19528641732326726,63.414008632705745,-0.31641980074723675
-0.18,0.3,0.3,0.25,0,0.0,0,-0.20119692216070495,0.11221777143235268,-0.296021885962897,0.18170089826209684,71.12579491274056,-0.296021885962897
-0.18,0.3,0.3,0.25,0,0.0,21,-0.20119692216070495,0.11221777143235268,-0.296021885962897,0.18170089826209684,71.12579491274056,-0.296021885962897
-0.25,0.35,0.25,0.5,0,0.0,42,-0.21420877436217614,0.2299258916833491,-0.43517795783482327,0.24746036927680812,67.4054902767655,-0.43517795783482327
-0.25,0.35,0.25,0.5,0,0.1,42,-0.2423516381132409,0.2035632195150936,-0.4358435714427338,0.23435842247387406,67.01425686597621,-0.4358435714427338
-0.25,0.35,0.25,0.5,0,0.05,42,-0.2567951326134446,0.1898097363155169,-0.4358435714427338,0.22740458023067975,67.00351101859144,-0.4358435714427338
-0.25,0.35,0.25,0.5,1,0.0,0,-0.2718524966069278,0.1916605347588205,-0.45578741715801885,0.2283264205801585,61.11651253149062,-0.45578741715801885
-0.25,0.35,0.25,0.5,1,0.0,21,-0.2718524966069278,0.1916605347588205,-0.45578741715801885,0.2283264205801585,61.11651253149062,-0.45578741715801885
-0.18,0.3,0.3,0.5,0,0.0,42,-0.2856596939582863,0.14447826629553484,-0.4152545872890995,0.2027004183716712,70.30682960377754,-0.4152545872890995
-0.25,0.35,0.25,0.5,1,0.05,42,-0.2942796865171283,0.1655875017893964,-0.44990670686427936,0.21489550476189312,62.90006383686931,-0.44990670686427936
-0.25,0.35,0.25,0.5,1,0.0,42,-0.29434805328609004,0.17200419334653838,-0.45663330653287637,0.2182126139819681,63.08040299589773,-0.45663330653287637
-0.18,0.3,0.3,0.25,0,0.1,21,-0.30058818396670783,0.030141547503804045,-0.30944227582677175,0.13085764018628301,68.74643932473685,-0.3055392674491245
-0.18,0.3,0.3,0.25,0,0.1,0,-0.30058818396670783,0.030141547503804045,-0.30944227582677175,0.13085764018628301,68.74643932473685,-0.3055392674491245
-0.25,0.35,0.25,0.5,1,0.05,0,-0.3054063289085253,0.1437137822682799,-0.4394886059608488,0.2032737988907407,59.91777021006094,-0.4394886059608488
-0.25,0.35,0.25,0.5,1,0.05,21,-0.3054063289085253,0.1437137822682799,-0.4394886059608488,0.2032737988907407,59.91777021006094,-0.4394886059608488
-0.18,0.3,0.3,0.25,0,0.05,0,-0.3065078247936481,0.018525369961441163,-0.30350798422255454,0.12250825661223053,67.5520723875155,-0.29399436564058057
-0.18,0.3,0.3,0.25,0,0.05,21,-0.3065078247936481,0.018525369961441163,-0.30350798422255454,0.12250825661223053,67.5520723875155,-0.29399436564058057
-0.25,0.35,0.25,0.5,1,0.1,0,-0.31178152969035283,0.13692379886791572,-0.43873407229635286,0.199998076606054,59.94212784504213,-0.43873407229635286
