year,n,mad,corr
2011,21,,
2012,247,7.129534550768256e-05,0.9969500057872455
2013,244,2.2137206658872186e-05,0.999025742004323
2014,247,0.00303792665032749,0.18818431373824604
2015,244,2.9198155496728844e-08,0.9999999999935958
2016,241,0.00010369094016926311,0.9936234662346042
2017,243,4.731627270648352e-05,0.9969112079277905
2018,245,2.387382268813061e-05,0.9995816999679272
2019,241,1.4867663655714058e-05,0.9995963763358398
2020,245,2.444405061135479e-08,0.9999999999977481
2021,243,5.7694194932067985e-05,0.9969598515034225
2022,246,1.6737757394934157e-05,0.999913516050987
2023,238,5.130549287945126e-05,0.9961149062763227
2024,242,2.6965773866884782e-05,0.9998812362840287
2025,237,0.0032102300395318536,0.28071833326729323
2026,161,0.00013024324354735196,0.996803466942832
