horizon,n,financial_vs_telco,etf_vs_telco,financial_win,etf_win
1,25,-0.0008043506335940531,0.0009213540139815457,0.56,0.4
5,25,-0.004393943908660178,0.0019078144193392975,0.52,0.64
10,24,0.010500535926838769,0.01619580347634773,0.625,0.6666666666666666
20,24,0.03135833633025741,0.028146966186044012,0.7083333333333334,0.7083333333333334
