date,point_drop_1d,pct_drop_1d,shock_1d,point_drop_2d,pct_drop_2d,shock_2d,point_drop_3d,pct_drop_3d,shock_3d,point_drop_5d,pct_drop_5d,shock_5d,close,shock_combined
2010-01-04,,,False,,,False,,,False,,,False,8207.85,False
2010-01-05,3.5499999999992724,0.00043251277740208316,False,,,False,,,False,,,False,8211.4,False
2010-01-06,116.22000000000116,0.014153493923082738,False,119.77000000000044,0.014592128267451265,False,,,False,,,False,8327.62,False
2010-01-07,-90.20000000000073,-0.010831426025683322,False,26.020000000000437,0.0031687653749665756,False,29.56999999999971,0.003602648683881826,False,,,False,8237.42,False
2010-01-08,43.47999999999956,0.005278351716921037,False,-46.720000000001164,-0.005610246384921691,False,69.5,0.008463842950044986,False,,,False,8280.9,False
2010-01-11,42.92000000000007,0.005183011508410829,False,86.39999999999964,0.010488720983026223,False,-3.8000000000010914,-0.00045631284808878014,False,115.96999999999935,0.014129156843753155,False,8323.82,False
2010-01-12,-14.449999999998909,-0.0017359817968191082,False,28.470000000001164,0.003438032097960564,False,71.95000000000073,0.008734530957508646,False,97.97000000000116,0.011930974011739925,False,8309.37,False
2010-01-13,-112.81000000000131,-0.013576239835270454,False,-127.26000000000022,-0.015288653526866258,False,-84.34000000000015,-0.010184883285633273,False,-131.0600000000013,-0.015737989965920796,False,8196.56,False
2010-01-14,93.42000000000007,0.011397464302097537,False,-19.390000000001237,-0.0023335102420521947,False,-33.840000000000146,-0.004065441107568457,False,52.55999999999949,0.0063806385980076374,False,8289.98,False
2010-01-15,66.90999999999985,0.008071189556549063,False,160.32999999999993,0.019560644953492634,False,47.51999999999862,0.00571884511100107,False,75.98999999999978,0.009176538782016408,False,8356.89,False
2010-01-18,-19.06999999999971,-0.0022819493854771,False,47.840000000000146,0.005770822125023223,False,141.26000000000022,0.01723405916628451,False,14.0,0.0016819200799633727,False,8337.82,False
2010-01-19,-88.81999999999971,-0.010652664605376394,False,-107.88999999999942,-0.012910305149403611,False,-40.97999999999956,-0.0049433171129483755,False,-60.3700000000008,-0.007265292073887819,False,8249.0,False
2010-01-20,-28.06999999999971,-0.0034028367074796506,False,-116.88999999999942,-0.014019252034704444,False,-135.95999999999913,-0.01626921019661609,False,24.3700000000008,0.0029731985125467375,False,8220.93,False
2010-01-21,-93.0600000000004,-0.01131988716605059,False,-121.13000000000011,-0.014684204145957058,False,-209.94999999999982,-0.025180442849569773,False,-162.10999999999967,-0.01955493258126073,False,8127.87,False
