date,trigger_window,point_drop,taiex_return,horizon,financial,telecom,0050,financial_minus_telecom,0050_minus_telecom
2011-08-08,5,-1148.579999999999,-0.1319997517635133,1,-0.00532871220011133,-0.006171224580863055,-0.009345794392523366,0.0008425123807517254,-0.0031745698116603105
2011-08-08,5,-1148.579999999999,-0.1319997517635133,5,0.02625618474214053,0.04335005470358211,0.02056074766355165,-0.017093869961441577,-0.02278930704003046
2011-08-08,5,-1148.579999999999,-0.1319997517635133,10,-0.013812052903298677,0.03979175958839387,-0.03738317757009313,-0.05360381249169255,-0.077174937158487
2011-08-08,5,-1148.579999999999,-0.1319997517635133,20,0.0021432051109422368,0.04157959761477903,0.0018691588785053614,-0.03943639250383679,-0.03971043873627367
2018-10-11,5,-1057.83,-0.09737075131121853,1,0.012363795072720674,0.000935616673029438,0.03423772609819098,0.011428178399691236,0.03330210942516154
2018-10-11,5,-1057.83,-0.09737075131121853,5,-0.0029712564477109016,-0.0021284914614557726,0.02260981912144655,-0.000842764986255129,0.024738310582902323
2018-10-11,5,-1057.83,-0.09737075131121853,10,-0.033657921061319374,0.007330708262968111,-0.024547803617571362,-0.040988629324287484,-0.03187851188053947
2018-10-11,5,-1057.83,-0.09737075131121853,20,0.019454948039480335,0.005246860792001762,0.01873385012919848,0.014208087247478574,0.01348698933719672
2020-03-12,5,-1092.5,-0.09487773147995371,1,-0.022280208206274077,-0.01656685893432286,-0.013998782714546576,-0.005713349271951218,0.002568076219776283
2020-03-12,5,-1092.5,-0.09487773147995371,5,-0.17838180162835549,-0.03430162100307721,-0.16555082166768098,-0.14408018062527828,-0.13124920066460377
2020-03-12,5,-1092.5,-0.09487773147995371,10,-0.09347494060322081,-0.01658393041901296,-0.060255629945221933,-0.07689101018420785,-0.043671699526208974
2020-03-12,5,-1092.5,-0.09487773147995371,20,-0.05640913327517694,-0.0024665782137004433,-0.04077906269020093,-0.053942555061476494,-0.038312484476500486
2021-05-12,2,-1333.2399999999998,-0.07735380412993798,1,-0.01004978604405371,-0.01181656504065054,-0.014683153013910322,0.0017667789965968295,-0.002866587973259782
2021-05-12,2,-1333.2399999999998,-0.07735380412993798,5,0.001773172957697522,0.007089828802800291,0.015455950540958385,-0.005316655845102769,0.008366121738158094
2021-05-12,2,-1333.2399999999998,-0.07735380412993798,10,0.01855715659986834,0.007487933953934212,0.03941267387944358,0.01106922264593413,0.03192473992550937
2021-05-12,2,-1333.2399999999998,-0.07735380412993798,20,0.02316298801202299,0.0267458290678817,0.047140649149922886,-0.00358284105585871,0.020394820082041187
2022-03-08,3,-1109.1500000000015,-0.061844834507984725,1,0.004108022375023168,0.004323284819579554,0.010293556995806252,-0.00021526244455638555,0.005970272176226699
2022-03-08,3,-1109.1500000000015,-0.061844834507984725,5,0.03494216531388039,0.01595118640670834,0.0038124285169651717,0.01899097890717205,-0.012138757889743168
2022-03-08,3,-1109.1500000000015,-0.061844834507984725,10,0.08458622702732965,0.011318913620169901,0.043080442241707706,0.07326731340715975,0.031761528621537805
2022-03-08,3,-1109.1500000000015,-0.061844834507984725,20,0.14647442628759588,0.019401620620495885,0.02020587113991601,0.1270728056671,0.0008042505194201244
2022-05-12,5,-1079.4399999999987,-0.06465214672630515,1,0.0028996887476036015,0.004105090311986803,0.009072164948453532,-0.0012054015643832017,0.004967074636466728
2022-05-12,5,-1079.4399999999987,-0.06465214672630515,5,0.0035771947052600783,0.010987899889722819,0.01690721649484539,-0.00741070518446274,0.005919316605122571
2022-05-12,5,-1079.4399999999987,-0.06465214672630515,10,0.008595659152911717,0.021123141890611263,0.013608247422680408,-0.012527482737699547,-0.007514894467930855
2022-05-12,5,-1079.4399999999987,-0.06465214672630515,20,0.020976281660649798,0.0009687646688016915,0.048247422680412155,0.020007516991848107,0.047278658011610464
2022-07-01,3,-1096.8400000000001,-0.0710392281825295,1,-0.0008051698456333911,0.01643661659821838,-0.009861048857014776,-0.01724178644385177,-0.026297665455233155
2022-07-01,3,-1096.8400000000001,-0.0710392281825295,5,-0.008271802972412923,-0.006612580852171535,0.015239802779022593,-0.0016592221202413882,0.021852383631194128
2022-07-01,3,-1096.8400000000001,-0.0710392281825295,10,-0.040303303680519265,-0.015103305548690216,0.035410129986552574,-0.02519999813182905,0.05051343553524279
2022-07-01,3,-1096.8400000000001,-0.0710392281825295,20,0.025638438297848953,-0.04366878606703395,0.07456812083037145,0.0693072243648829,0.1182369068974054
2024-04-19,5,-1209.4500000000007,-0.05832449628844116,1,0.017170449180747394,0.018270023172580308,-0.0029821073558650157,-0.001099573991832914,-0.021252130528445323
2024-04-19,5,-1209.4500000000007,-0.05832449628844116,5,0.014983245259898137,0.007554492105938282,0.03379721669980129,0.007428753153959855,0.02624272459386301
2024-04-19,5,-1209.4500000000007,-0.05832449628844116,10,0.07557485019905119,0.025584177680010978,0.055003313452617775,0.049990672519040213,0.029419135772606797
2024-04-19,5,-1209.4500000000007,-0.05832449628844116,20,0.11064797660473569,0.03738356281525035,0.10801855533465887,0.07326441378948534,0.07063499251940852
2024-07-19,3,-1127.9900000000016,-0.047004969319401235,1,-0.015108188340614448,-0.0037303516447901863,-0.029798657718120847,-0.011377836695824262,-0.02606830607333066
