date,factor,type
2010-10-25,0.9614711033274955,distribution
2011-10-26,0.9636194029850745,distribution
2012-10-24,0.9650283553875236,distribution
2013-10-24,0.9770017035775127,distribution
2014-10-24,0.9761721752498079,distribution
2015-10-26,0.9696509863429438,distribution
2016-07-28,0.9878048780487804,distribution
2017-02-08,0.9768076398362892,distribution
2017-07-31,0.9914738124238734,distribution
2018-01-29,0.9748571428571429,distribution
2018-07-23,0.9917306556408741,distribution
2019-01-22,0.9699346405228758,distribution
2019-07-19,0.9915356711003627,distribution
2020-01-31,0.968529571351058,distribution
2020-07-21,0.9927872230808861,distribution
2021-01-22,0.9786713286713286,distribution
2021-07-21,0.9974489795918368,distribution
2022-01-21,0.9785378940308519,distribution
2022-07-18,0.9844155844155844,distribution
2023-01-30,0.9779847586790855,distribution
2023-07-18,0.9856060606060606,distribution
2024-01-17,0.9772123053551083,distribution
2024-07-16,0.9949161159125572,distribution
2025-01-17,0.9863670790204493,distribution
2025-07-21,0.993002915451895,distribution
2026-01-22,0.9860821155184412,distribution
2026-07-21,0.9939516129032258,distribution
2025-06-18,0.2499867479459316,split
