code,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,backward_adjustment_factor,raw_close
2801,2010-01-04,5.355206299302221,5.390322406182891,5.32009019242155,5.337648245861885,7999333,0.351161068806703,15.2
2834,2010-01-04,3.1406983091644944,3.151982255185445,3.1068464711016435,3.1143691017822768,19273350,0.376131534031676,8.28
2881,2010-01-04,13.153436469124449,13.18673630828679,12.903687675406896,13.05353695163743,19954945,0.3329983916234038,39.2
2882,2010-01-04,24.844293767753644,24.88590900019544,24.469756675777454,24.761063302870046,12837131,0.41615232441798394,59.5
2884,2010-01-04,3.1621549472833483,3.1621549472833483,3.114958604786582,3.1503558616591567,6920084,0.23598171248383196,13.35
2885,2010-01-04,9.249491026341394,9.249491026341394,9.0153266965606,9.112895167302598,28427320,0.3902738829679913,23.35
2890,2010-01-04,4.268360018878829,4.284904049959754,4.169095832393274,4.202183894555126,17466693,0.33088062161851384,12.7
2891,2010-01-04,6.0101288380320375,6.0852554485074375,5.9800781938418766,6.0101288380320375,28355803,0.30050644190160186,20.0
2801,2010-01-05,5.372764352742556,5.407880459623226,5.32009019242155,5.337648245861885,14601894,0.351161068806703,15.2
2834,2010-01-05,3.1369369938241776,3.1707888318870285,3.1106077864419603,3.133175678483861,28980037,0.376131534031676,8.33
2881,2010-01-05,13.18673630828679,13.20338622786796,13.05353695163743,13.13678654954328,21767471,0.3329983916234038,39.45
2882,2010-01-05,24.88590900019544,25.09398516240443,24.677832837986447,24.719448070428246,23570448,0.41615232441798394,59.4
2884,2010-01-05,3.1621549472833483,3.2093512897801144,3.138556776034965,3.138556776034965,9596743,0.23598171248383196,13.3
2885,2010-01-05,9.171436249747796,9.249491026341394,8.9958130024122,8.9958130024122,38338423,0.3902738829679913,23.05
2890,2010-01-05,4.235271956716978,4.284904049959754,4.169095832393274,4.1856398634742,25711311,0.33088062161851384,12.65
2891,2010-01-05,6.0702301264123575,6.100280770602518,5.995103515936957,6.0101288380320375,23866490,0.30050644190160186,20.0
2801,2010-01-06,5.355206299302221,5.407880459623226,5.32009019242155,5.407880459623226,15862063,0.351161068806703,15.4
2834,2010-01-06,3.1406983091644944,3.182072777907979,3.1294143631435443,3.1632662012063952,31073099,0.376131534031676,8.41
2881,2010-01-06,13.22003614744913,13.569684458653704,13.103486710380938,13.553034539072534,46939458,0.3329983916234038,40.7
2882,2010-01-06,24.802678535311845,25.260446092171627,24.63621760554465,25.13560039484623,43536259,0.41615232441798394,60.4
2884,2010-01-06,3.138556776034965,3.2093512897801144,3.138556776034965,3.1857531185317316,11441915,0.23598171248383196,13.5
2885,2010-01-06,9.034840390708998,9.210463638044596,9.0153266965606,9.190949943896197,38749693,0.3902738829679913,23.55
2890,2010-01-06,4.251815987797903,4.268360018878829,4.169095832393274,4.235271956716978,23668247,0.33088062161851384,12.8
2891,2010-01-06,6.0401794822221975,6.190432703172998,6.0101288380320375,6.190432703172998,54862988,0.30050644190160186,20.6
2801,2010-01-07,5.442996566503896,5.442996566503896,5.372764352742556,5.390322406182891,16640615,0.351161068806703,15.35
2834,2010-01-07,3.178311462567662,3.204640669949879,3.1482209398451277,3.1482209398451277,38262493,0.376131534031676,8.37
2881,2010-01-07,13.619634217397214,13.636284136978386,13.25333598661147,13.336585584517321,35092787,0.3329983916234038,40.05
2882,2010-01-07,25.177215627288028,25.38529178949702,24.802678535311845,24.88590900019544,26256235,0.41615232441798394,59.8
2884,2010-01-07,3.2093512897801144,3.3037439747736475,3.1975522041559232,3.2211503754043065,18427984,0.23598171248383196,13.65
2885,2010-01-07,9.190949943896197,9.288518414638194,9.034840390708998,9.034840390708998,66603139,0.3902738829679913,23.15
2890,2010-01-07,4.251815987797903,4.268360018878829,4.136007770231423,4.152551801312349,38168228,0.33088062161851384,12.55
2891,2010-01-07,6.220483347363158,6.2805846357434785,6.115306092697598,6.1303314147926775,53592486,0.30050644190160186,20.4
2801,2010-01-08,5.407880459623226,5.478112673384567,5.390322406182891,5.442996566503896,19274487,0.351161068806703,15.5
2834,2010-01-08,3.1632662012063952,3.1895954085886125,3.144459624504811,3.178311462567662,18564759,0.376131534031676,8.45
2881,2010-01-08,13.336585584517321,13.553034539072534,13.18673630828679,13.403185262842001,22657164,0.3329983916234038,40.25
2882,2010-01-08,24.88590900019544,25.218830859729827,24.719448070428246,25.13560039484623,19634419,0.41615232441798394,60.4
2884,2010-01-08,3.2565476322768814,3.291944889149456,3.2093512897801144,3.2683467179010726,10594147,0.23598171248383196,13.85
2885,2010-01-08,9.132408861450996,9.210463638044596,8.9567856141154,9.132408861450996,33175339,0.3902738829679913,23.4
2890,2010-01-08,4.1856398634742,4.218727925636052,4.119463739150497,4.169095832393274,16889400,0.33088062161851384,12.6
2891,2010-01-08,6.160382058982838,6.220483347363158,6.115306092697598,6.160382058982838,28060315,0.30050644190160186,20.5
2801,2010-01-11,5.442996566503896,5.530786833705572,5.442996566503896,5.495670726824902,20324545,0.351161068806703,15.65
2834,2010-01-11,3.182072777907979,3.212163300630513,3.1707888318870285,3.178311462567662,25021027,0.376131534031676,8.45
2881,2010-01-11,13.403185262842001,13.586334378234874,13.319935664936152,13.319935664936152,26579915,0.3329983916234038,40.0
2882,2010-01-11,25.13560039484623,25.46852225438062,24.92752423263724,24.92752423263724,20534215,0.41615232441798394,59.9
2884,2010-01-11,3.280145803525264,3.3037439747736475,3.2329494610284977,3.2447485466526893,10782928,0.23598171248383196,13.75
2885,2010-01-11,9.132408861450996,9.229977332192995,9.112895167302598,9.151922555599397,36467583,0.3902738829679913,23.45
2890,2010-01-11,4.169095832393274,4.251815987797903,4.152551801312349,4.1856398634742,29166606,0.33088062161851384,12.65
2891,2010-01-11,6.160382058982838,6.190432703172998,6.1303314147926775,6.1303314147926775,23885946,0.30050644190160186,20.4
2801,2010-01-12,5.495670726824902,5.548344887145908,5.442996566503896,5.478112673384567,15098539,0.351161068806703,15.6
2834,2010-01-12,3.204640669949879,3.208401985290196,3.151982255185445,3.1595048858660784,14920953,0.376131534031676,8.4
2881,2010-01-12,13.486434860747853,13.503084780329022,13.18673630828679,13.2366860670303,30490762,0.3329983916234038,39.75
2882,2010-01-12,25.010754697520834,25.38529178949702,24.761063302870046,24.92752423263724,21526313,0.41615232441798394,59.9
2884,2010-01-12,3.2565476322768814,3.280145803525264,3.1975522041559232,3.2093512897801144,9417769,0.23598171248383196,13.6
2885,2010-01-12,9.210463638044596,9.308032108786593,9.073867779005798,9.171436249747796,31923743,0.3902738829679913,23.5
