id,track,buy_soft,sell_soft,heldout_score,mdd_improve_pp,cagr_giveback_pp,tip_ytd,tip_1y,tip_clean,coexist,vs_live_heldout_delta,full_cagr,full_mdd,heldout_cagr,heldout_mdd,sealed_cagr,sealed_mdd,n_fills,is_champion
SOFT_CHAMP_PLUS_K9_LT30_a10,champ_sens,BELOW_MA120@1+K9_LT30@1,RSI6_GT80,0.08586585525102164,0.10489086922705892,-0.03805002795207457,PASS,PASS,True,True,0.08586585525102164,0.13838361195870053,-0.21615379208416674,0.18106637324289432,-0.21615379208416674,0.24838495441204045,-0.1257977743710541,5771,False
SOFT_BOTH__BELOW_MA120__RSI6_GT80,champion,BELOW_MA120@1,RSI6_GT80,0.0690239229858669,0.0787053514347269,-0.019362856897719993,PASS,PASS,True,True,0.0690239229858669,0.1382848998761952,-0.21641564726209006,0.18087950153235077,-0.21641564726209006,0.24761727507348708,-0.12476370587379615,5785,True
SOFT_CHAMP_PLUS_K9_LT30_a05,champ_sens,BELOW_MA120@1+K9_LT30@0.5,RSI6_GT80,0.06010734925003813,0.08239831409074805,-0.04458192968141983,PASS,PASS,True,True,0.06010734925003813,0.13840169505070476,-0.21637871763552963,0.18113169226018777,-0.21637871763552985,0.248238122887116,-0.12567013045112274,5800,False
SOFT_CHAMP_PLUS_BB_LOWER_a025,champ_sens,BELOW_MA120@1+BB_LOWER@0.25,RSI6_GT80,0.04462102744876573,0.06035098976124864,-0.03145992462496583,PASS,PASS,True,True,0.04462102744876573,0.13832398995846273,-0.21659919087882484,0.18100047220962323,-0.21659919087882484,0.24778732717525953,-0.12523971627938946,5789,False
SOFT_CHAMP_PLUS_BB_LOWER_a05,champ_sens,BELOW_MA120@1+BB_LOWER@0.5,RSI6_GT80,0.035809630957517324,0.050561445856700526,-0.029503629798366404,PASS,PASS,True,True,0.035809630957517324,0.13829762832162373,-0.21669708631787032,0.18098090926135724,-0.21669708631787032,0.2476366037553992,-0.1251986077813415,5784,False
SOFT_CHAMP_PLUS_BB_PCTB_LT0_a05,champ_sens,BELOW_MA120@1+BB_PCTB_LT0@0.5,RSI6_GT80,0.035809630957517324,0.050561445856700526,-0.029503629798366404,PASS,PASS,True,True,0.035809630957517324,0.13829762832162373,-0.21669708631787032,0.18098090926135724,-0.21669708631787032,0.2476366037553992,-0.1251986077813415,5784,False
SOFT_CHAMP_PLUS_BB_LOWER_a10,champ_sens,BELOW_MA120@1+BB_LOWER@1,RSI6_GT80,0.009667786570810577,0.03031751396735949,-0.04129945479309782,PASS,PASS,True,True,0.009667786570810577,0.1383900462762484,-0.21689952563676373,0.18109886751130455,-0.21689952563676373,0.24768548901598741,-0.12523076838448755,5804,False
SOFT_CHAMP_PLUS_BB_PCTB_LT0_a10,champ_sens,BELOW_MA120@1+BB_PCTB_LT0@1,RSI6_GT80,0.009667786570810577,0.03031751396735949,-0.04129945479309782,PASS,PASS,True,True,0.009667786570810577,0.1383900462762484,-0.21689952563676373,0.18109886751130455,-0.21689952563676373,0.24768548901598741,-0.12523076838448755,5804,False
LIVE_KD_OPT,base,none,none,0.0,0.0,0.0,PASS,PASS,True,False,0.0,0.13849076454881026,-0.21720270077643722,0.18068587296337357,-0.21720270077643733,0.24856495256732214,-0.12807794587413646,5751,False
SOFT_BUY_K9_LT30__SELL_RSI6,soft_or,K9_LT30@1,RSI6_GT80,-0.011054363480422769,0.037088672728435856,-0.09628607241771725,PASS,PASS,True,False,-0.011054363480422769,0.1390169784257136,-0.21683181404915297,0.18164873368755075,-0.21683181404915297,0.2501506908718829,-0.13084225976540653,5789,False
SOFT_BUY_K9_LT30_OR_BB_LOWER_a025__SELL_RSI6,soft_or,K9_LT30@0.25+BB_LOWER@0.25,RSI6_GT80,-0.04047972615007778,-0.0012147275261442658,-0.07852999724786702,PASS,PASS,True,False,-0.04047972615007778,0.13889685780576833,-0.21721484805169877,0.18147117293585224,-0.21721484805169877,0.24948345851995324,-0.13021335928657773,5777,False
SOFT_BUY_K9_LT20__SELL_RSI6,soft_or,K9_LT20@1,RSI6_GT80,-0.050352896303307304,0.005866857130332193,-0.112439506867279,PASS,PASS,True,False,-0.050352896303307304,0.1390910028931187,-0.2171440322051339,0.18181026803204636,-0.217144032205134,0.24995876929234195,-0.13114572062227137,5755,False
SOFT_BUY_K9_LT30_OR_BB_LOWER_a10__SELL_RSI6,soft_or,K9_LT30@1+BB_LOWER@1,RSI6_GT80,-0.05213305812140634,0.0029429556060445172,-0.11015202745490171,PASS,PASS,True,False,-0.05213305812140634,0.13903805128267743,-0.217173271220377,0.1817873932379226,-0.21717327122037688,0.2502091819176173,-0.1308465450798938,5774,False
SOFT_BUY_K9_LT30_OR_BB_LOWER_a05__SELL_RSI6,soft_or,K9_LT30@0.5+BB_LOWER@0.5,RSI6_GT80,-0.06559868131943425,-0.012682618373294208,-0.10583212589228008,PASS,PASS,True,False,-0.06559868131943425,0.1390499426896692,-0.21732952696017038,0.18174419422229637,-0.21732952696017027,0.2500355378973256,-0.1303806188137685,5771,False
SOFT_BUY_BB_LOWER__SELL_RSI6,soft_or,BB_LOWER@1,RSI6_GT80,-0.09151244526502955,-0.041378797226254704,-0.1002672960775497,PASS,PASS,True,False,-0.09151244526502955,0.13897881216113572,-0.21761648874869977,0.18168854592414907,-0.21761648874869988,0.24955864461874788,-0.1300710636981559,5737,False
SOFT_BUY_BB_PCTB_LT0__SELL_RSI6,soft_or,BB_PCTB_LT0@1,RSI6_GT80,-0.09151244526502955,-0.041378797226254704,-0.1002672960775497,PASS,PASS,True,False,-0.09151244526502955,0.13897881216113572,-0.21761648874869977,0.18168854592414907,-0.21761648874869988,0.24955864461874788,-0.1300710636981559,5737,False
