window,start,end,n_days,base_cagr,base_mdd,fincap50_cagr,fincap50_mdd,mdd_improve_pp,cagr_giveback_pp,rel_nav_end
mtd,2026-09-01,2026-09-08,6,18.350057137196323,0.0,5.967263190176292,0.0,0.0,1238.2793947020032,0.9799366825446647
ytd,2026-01-01,2026-09-08,164,0.7241895553212856,-0.1395136027078887,0.5484707971405176,-0.0763978796767193,6.311572303116941,17.571875818076798,0.9328351513251865
trailing_1y,2025-09-08,2026-09-08,242,0.568230347120324,-0.13951360270788882,0.4891025002858844,-0.07639787967671907,6.311572303116975,7.912784683443963,0.9516916055320735
heldout_2019_plus,2019-01-01,2026-09-08,1858,0.1847195576267029,-0.22385675312504238,0.1688388050075118,-0.1957521477524421,2.810460537260029,1.5880752619191085,0.9053374398068015
full,2012-12-04,2026-09-08,3353,0.13973785027618724,-0.22385675312504238,0.1285387041512729,-0.1957521477524421,2.810460537260029,1.119914612491435,0.8769119093931153
