year,n_days,ret,max_drawdown,available,book,alpha,mean_e45_exposure
2011,0,,,False,BASE_E16_E18_E22_v2s,0.0,1.0
2015,244,-0.031842976201469364,-0.13627683995558937,True,BASE_E16_E18_E22_v2s,0.0,1.0
2018,247,0.09182623640011811,-0.06933660529602836,True,BASE_E16_E18_E22_v2s,0.0,1.0
2020,245,-0.035402855032972136,-0.22543344437825508,True,BASE_E16_E18_E22_v2s,0.0,1.0
2022,246,0.05376480069005751,-0.1688991582899202,True,BASE_E16_E18_E22_v2s,0.0,1.0
2023,238,0.07573654617208225,-0.06974950311896344,True,BASE_E16_E18_E22_v2s,0.0,1.0
2024,242,0.20824069164481296,-0.06821197813598368,True,BASE_E16_E18_E22_v2s,0.0,1.0
2011,0,,,False,BLEND_E45_A05,0.05,0.9953398647195717
2015,244,-0.035138929087621285,-0.13703406965710097,True,BLEND_E45_A05,0.05,0.9953398647195717
2018,247,0.08494953095970015,-0.06871443810235145,True,BLEND_E45_A05,0.05,0.9953398647195717
2020,245,-0.0266862092240584,-0.21840933817863828,True,BLEND_E45_A05,0.05,0.9953398647195717
2022,246,0.03206890170131338,-0.1837645767344247,True,BLEND_E45_A05,0.05,0.9953398647195717
2023,238,0.10473140072008702,-0.06870501387526307,True,BLEND_E45_A05,0.05,0.9953398647195717
2024,242,0.18652621599708152,-0.06640370529657358,True,BLEND_E45_A05,0.05,0.9953398647195717
2011,0,,,False,BLEND_E45_A10,0.1,0.9906797294391435
2015,244,-0.036565210045461205,-0.13746493172919794,True,BLEND_E45_A10,0.1,0.9906797294391435
2018,247,0.08145302499981288,-0.06709469240997645,True,BLEND_E45_A10,0.1,0.9906797294391435
2020,245,-0.02561251912517415,-0.21743788066771197,True,BLEND_E45_A10,0.1,0.9906797294391435
2022,246,0.024431339439030975,-0.18590646625724538,True,BLEND_E45_A10,0.1,0.9906797294391435
2023,238,0.11642982274839508,-0.06823662173547196,True,BLEND_E45_A10,0.1,0.9906797294391435
2024,242,0.17457970296362335,-0.0654327697510455,True,BLEND_E45_A10,0.1,0.9906797294391435
2011,0,,,False,BLEND_E45_A25,0.25,0.9766993235978588
2015,244,-0.039505953098295965,-0.13419284852228752,True,BLEND_E45_A25,0.25,0.9766993235978588
2018,247,0.07729304759837197,-0.06483241245807059,True,BLEND_E45_A25,0.25,0.9766993235978588
2020,245,-0.02431607621265608,-0.22091438224309334,True,BLEND_E45_A25,0.25,0.9766993235978588
2022,246,0.029563303618554526,-0.17906260546119845,True,BLEND_E45_A25,0.25,0.9766993235978588
2023,238,0.12452328182939465,-0.06631242963319661,True,BLEND_E45_A25,0.25,0.9766993235978588
2024,242,0.14313090588140165,-0.061675035201371964,True,BLEND_E45_A25,0.25,0.9766993235978588
2011,0,,,False,CHAL_E45_E3,1.0,0.9067972943914351
2015,244,-0.0389086685035227,-0.12794397931271617,True,CHAL_E45_E3,1.0,0.9067972943914351
2018,247,0.07620727941290872,-0.06107419347262233,True,CHAL_E45_E3,1.0,0.9067972943914351
2020,245,-0.049772626941249065,-0.208335414858556,True,CHAL_E45_E3,1.0,0.9067972943914351
2022,246,0.03740297310018903,-0.16375481144283455,True,CHAL_E45_E3,1.0,0.9067972943914351
2023,238,0.11372686865882042,-0.06613618772046226,True,CHAL_E45_E3,1.0,0.9067972943914351
2024,242,0.10057924502150128,-0.058755034342650836,True,CHAL_E45_E3,1.0,0.9067972943914351
