alpha,book,year,mdd_improve_pp,share_of_positive_mdd_help
0.05,BLEND_E45_A05,2015,-0.0757229701511597,0.0
0.05,BLEND_E45_A05,2018,0.062216719367691464,0.0813686827131497
0.05,BLEND_E45_A05,2020,0.7024106199616797,0.9186313172868503
0.05,BLEND_E45_A05,2022,-1.4865418444504508,0.0
0.1,BLEND_E45_A10,2015,-0.11880917736085683,0.0
0.1,BLEND_E45_A10,2018,0.2241912886051911,0.21899077032298864
0.1,BLEND_E45_A10,2020,0.7995563710543108,0.7810092296770114
0.1,BLEND_E45_A10,2022,-1.7007307967325191,0.0
0.25,BLEND_E45_A25,2015,0.2083991433301846,0.18762448918906152
0.25,BLEND_E45_A25,2018,0.45041928379577767,0.40551840421526963
0.25,BLEND_E45_A25,2020,0.4519062135161733,0.4068571065956688
0.25,BLEND_E45_A25,2022,-1.0163447171278261,0.0
1.0,CHAL_E45_E3,2015,0.8332860642873197,0.21455625902305184
1.0,CHAL_E45_E3,2018,0.8262411823406035,0.21274232791280437
1.0,CHAL_E45_E3,2020,1.7098029519699076,0.4402436819281109
1.0,CHAL_E45_E3,2022,0.5144346847085646,0.13245773113603287
