book,year,mdd_improve_pp,ret_delta_pp,is_crisis
FIN_ONLY_A10_C1x,2015,-0.06311787655726153,-0.44427337948460544,True
FIN_ONLY_A10_C1x,2018,0.17105472034134594,-0.9424863058403732,True
FIN_ONLY_A10_C1x,2020,0.9119746801036444,1.1007477123893605,True
FIN_ONLY_A10_C1x,2022,-1.6680524154453091,-2.619078945979325,True
FIN_ONLY_A10_C1x,2023,0.1570371054644304,3.7286201113573947,False
FIN_ONLY_A10_C1x,2024,0.23385959208525042,-2.7413196711612686,False
FIN_ONLY_A05_C1x,2015,-0.07701356247791225,-0.2974288186224805,True
FIN_ONLY_A05_C1x,2018,-0.013117738124635014,-0.5632521008021918,True
FIN_ONLY_A05_C1x,2020,0.6421180471372079,0.865585834946192,True
FIN_ONLY_A05_C1x,2022,-1.3323500348710327,-1.8595530212123013,True
FIN_ONLY_A05_C1x,2023,0.09276430428090121,2.6103832926814174,False
FIN_ONLY_A05_C1x,2024,0.1584161490175151,-1.8962699003950867,False
FIN_0050_A05_C1x,2015,-0.07067102245239543,-0.3000611266373632,True
FIN_0050_A05_C1x,2018,0.002619685296567642,-0.6089687443716407,True
FIN_0050_A05_C1x,2020,0.6596669796109955,0.8524290410606095,True
FIN_0050_A05_C1x,2022,-1.442689310259071,-2.0027014126007936,True
FIN_0050_A05_C1x,2023,0.09975912746501558,2.795446073428831,False
FIN_0050_A05_C1x,2024,0.16983285279488225,-2.0204439390618,False
ALL_A05_C1x,2015,-0.0757229701511597,-0.32959528861519205,True
ALL_A05_C1x,2018,0.062216719367691464,-0.6876705440417963,True
ALL_A05_C1x,2020,0.7024106199616797,0.8716645808913737,True
ALL_A05_C1x,2022,-1.4865418444504508,-2.1695898988744133,True
ALL_A05_C1x,2023,0.1044489243700375,2.8994854548004767,False
ALL_A05_C1x,2024,0.18082728394100966,-2.1714475647731435,False
HIGH_BETA_A05_C1x,2015,-0.07067102245239543,-0.3000611266373632,True
HIGH_BETA_A05_C1x,2018,0.002619685296567642,-0.6089687443716407,True
HIGH_BETA_A05_C1x,2020,0.6596669796109955,0.8524290410606095,True
HIGH_BETA_A05_C1x,2022,-1.442689310259071,-2.0027014126007936,True
HIGH_BETA_A05_C1x,2023,0.09975912746501558,2.795446073428831,False
HIGH_BETA_A05_C1x,2024,0.16983285279488225,-2.0204439390618,False
