book,year,n_days,ret,mdd,available
BASE_E16_E18_E22_v2s_C1x,2015,244,-0.031842976201469364,-0.13627683995558937,True
BASE_E16_E18_E22_v2s_C1x,2018,247,0.09182623640011811,-0.06933660529602836,True
BASE_E16_E18_E22_v2s_C1x,2020,245,-0.035402855032972136,-0.22543344437825508,True
BASE_E16_E18_E22_v2s_C1x,2022,246,0.05376480069005751,-0.1688991582899202,True
BASE_E16_E18_E22_v2s_C1x,2023,238,0.07573654617208225,-0.06974950311896344,True
BASE_E16_E18_E22_v2s_C1x,2024,242,0.20824069164481296,-0.06821197813598368,True
FIN_ONLY_A10_C1x,2015,244,-0.03628570999631542,-0.13690801872116198,True
FIN_ONLY_A10_C1x,2018,247,0.08240137334171438,-0.0676260580926149,True
FIN_ONLY_A10_C1x,2020,245,-0.02439537790907853,-0.21631369757721863,True
FIN_ONLY_A10_C1x,2022,246,0.02757401123026426,-0.18557968244437328,True
FIN_ONLY_A10_C1x,2023,238,0.1130227472856562,-0.06817913206431914,True
FIN_ONLY_A10_C1x,2024,242,0.18082749493320027,-0.06587338221513117,True
FIN_ONLY_A05_C1x,2015,244,-0.03481726438769417,-0.1370469755803685,True
FIN_ONLY_A05_C1x,2018,247,0.08619371539209619,-0.06946778267727471,True
FIN_ONLY_A05_C1x,2020,245,-0.026746996683510216,-0.219012263906883,True
FIN_ONLY_A05_C1x,2022,246,0.0351692704779345,-0.18222265863863052,True
FIN_ONLY_A05_C1x,2023,238,0.10184037909889643,-0.06882186007615443,True
FIN_ONLY_A05_C1x,2024,242,0.1892779926408621,-0.06662781664580852,True
FIN_0050_A05_C1x,2015,244,-0.034843587467842996,-0.13698355018011332,True
FIN_0050_A05_C1x,2018,247,0.0857365489564017,-0.06931040844306269,True
FIN_0050_A05_C1x,2020,245,-0.02687856462236604,-0.21883677458214512,True
FIN_0050_A05_C1x,2022,246,0.03373778656404958,-0.1833260513925109,True
FIN_0050_A05_C1x,2023,238,0.10369100690637056,-0.06875191184431328,True
FIN_0050_A05_C1x,2024,242,0.18803625225419496,-0.06651364960803485,True
ALL_A05_C1x,2015,244,-0.035138929087621285,-0.13703406965710097,True
ALL_A05_C1x,2018,247,0.08494953095970015,-0.06871443810235145,True
ALL_A05_C1x,2020,245,-0.0266862092240584,-0.21840933817863828,True
ALL_A05_C1x,2022,246,0.03206890170131338,-0.1837645767344247,True
ALL_A05_C1x,2023,238,0.10473140072008702,-0.06870501387526307,True
ALL_A05_C1x,2024,242,0.18652621599708152,-0.06640370529657358,True
HIGH_BETA_A05_C1x,2015,244,-0.034843587467842996,-0.13698355018011332,True
HIGH_BETA_A05_C1x,2018,247,0.0857365489564017,-0.06931040844306269,True
HIGH_BETA_A05_C1x,2020,245,-0.02687856462236604,-0.21883677458214512,True
HIGH_BETA_A05_C1x,2022,246,0.03373778656404958,-0.1833260513925109,True
HIGH_BETA_A05_C1x,2023,238,0.10369100690637056,-0.06875191184431328,True
HIGH_BETA_A05_C1x,2024,242,0.18803625225419496,-0.06651364960803485,True
