medium_exposure,severe_exposure,recovery_ramp,rank_buffer,score_gap,min_hold,no_trade_band,train_score,train_ret,train_mdd,train_sharpe,train_turnover,crisis_2008_09_ret,crisis_2008_09_mdd
0.8,0.4,20,0,0.0,42,0.1,-0.2129983301466199,0.1729949160334523,-0.3740829376189543,0.21760287269163114,67.34119166056205,0.31227786446060657,-0.3740829376189543
0.8,0.4,20,0,0.0,42,0.05,-0.2129983301466199,0.1729949160334523,-0.3740829376189543,0.21760287269163114,67.34119166056205,0.31227786446060657,-0.3740829376189543
0.7,0.4,10,0,0.0,42,0.05,-0.21654927889419553,0.18362355626318716,-0.3875548897013087,0.22354358774169056,69.94460846048611,0.32902727688837685,-0.3875548897013087
0.7,0.4,10,0,0.0,42,0.1,-0.21654927889419553,0.18362355626318716,-0.3875548897013087,0.22354358774169056,69.94460846048611,0.32902727688837685,-0.3875548897013087
0.8,0.4,20,0,0.05,42,0.05,-0.2539072167918656,0.13473979979629402,-0.37472974791292557,0.1961481163560413,67.06416062167645,0.29507326693998137,-0.37472974791292557
0.8,0.4,20,0,0.05,42,0.1,-0.2539072167918656,0.13473979979629402,-0.37472974791292557,0.1961481163560413,67.06416062167645,0.29507326693998137,-0.37472974791292557
0.7,0.4,10,0,0.05,42,0.1,-0.2572499592800258,0.1455646525362635,-0.388271922545507,0.2027594970073243,69.63727794302943,0.31139369080517465,-0.388271922545507
0.7,0.4,10,0,0.05,42,0.05,-0.2572499592800258,0.1455646525362635,-0.388271922545507,0.2027594970073243,69.63727794302943,0.31139369080517465,-0.388271922545507
0.8,0.4,20,1,0.0,21,0.1,-0.27577126388900053,0.13909506420930295,-0.40418122054808947,0.19846335258873588,61.06288561817524,0.2272493798948514,-0.40418122054808947
0.8,0.4,20,1,0.0,21,0.05,-0.27577126388900053,0.13909506420930295,-0.40418122054808947,0.19846335258873588,61.06288561817524,0.2272493798948514,-0.40418122054808947
0.8,0.5,10,0,0.0,42,0.1,-0.2786394513765195,0.1555904469283056,-0.42038936477897537,0.20936133100620188,69.5533332529399,0.2961087539459675,-0.42038936477897537
0.8,0.5,10,0,0.0,42,0.05,-0.2786394513765195,0.1555904469283056,-0.42038936477897537,0.20936133100620188,69.5533332529399,0.2961087539459675,-0.42038936477897537
0.7,0.4,10,1,0.0,21,0.05,-0.2806846333575317,0.14878828079636386,-0.41809378746629045,0.20440704994746645,63.63966336470348,0.2419929343051206,-0.41809378746629045
0.7,0.4,10,1,0.0,21,0.1,-0.2806846333575317,0.14878828079636386,-0.41809378746629045,0.20440704994746645,63.63966336470348,0.2419929343051206,-0.41809378746629045
0.8,0.4,20,1,0.05,42,0.1,-0.2849587232222968,0.12584409806882224,-0.3982790727072415,0.1908594581107187,63.21938878989882,0.2193567344837688,-0.3982790727072415
0.8,0.4,20,1,0.05,42,0.05,-0.2849587232222968,0.12584409806882224,-0.3982790727072415,0.1908594581107187,63.21938878989882,0.2193567344837688,-0.3982790727072415
0.8,0.4,20,1,0.0,42,0.1,-0.2890133050874803,0.12890714175945073,-0.4056565873788117,0.1926647874991518,63.060676436068974,0.21897801229212233,-0.4056565873788117
0.8,0.4,20,1,0.0,42,0.05,-0.2906480211528824,0.12742486738782932,-0.4056565873788117,0.19183179736108374,63.19896179601676,0.21897801229212233,-0.4056565873788117
0.7,0.4,10,1,0.05,42,0.05,-0.2947968880440976,0.1309678516279087,-0.41232784259441946,0.19443467369512538,65.76072889419868,0.22802283731484807,-0.41232784259441946
0.7,0.4,10,1,0.05,42,0.1,-0.2947968880440976,0.1309678516279087,-0.41232784259441946,0.19443467369512538,65.76072889419868,0.22802283731484807,-0.41232784259441946
0.7,0.4,10,1,0.0,42,0.1,-0.29804538445115764,0.13455596854488805,-0.41945742293496124,0.1965014585699755,65.58815183616392,0.22782340266434176,-0.41945742293496124
0.7,0.4,10,1,0.0,42,0.05,-0.29968718259238913,0.13306520733394334,-0.41945742293496124,0.19568270692976827,65.72647536869613,0.22782340266434176,-0.41945742293496124
0.8,0.4,20,1,0.05,21,0.1,-0.3139609916972112,0.08182275114035709,-0.38227174652684626,0.1648242744070908,59.98884750286216,0.25001290946170074,-0.38227174652684626
0.8,0.4,20,1,0.05,21,0.05,-0.3139609916972112,0.08182275114035709,-0.38227174652684626,0.1648242744070908,59.98884750286216,0.25001290946170074,-0.38227174652684626
0.8,0.5,10,0,0.05,42,0.1,-0.3181676702426879,0.118578311663877,-0.4210694393084399,0.1893889319935514,69.23087159496038,0.2789037639586591,-0.4210694393084399
0.8,0.5,10,0,0.05,42,0.05,-0.3181676702426879,0.118578311663877,-0.4210694393084399,0.1893889319935514,69.23087159496038,0.2789037639586591,-0.4210694393084399
0.8,0.4,20,0,0.0,21,0.1,-0.32613853500890283,0.053247269251345486,-0.3601148961045888,0.14837682351627893,68.21718101457483,0.24375407604425758,-0.3601148961045888
