book,scope,alpha,sleeves,window,cagr,max_drawdown,utility,vol,n_days
BASE_E16_E18_E22_v2s,,0.0,,full,0.13789395672938531,-0.22543344437825508,0.025177234540257776,0.13297638346349747,3351
BASE_E16_E18_E22_v2s,,0.0,,heldout_2019_plus,0.18203522229472702,-0.2254334443782552,0.06931850010559942,0.15058731210766724,1856
BASE_E16_E18_E22_v2s,,0.0,,sealed_2023_plus,0.2488922261012192,-0.14087148125010163,0.17845648547616838,0.16567513128978922,879
BLEND_E45_A05,ALL,0.05,,full,0.13365973293663336,-0.21840933817863817,0.024455063847314273,0.12820091869049402,3351
BLEND_E45_A05,ALL,0.05,,heldout_2019_plus,0.1724320147835161,-0.21840933817863817,0.06322734569419702,0.14401385009266165,1856
BLEND_E45_A05,ALL,0.05,,sealed_2023_plus,0.2346963910554447,-0.11308673030842753,0.17815302590123094,0.15541388862284303,879
BLEND_E45_A25,ALL,0.25,,full,0.12460447735272973,-0.22091438224309323,0.01414728623118311,0.12013913038906245,3351
BLEND_E45_A25,ALL,0.25,,heldout_2019_plus,0.1548439985792287,-0.22091438224309323,0.04438680745768209,0.1336863173383517,1856
BLEND_E45_A25,ALL,0.25,,sealed_2023_plus,0.20570634699499202,-0.09333047125898775,0.15904111136549814,0.1399614900754266,879
CHAL_E45_E3,ALL,1.0,,full,0.10914166540496395,-0.2083354148585559,0.004973957975686005,0.10792207944162498,3351
CHAL_E45_E3,ALL,1.0,,heldout_2019_plus,0.12792457243093502,-0.208335414858556,0.023756865001657024,0.11759660898755235,1856
CHAL_E45_E3,ALL,1.0,,sealed_2023_plus,0.15855389718895552,-0.0954500531708029,0.11082887060355406,0.1202102604180636,879
FIN_ONLY_A05,FIN_ONLY,0.05,Financial,full,0.13453413461432473,-0.219012263906883,0.02502800266088323,0.1288473113152628,3351
FIN_ONLY_A05,FIN_ONLY,0.05,Financial,heldout_2019_plus,0.1744176046794157,-0.2190122639068831,0.06491147272597414,0.14480755606706927,1856
FIN_ONLY_A05,FIN_ONLY,0.05,Financial,sealed_2023_plus,0.23749533889900754,-0.11727579270866828,0.1788574425446734,0.1566673807053173,879
FIN_ONLY_A25,FIN_ONLY,0.25,Financial,full,0.12584299447280167,-0.22088641036537993,0.01539978929011171,0.121752637376244,3351
FIN_ONLY_A25,FIN_ONLY,0.25,Financial,heldout_2019_plus,0.15746629710721516,-0.22088641036537981,0.04702309192452525,0.13567567805491484,1856
FIN_ONLY_A25,FIN_ONLY,0.25,Financial,sealed_2023_plus,0.21045449957390394,-0.09312837193442292,0.16389031360669248,0.14307825658608667,879
FIN_ONLY_FULL,FIN_ONLY,1.0,Financial,full,0.11110435428483734,-0.20877198891038606,0.006718359829644305,0.11006122644709515,3351
FIN_ONLY_FULL,FIN_ONLY,1.0,Financial,heldout_2019_plus,0.13061664206513868,-0.20877198891038617,0.02623064760994559,0.12031178085198424,1856
FIN_ONLY_FULL,FIN_ONLY,1.0,Financial,sealed_2023_plus,0.1593178354609457,-0.09418344951385937,0.112226110704016,0.12346720911956367,879
FIN_0050_A05,FIN_0050,0.05,"Financial,0050",full,0.13411240096972143,-0.21883677458214512,0.024694013678648874,0.12852762959686698,3351
FIN_0050_A05,FIN_0050,0.05,"Financial,0050",heldout_2019_plus,0.17351369418347784,-0.218836774582145,0.06409530689240533,0.14437759065182812,1856
FIN_0050_A05,FIN_0050,0.05,"Financial,0050",sealed_2023_plus,0.23616702856170835,-0.11505788134621875,0.17863808788859897,0.1559357365190847,879
FIN_0050_A25,FIN_0050,0.25,"Financial,0050",full,0.12544249243398053,-0.22102881816559983,0.014928083351180621,0.12124747738770761,3351
FIN_0050_A25,FIN_0050,0.25,"Financial,0050",heldout_2019_plus,0.15651299630305604,-0.22102881816559983,0.045998587220256126,0.13508402373220774,1856
FIN_0050_A25,FIN_0050,0.25,"Financial,0050",sealed_2023_plus,0.2093741994597469,-0.09319585950086784,0.16277626970931297,0.1420856988569511,879
HIGH_BETA_A05,HIGH_BETA,0.05,"0050,Financial",full,0.13411240096972143,-0.21883677458214512,0.024694013678648874,0.12852762959686698,3351
HIGH_BETA_A05,HIGH_BETA,0.05,"0050,Financial",heldout_2019_plus,0.17351369418347784,-0.218836774582145,0.06409530689240533,0.14437759065182812,1856
HIGH_BETA_A05,HIGH_BETA,0.05,"0050,Financial",sealed_2023_plus,0.23616702856170835,-0.11505788134621875,0.17863808788859897,0.1559357365190847,879
HIGH_BETA_A25,HIGH_BETA,0.25,"0050,Financial",full,0.12544249243398053,-0.22102881816559983,0.014928083351180621,0.12124747738770761,3351
HIGH_BETA_A25,HIGH_BETA,0.25,"0050,Financial",heldout_2019_plus,0.15651299630305604,-0.22102881816559983,0.045998587220256126,0.13508402373220774,1856
HIGH_BETA_A25,HIGH_BETA,0.25,"0050,Financial",sealed_2023_plus,0.2093741994597469,-0.09319585950086784,0.16277626970931297,0.1420856988569511,879
