date,nav_base,nav_m2_reloc_bil_fx_c35,rel_chal_vs_base
2012-12-04,3000000.0,3000000.0,1.0
2012-12-05,3004346.074002625,3004048.4612755,0.9999009392660517
2012-12-06,3003888.23254025,3003564.8819653746,0.9998923559900224
2012-12-07,3004130.255535125,3003731.1671124995,0.9998671534225622
2012-12-10,2985921.5330448747,2986646.7745458744,1.000242886992499
2012-12-11,2988964.858970625,2989716.3432684997,1.0002514195828096
2012-12-12,3017725.2938323747,3015712.136607953,0.9993328891703508
2012-12-13,3028825.1955115,3026273.4215952917,0.9991575037344547
2012-12-14,3027051.18917,3025190.4123700946,0.9993852839996353
2012-12-17,3009451.18917,3009157.0033650054,0.9999022460287599
2012-12-18,3013082.19791025,3012292.485921642,0.9997379055940936
2012-12-19,3023082.19791025,3022221.4211103446,0.9997152651686082
2012-12-20,2991282.19791025,2992521.4211103446,1.0004142782653407
2012-12-21,2956432.19791025,2959588.0121052554,1.0010674400709192
2012-12-22,2962132.19791025,2965288.0121052554,1.0010653860071579
2012-12-24,2965532.19791025,2968257.3574599694,1.000918944515807
2012-12-25,2997232.19791025,2997590.9934803247,1.0001197089669345
2012-12-26,2984182.19791025,2985357.3574599694,1.000393796179919
2012-12-27,2990032.19791025,2991390.9934803247,1.0004544417852839
2012-12-28,3007563.545507375,3007783.1158504453,1.0000730060528225
2013-01-02,3037463.545507375,3034653.376322121,0.9990748303170879
2013-01-03,3049413.545507375,3045620.1943322984,0.9987560391142535
2013-01-04,3021313.545507375,3019142.217954916,0.9992813299514418
2013-01-07,3008313.545507375,3006375.0260133236,0.9993556125501125
2013-01-08,3007113.545507375,3006014.7266279752,0.9996345934854899
2013-01-09,3004363.545507375,3003282.0275816987,0.9996400176246002
2013-01-10,3045363.545507375,3041149.3285354218,0.9986161859137737
2013-01-11,3047363.545507375,3042967.1052044374,0.9985572970742466
2013-01-14,3046063.545507375,3042014.2601537006,0.9986706497441109
2013-01-15,3033963.545507375,3030931.0853921315,0.9990004955333975
2013-01-16,3013963.545507375,3012163.308723116,0.9994027012082005
2013-01-17,2994663.545507375,2993577.3544398113,0.9996372911176639
2013-01-18,3020013.545507375,3017202.774894812,0.9990692854286218
2013-01-21,3016563.545507375,3014152.2991795195,0.9992006645006877
2013-01-22,3029444.825333125,3026351.3477489348,0.998978863203475
2013-01-23,3025325.90184475,3022649.249498991,0.9991152515687228
2013-01-24,3006125.90184475,3004722.9788089492,0.9995333119497956
2013-01-25,2995575.90184475,2994760.8418692057,0.999727912093617
2013-01-28,3030149.4881515,3030364.2181463838,1.000070864488938
2013-01-29,3049299.4881515,3049196.4414773677,0.9999662064436331
2013-01-30,3053149.4881515,3052598.344338537,0.9998194835152678
2013-01-31,3075799.4881515,3074589.614483988,0.999606647418932
2013-02-01,3082999.4881515,3082328.18909306,0.9997822578106095
2013-02-04,3169949.4881515,3164696.4414773677,0.9983428610790908
