date,nav,cash,receivables,gross_equity,equity_weight,regime,e45_equity_scale,dividend_credit,stock_shares_added,cil_cash_credit,pre_financial,pre_fin_pub,pre_fin_priv,pre_telecom,pre_0050,pre_def,pre_off,tgt_financial,tgt_fin_pub,tgt_fin_priv,tgt_telecom,tgt_0050,tgt_def,tgt_off
2012-12-04,500000000.0,500000000.0,0.0,0.0,0.0,Bull,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7553646941256098,0.0,0.0,0.09454459206270818,0.15009071381168204,0.0,0.0
2012-12-05,500984275.5568736,400062675.5568736,0.0,100921600.0,0.2014466419885528,Bull,1.0,0.0,0.0,0.0,0.1524111708199349,0.0,0.0,0.018994608142984936,0.030040863025632962,0.0,0.0,0.7665235205942074,0.0,0.0,0.07873235583858453,0.15474412356720815,0.0,0.0
2012-12-06,500800930.8940004,299888780.8940004,0.0,200912150.0,0.4011816624249149,Bull,1.0,0.0,0.0,0.0,0.30643123950678436,0.0,0.0,0.03363711798603969,0.06111330493209084,0.0,0.0,0.7665235205942074,0.0,0.0,0.07873235583858453,0.15474412356720815,0.0,0.0
2012-12-07,500845407.57911026,199730657.57911023,0.0,301114750.0,0.6012129600138899,Bull,1.0,0.0,0.0,0.0,0.45992165748992214,0.0,0.0,0.04841693591084735,0.0928743666131204,0.0,0.0,0.7665235205942074,0.0,0.0,0.07873235583858453,0.15474412356720815,0.0,0.0
2012-12-10,497870338.1491356,99464588.14913562,0.0,398405750.0,0.8002198955677868,Bull,1.0,0.0,0.0,0.0,0.6113289478772465,0.0,0.0,0.06474476892886166,0.12414617876167867,0.0,0.0,0.7670128064304345,0.0,0.0,0.0929051972489882,0.14008199632057722,0.0,0.0
2012-12-11,498701184.7043256,24919684.70432561,0.0,473781500.0,0.9500308291445102,Bull,1.0,0.0,0.0,0.0,0.7286384334848527,0.0,0.0,0.08573470709789782,0.1356576885617597,0.0,0.0,0.7670128064304345,0.0,0.0,0.0929051972489882,0.14008199632057722,0.0,0.0
2012-12-12,503507804.9123834,6280554.912383363,0.0,497227250.0,0.9875264000853448,Bull,1.0,0.0,0.0,0.0,0.7591728395680305,0.0,0.0,0.08964051710748357,0.1387130434098307,0.0,0.0,0.7670128064304345,0.0,0.0,0.0929051972489882,0.14008199632057722,0.0,0.0
2012-12-13,505355154.9123834,6280554.912383363,0.0,499074600.0,0.9875719979279279,Bull,1.0,0.0,0.0,0.0,0.758917557824247,0.0,0.0,0.08891568546043721,0.13973875464324378,0.0,0.0,0.775259604822826,0.0,0.0,0.07826869287294759,0.14647170230422651,0.0,0.0
2012-12-14,504538070.1894644,1536220.1894643623,0.0,503001850.0,0.9969551947013879,Bull,1.0,0.0,0.0,0.0,0.7728262207321183,0.0,0.0,0.08050175477293078,0.14362721919633886,0.0,0.0,0.775259604822826,0.0,0.0,0.07826869287294759,0.14647170230422651,0.0,0.0
2012-12-17,501726620.1894644,1536220.1894643623,0.0,500190400.0,0.9969381329838862,Bull,1.0,0.0,0.0,0.0,0.7731435494762403,0.0,0.0,0.08122790053398045,0.1425666829736654,0.0,0.0,0.775259604822826,0.0,0.0,0.07826869287294759,0.14647170230422651,0.0,0.0
2012-12-18,502776120.1894644,1536220.1894643623,0.0,501239900.0,0.9969445243563169,Bull,1.0,0.0,0.0,0.0,0.7728426916011322,0.0,0.0,0.08169978316496178,0.14240204959022296,0.0,0.0,0.775259604822826,0.0,0.0,0.07826869287294759,0.14647170230422651,0.0,0.0
2012-12-19,504422520.1894644,1536220.1894643623,0.0,502886300.0,0.9969544972161684,Bull,1.0,0.0,0.0,0.0,0.7735255354052084,0.0,0.0,0.08109411924082127,0.14233484257013865,0.0,0.0,0.775259604822826,0.0,0.0,0.07826869287294759,0.14647170230422651,0.0,0.0
2012-12-20,498273520.1894644,1536220.1894643623,0.0,496737300.0,0.9969169138490839,Bull,1.0,0.0,0.0,0.0,0.7737062765314324,0.0,0.0,0.08086341811758181,0.14234721920006962,0.0,0.0,0.775259604822826,0.0,0.0,0.07826869287294759,0.14647170230422651,0.0,0.0
2012-12-21,492557170.1894644,1536220.1894643623,0.0,491020950.0,0.9968811332319587,Bull,1.0,0.0,0.0,0.0,0.7729286528375123,0.0,0.0,0.08063185839873803,0.14332062199570833,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2012-12-22,493457420.1894644,1536220.1894643623,0.0,491921200.0,0.9968868232057904,Bull,1.0,0.0,0.0,0.0,0.7726027300463316,0.0,0.0,0.08081852327742436,0.14346556988203438,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2012-12-24,493626720.1894644,1536220.1894643623,0.0,492090500.0,0.996887890937357,Bull,1.0,0.0,0.0,0.0,0.7733947219337504,0.0,0.0,0.08075393484513968,0.14273923415846695,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2012-12-25,499511520.1894644,1536220.1894643623,0.0,497975300.0,0.9969245550355241,Bull,1.0,0.0,0.0,0.0,0.7727797746357997,0.0,0.0,0.08067821936261721,0.1434665610371072,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2012-12-26,497567170.1894644,1536220.1894643623,0.0,496030950.0,0.9969125370773971,Bull,1.0,0.0,0.0,0.0,0.7720454101779362,0.0,0.0,0.08110864706896317,0.14375847983049783,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2012-12-27,498805770.1894644,1536220.1894643623,0.0,497269550.0,0.9969202036518525,Bull,1.0,0.0,0.0,0.0,0.7724427483139371,0.0,0.0,0.08120996672635443,0.143267488611561,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2012-12-28,502345352.78664136,257952.7866413633,0.0,502087400.0,0.999486503089537,Bull,1.0,0.0,0.0,0.0,0.7777832477848099,0.0,0.0,0.0710168807218011,0.1506863745829261,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2013-01-02,506665002.78664136,257952.7866413633,0.0,506407050.0,0.9994908809860112,Bull,1.0,0.0,0.0,0.0,0.7788326563501973,0.0,0.0,0.06959036011186212,0.1510678645239518,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2013-01-03,508361852.78664136,257952.7866413633,0.0,508103900.0,0.9994925803633231,Bull,1.0,0.0,0.0,0.0,0.7793728971364929,0.0,0.0,0.06831059374271077,0.15180908948411945,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2013-01-04,504043002.78664136,257952.7866413633,0.0,503785050.0,0.9994882325809202,Bull,1.0,0.0,0.0,0.0,0.7780539514125634,0.0,0.0,0.06930142826481427,0.15213285290354256,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2013-01-07,501957102.78664136,257952.7866413633,0.0,501699150.0,0.9994861059138135,Bull,1.0,0.0,0.0,0.0,0.7770873204792528,0.0,0.0,0.07033449632250044,0.1520642891120603,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2013-01-08,501976552.78664136,257952.7866413633,0.0,501718600.0,0.9994861258255802,Bull,1.0,0.0,0.0,0.0,0.7775873152503698,0.0,0.0,0.07082143538905564,0.1510773751861547,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2013-01-09,501360652.78664136,257952.7866413633,0.0,501102700.0,0.999485494553257,Bull,1.0,0.0,0.0,0.0,0.7774810365221906,0.0,0.0,0.07018021818112949,0.15182423984993695,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2013-01-10,508269352.78664136,257952.7866413633,0.0,508011400.0,0.9994924880179631,Bull,1.0,0.0,0.0,0.0,0.7790050645965417,0.0,0.0,0.06961958222740598,0.15086784119401542,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2013-01-11,508249002.78664136,257952.7866413633,0.0,507991050.0,0.999492467697473,Bull,1.0,0.0,0.0,0.0,0.7796644908841034,0.0,0.0,0.06909251136246987,0.1507354654508997,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2013-01-14,508242402.78664136,257952.7866413633,0.0,507984450.0,0.9994924611066943,Bull,1.0,0.0,0.0,0.0,0.7793998450898472,0.0,0.0,0.06921677492298492,0.15087584109386218,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2013-01-15,506147352.78664136,257952.7866413633,0.0,505889400.0,0.9994903602968164,Bull,1.0,0.0,0.0,0.0,0.780194142725194,0.0,0.0,0.06918578119040639,0.15011043638121596,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2013-01-16,502723852.78664136,257952.7866413633,0.0,502465900.0,0.9994868897005553,Bull,1.0,0.0,0.0,0.0,0.7795536213920697,0.0,0.0,0.06964022058220966,0.1502930477262759,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2013-01-17,499776802.78664136,257952.7866413633,0.0,499518850.0,0.9994838640264953,Bull,1.0,0.0,0.0,0.0,0.7794246308112404,0.0,0.0,0.07000605031069518,0.1500531829045598,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2013-01-18,504095952.78664136,257952.7866413633,0.0,503838000.0,0.9994882863367274,Bull,1.0,0.0,0.0,0.0,0.7786328135154222,0.0,0.0,0.0702737242863632,0.15058174853494194,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2013-01-21,503825352.78664136,257952.7866413633,0.0,503567400.0,0.9994880114999878,Bull,1.0,0.0,0.0,0.0,0.7783768677597164,0.0,0.0,0.07058815084095339,0.150522992899318,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2013-01-22,505900652.78664136,257952.7866413633,0.0,505642700.0,0.9994901117734866,Bull,1.0,0.0,0.0,0.0,0.778484763422704,0.0,0.0,0.07068265242006073,0.1503226959307219,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2013-01-23,505496202.78664136,257952.7866413633,0.0,505238250.0,0.9994897038094068,Bull,1.0,0.0,0.0,0.0,0.778186359920161,0.0,0.0,0.07099954421447625,0.1503037996747695,0.0,0.0,0.7805248416691991,0.0,0.0,0.0662015196547107,0.1532736386760903,0.0,0.0
2013-01-24,502477602.78664136,257952.7866413633,0.0,502219650.0,0.9994866382397727,Bull,1.0,0.0,0.0,0.0,0.7777774528309584,0.0,0.0,0.07134248332899633,0.15036670207981795,0.0,0.0,0.7853936312518992,0.0,0.0,0.07276534340894801,0.1418410253391527,0.0,0.0
2013-01-25,500587252.78664136,257952.7866413633,0.0,500329300.0,0.9994846996498504,Bull,1.0,0.0,0.0,0.0,0.7778851695330095,0.0,0.0,0.07122714332319789,0.15037238679364304,0.0,0.0,0.7890452234389245,0.0,0.0,0.07976826469801139,0.13118651186306413,0.0,0.0
2013-01-28,505190615.7643301,161665.76433011377,0.0,505028950.0,0.9996799905633926,Bull,1.0,0.0,0.0,0.0,0.7886393522912519,0.0,0.0,0.07559918733291841,0.13544145093922227,0.0,0.0,0.7890452234389245,0.0,0.0,0.07976826469801139,0.13118651186306413,0.0,0.0
2013-01-29,508773865.7643301,161665.76433011377,0.0,508612200.0,0.9996822443619677,Bull,1.0,0.0,0.0,0.0,0.787161697856372,0.0,0.0,0.07615642745680608,0.1363641190487896,0.0,0.0,0.7890452234389245,0.0,0.0,0.07976826469801139,0.13118651186306413,0.0,0.0
2013-01-30,509359765.7643301,161665.76433011377,0.0,509198100.0,0.9996826098659608,Bull,1.0,0.0,0.0,0.0,0.7874685575098656,0.0,0.0,0.07575686694078938,0.13645718541530596,0.0,0.0,0.7890452234389245,0.0,0.0,0.07976826469801139,0.13118651186306413,0.0,0.0
2013-01-31,512457265.7643301,161665.76433011377,0.0,512295600.0,0.9996845283009327,Bull,1.0,0.0,0.0,0.0,0.7889256861194082,0.0,0.0,0.07512645945721656,0.13563238272430791,0.0,0.0,0.7890452234389245,0.0,0.0,0.07976826469801139,0.13118651186306413,0.0,0.0
2013-02-01,513987965.7643301,161665.76433011377,0.0,513826300.0,0.999685467802559,Bull,1.0,0.0,0.0,0.0,0.7890830661703919,0.0,0.0,0.07487860137497195,0.13572380025719516,0.0,0.0,0.7890452234389245,0.0,0.0,0.07976826469801139,0.13118651186306413,0.0,0.0
2013-02-04,527765215.7643301,161665.76433011377,0.0,527603550.0,0.9996936786292443,Bull,1.0,0.0,0.0,0.0,0.7930858978529318,0.0,0.0,0.07346221168413046,0.1331455690921821,0.0,0.0,0.7890452234389245,0.0,0.0,0.07976826469801139,0.13118651186306413,0.0,0.0
2013-02-05,525473265.7643301,161665.76433011377,0.0,525311600.0,0.9996923425512525,Bull,1.0,0.0,0.0,0.0,0.7935644440320951,0.0,0.0,0.07288610571708336,0.13324179280207393,0.0,0.0,0.7890452234389245,0.0,0.0,0.07976826469801139,0.13118651186306413,0.0,0.0
2013-02-06,527944215.7643301,161665.76433011377,0.0,527782550.0,0.9996937824878032,Bull,1.0,0.0,0.0,0.0,0.7939983761222256,0.0,0.0,0.07211273248799983,0.13358267387757766,0.0,0.0,0.7890452234389245,0.0,0.0,0.07976826469801139,0.13118651186306413,0.0,0.0
2013-02-18,528495765.7643301,161665.76433011377,0.0,528334100.0,0.9996941020632468,Bull,1.0,0.0,0.0,0.0,0.7948680523342669,0.0,0.0,0.07090104108177328,0.13392500864720663,0.0,0.0,0.7890452234389245,0.0,0.0,0.07976826469801139,0.13118651186306413,0.0,0.0
2013-02-19,526738215.7643301,161665.76433011377,0.0,526576550.0,0.9996930813837088,Bull,1.0,0.0,0.0,0.0,0.794639134722043,0.0,0.0,0.07056123684906349,0.13449270981260242,0.0,0.0,0.7890452234389245,0.0,0.0,0.07976826469801139,0.13118651186306413,0.0,0.0
2013-02-20,534016015.7643301,161665.76433011377,0.0,533854350.0,0.99969726420265,Bull,1.0,0.0,0.0,0.0,0.796251493302876,0.0,0.0,0.0697132649602579,0.1337325059395161,0.0,0.0,0.7890452234389245,0.0,0.0,0.07976826469801139,0.13118651186306413,0.0,0.0
2013-02-21,527481565.7643301,161665.76433011377,0.0,527319900.0,0.9996935139067925,Bull,1.0,0.0,0.0,0.0,0.7953199262842732,0.0,0.0,0.06994974307118261,0.1344238445513367,0.0,0.0,0.7890452234389245,0.0,0.0,0.07976826469801139,0.13118651186306413,0.0,0.0
2013-02-22,527032215.7643301,161665.76433011377,0.0,526870550.0,0.9996932525953928,Bull,1.0,0.0,0.0,0.0,0.7954334430809439,0.0,0.0,0.07020443702163565,0.13405537249281327,0.0,0.0,0.7890452234389245,0.0,0.0,0.07976826469801139,0.13118651186306413,0.0,0.0
2013-02-23,530780065.7643301,161665.76433011377,0.0,530618400.0,0.9996954185457261,Bull,1.0,0.0,0.0,0.0,0.7954554574162642,0.0,0.0,0.07041164959008447,0.1338283115393774,0.0,0.0,0.7890452234389245,0.0,0.0,0.07976826469801139,0.13118651186306413,0.0,0.0
2013-02-25,526516615.7643301,161665.76433011377,0.0,526354950.0,0.9996929522079842,Bull,1.0,0.0,0.0,0.0,0.7943773044898754,0.0,0.0,0.07064544382137601,0.1346702038967327,0.0,0.0,0.7917839175791934,0.0,0.0,0.06940798469805952,0.1388080977227471,0.0,0.0
2013-02-26,524638165.7643301,161665.76433011377,0.0,524476500.0,0.9996918528332864,Bull,1.0,0.0,0.0,0.0,0.79489603923961,0.0,0.0,0.07109928791714319,0.13369652567653312,0.0,0.0,0.7917839175791934,0.0,0.0,0.06940798469805952,0.1388080977227471,0.0,0.0
2013-02-27,523426665.7643301,161665.76433011377,0.0,523265000.0,0.999691139609607,Bull,1.0,0.0,0.0,0.0,0.7946333788566882,0.0,0.0,0.07080858203102601,0.1342491787218928,0.0,0.0,0.7917839175791934,0.0,0.0,0.06940798469805952,0.1388080977227471,0.0,0.0
2013-03-01,526698865.7643301,161665.76433011377,0.0,526537200.0,0.999693058453628,Bull,1.0,0.0,0.0,0.0,0.7953106171818315,0.0,0.0,0.07048391863560788,0.13389852263618857,0.0,0.0,0.7917839175791934,0.0,0.0,0.06940798469805952,0.1388080977227471,0.0,0.0
2013-03-04,519153665.7643301,161665.76433011377,0.0,518992000.0,0.9996885974712476,Bull,1.0,0.0,0.0,0.0,0.7939174413671625,0.0,0.0,0.0715204426907682,0.13425071341331693,0.0,0.0,0.7917839175791934,0.0,0.0,0.06940798469805952,0.1388080977227471,0.0,0.0
2013-03-05,523500115.7643301,161665.76433011377,0.0,523338450.0,0.9996911829444507,Bull,1.0,0.0,0.0,0.0,0.7945649627845642,0.0,0.0,0.070895877350117,0.13423034280976942,0.0,0.0,0.7917839175791934,0.0,0.0,0.06940798469805952,0.1388080977227471,0.0,0.0
2013-03-06,523297465.7643301,161665.76433011377,0.0,523135800.0,0.9996910633532422,Bull,1.0,0.0,0.0,0.0,0.7937115640209386,0.0,0.0,0.07108901233768547,0.13489048699461814,0.0,0.0,0.7917839175791934,0.0,0.0,0.06940798469805952,0.1388080977227471,0.0,0.0
2013-03-07,524328465.7643301,161665.76433011377,0.0,524166800.0,0.9996916708229937,Bull,1.0,0.0,0.0,0.0,0.7937797147696154,0.0,0.0,0.0714081009228073,0.13450385513057098,0.0,0.0,0.7917839175791934,0.0,0.0,0.06940798469805952,0.1388080977227471,0.0,0.0
2013-03-08,531661865.7643301,161665.76433011377,0.0,531500200.0,0.9996959237162935,Bull,1.0,0.0,0.0,0.0,0.7954826690306039,0.0,0.0,0.07060690716651837,0.13360634751917114,0.0,0.0,0.7917839175791934,0.0,0.0,0.06940798469805952,0.1388080977227471,0.0,0.0
