signal_date,execution_date,code,side,gross_value,cost,period
2019-01-16,2019-01-17,2618,SELL,0.04948251998576776,0.00024370141092990626,VALIDATION_2019_2022
2019-01-16,2019-01-17,2301,SELL,0.05100449900805815,0.0002511971576146864,VALIDATION_2019_2022
2019-01-16,2019-01-17,1303,SELL,0.0010378078496404985,5.111203659479456e-6,VALIDATION_2019_2022
2019-01-16,2019-01-17,2330,SELL,0.00047342300705968676,2.3316083097689575e-6,VALIDATION_2019_2022
2019-01-16,2019-01-17,1301,SELL,0.0002596012107015794,1.2785359627052785e-6,VALIDATION_2019_2022
2019-01-16,2019-01-17,5871,SELL,0.000864641803357491,4.258360881535644e-6,VALIDATION_2019_2022
2019-01-16,2019-01-17,2892,BUY,0.0004989239992551485,9.60428698566161e-7,VALIDATION_2019_2022
2019-01-16,2019-01-17,5880,BUY,0.05076920398326697,0.00009773071766778891,VALIDATION_2019_2022
2019-01-16,2019-01-17,2412,BUY,6.2188220621332885e-6,1.1971232469606582e-8,VALIDATION_2019_2022
2019-01-16,2019-01-17,2891,BUY,0.0006256257761484539,1.2043296190857738e-6,VALIDATION_2019_2022
2019-01-16,2019-01-17,2882,BUY,0.002653565042433646,5.108112706684769e-6,VALIDATION_2019_2022
2019-01-16,2019-01-17,1216,BUY,0.05076920398326697,0.00009773071766778891,VALIDATION_2019_2022
2019-01-16,2019-01-17,1101,BUY,0.05076920398326697,0.00009773071766778891,VALIDATION_2019_2022
2019-01-16,2019-01-17,1326,BUY,0.00081320228491393,1.5654143984593153e-6,VALIDATION_2019_2022
2019-01-23,2019-01-24,2382,SELL,6.90481511388813e-6,3.4006214435899045e-8,VALIDATION_2019_2022
2019-01-23,2019-01-24,2886,SELL,0.0007164894873263397,3.5287107250822236e-6,VALIDATION_2019_2022
2019-01-23,2019-01-24,2887,SELL,0.00001948357788714855,9.595662109420663e-8,VALIDATION_2019_2022
2019-01-23,2019-01-24,2882,SELL,0.05139377082605451,0.0002531143213183185,VALIDATION_2019_2022
2019-01-23,2019-01-24,2885,SELL,0.0005817749796341656,2.8652417746982663e-6,VALIDATION_2019_2022
2019-01-23,2019-01-24,2884,SELL,0.0003741979524771108,1.8429249159497709e-6,VALIDATION_2019_2022
2019-01-23,2019-01-24,2891,SELL,0.0005253275275027142,2.5872380729508673e-6,VALIDATION_2019_2022
2019-01-23,2019-01-24,2330,SELL,0.0006903348978090917,3.3998993717097774e-6,VALIDATION_2019_2022
2019-01-23,2019-01-24,5871,SELL,0.000823939336642078,4.0579012329622345e-6,VALIDATION_2019_2022
2019-01-23,2019-01-24,5880,SELL,0.00026736714510302434,1.316783189632395e-6,VALIDATION_2019_2022
2019-01-23,2019-01-24,1216,SELL,0.05028237599986577,0.00024764070179933895,VALIDATION_2019_2022
2019-01-23,2019-01-24,1101,SELL,0.0004978282563623468,2.4518041625845582e-6,VALIDATION_2019_2022
2019-01-23,2019-01-24,2002,BUY,0.0003623729664197082,6.975679603579384e-7,VALIDATION_2019_2022
2019-01-23,2019-01-24,3045,BUY,0.00012841350105902074,2.471959895386149e-7,VALIDATION_2019_2022
2019-01-23,2019-01-24,2892,BUY,0.00011195506491729389,2.1551349996579074e-7,VALIDATION_2019_2022
2019-01-23,2019-01-24,1301,BUY,0.0008650383523926551,1.6651988283558611e-6,VALIDATION_2019_2022
2019-01-23,2019-01-24,2412,BUY,0.00012406261277217933,2.388205295864452e-7,VALIDATION_2019_2022
2019-01-23,2019-01-24,2301,BUY,0.05113157694968668,0.00009842828562814687,VALIDATION_2019_2022
2019-01-23,2019-01-24,2308,BUY,0.000023911606531268276,4.6029842572691435e-8,VALIDATION_2019_2022
2019-01-23,2019-01-24,1303,BUY,0.0009675687754917707,1.8625698928216586e-6,VALIDATION_2019_2022
2019-01-23,2019-01-24,1326,BUY,0.0006073838517081579,1.169213914538204e-6,VALIDATION_2019_2022
2019-01-23,2019-01-24,1102,BUY,0.05113157694968668,0.00009842828562814687,VALIDATION_2019_2022
2019-01-30,2019-02-11,2382,SELL,0.000338759544540608,1.6683907568624948e-6,VALIDATION_2019_2022
2019-01-30,2019-02-11,2002,SELL,0.00007715893579444966,3.800077587876646e-7,VALIDATION_2019_2022
2019-01-30,2019-02-11,2885,SELL,0.0005049082232873175,2.486672999690039e-6,VALIDATION_2019_2022
2019-01-30,2019-02-11,2884,SELL,0.00016768774378589368,8.258621381455265e-7,VALIDATION_2019_2022
2019-01-30,2019-02-11,1303,SELL,0.0008702485303312898,4.285974011881603e-6,VALIDATION_2019_2022
2019-01-30,2019-02-11,2330,SELL,0.052756189146837086,0.0002598242315481727,VALIDATION_2019_2022
2019-01-30,2019-02-11,1301,SELL,0.0004831736584494789,2.3796302678636838e-6,VALIDATION_2019_2022
2019-01-30,2019-02-11,1101,SELL,0.0009928432145651644,4.8897528317334355e-6,VALIDATION_2019_2022
2019-01-30,2019-02-11,2301,SELL,0.0009169780518908446,4.51611690556241e-6,VALIDATION_2019_2022
2019-01-30,2019-02-11,3045,BUY,0.0010488634211790076,2.01906208576959e-6,VALIDATION_2019_2022
2019-01-30,2019-02-11,2886,BUY,0.000277641569889471,5.344600220372316e-7,VALIDATION_2019_2022
2019-01-30,2019-02-11,2892,BUY,0.000285604456739493,5.497885792235241e-7,VALIDATION_2019_2022
2019-01-30,2019-02-11,5880,BUY,0.0007708495603094713,1.4838854035957324e-6,VALIDATION_2019_2022
2019-01-30,2019-02-11,2891,BUY,0.00029420301756123674,5.663408088053807e-7,VALIDATION_2019_2022
2019-01-30,2019-02-11,1102,BUY,0.00012092141993971973,2.3277373338396049e-7,VALIDATION_2019_2022
2019-01-30,2019-02-11,2412,BUY,0.0008099050358205449,1.5590671939545489e-6,VALIDATION_2019_2022
2019-01-30,2019-02-11,5871,BUY,0.00011832044328711352,2.2776685332769354e-7,VALIDATION_2019_2022
2019-01-30,2019-02-11,2887,BUY,0.00028482761381526216,5.482931565943797e-7,VALIDATION_2019_2022
2019-01-30,2019-02-11,1326,BUY,0.00032520786016485855,6.260251308173527e-7,VALIDATION_2019_2022
2019-01-30,2019-02-11,2308,BUY,0.00020160237791489702,3.880845774861768e-7,VALIDATION_2019_2022
2019-01-30,2019-02-11,3481,BUY,0.05217956242842265,0.0001004456576747136,VALIDATION_2019_2022
2019-02-15,2019-02-18,3045,SELL,0.000052745913714159764,2.5977362504223684e-7,VALIDATION_2019_2022
2019-02-15,2019-02-18,2892,SELL,0.0008140371087883153,4.009132760782453e-6,VALIDATION_2019_2022
2019-02-15,2019-02-18,2382,SELL,0.00002393078819667993,1.1785913186864867e-7,VALIDATION_2019_2022
2019-02-15,2019-02-18,2308,SELL,0.001155206300986318,5.689391032357617e-6,VALIDATION_2019_2022
2019-02-15,2019-02-18,2887,SELL,0.0008784258431939057,4.326247277729986e-6,VALIDATION_2019_2022
2019-02-15,2019-02-18,2885,SELL,0.0001464107914550955,7.210731479163454e-7,VALIDATION_2019_2022
2019-02-15,2019-02-18,2884,SELL,0.0006666355964011356,3.283180312275593e-6,VALIDATION_2019_2022
2019-02-15,2019-02-18,5871,SELL,0.05277249138609746,0.00025990452007653,VALIDATION_2019_2022
2019-02-15,2019-02-18,5880,SELL,0.00029563010675984214,1.4559782757922227e-6,VALIDATION_2019_2022
2019-02-15,2019-02-18,1102,SELL,0.00216112071042239,0.000010643519498830272,VALIDATION_2019_2022
2019-02-15,2019-02-18,3481,SELL,0.049943295467204545,0.0002459707301759824,VALIDATION_2019_2022
2019-02-15,2019-02-18,2002,BUY,0.00021268523183984198,4.094190712916958e-7,VALIDATION_2019_2022
2019-02-15,2019-02-18,2886,BUY,0.00047745565999923875,9.191021454985347e-7,VALIDATION_2019_2022
2019-02-15,2019-02-18,1301,BUY,0.00020771858778610605,3.9985828148825414e-7,VALIDATION_2019_2022
2019-02-15,2019-02-18,1101,BUY,0.0003895056229134426,7.497983241083771e-7,VALIDATION_2019_2022
2019-02-15,2019-02-18,2324,BUY,0.05188068332272889,0.00009987031539625312,VALIDATION_2019_2022
2019-02-15,2019-02-18,2891,BUY,0.00008214600071764516,1.5813105138146695e-7,VALIDATION_2019_2022
2019-02-15,2019-02-18,2330,BUY,0.05188068332272889,0.00009987031539625312,VALIDATION_2019_2022
2019-02-15,2019-02-18,2412,BUY,0.0001919978543661123,3.695958696547662e-7,VALIDATION_2019_2022
2019-02-15,2019-02-18,2301,BUY,0.00015485621977083102,2.9809822305884975e-7,VALIDATION_2019_2022
2019-02-15,2019-02-18,1303,BUY,0.001521338188321031,2.928576012517985e-6,VALIDATION_2019_2022
2019-02-15,2019-02-18,1326,BUY,0.001166260335814768,2.2450511464434284e-6,VALIDATION_2019_2022
2019-02-22,2019-02-25,2412,SELL,0.05248174503044431,0.0002584725942749383,VALIDATION_2019_2022
2019-02-22,2019-02-25,2886,SELL,0.0001506257860496435,7.418319962944943e-7,VALIDATION_2019_2022
2019-02-22,2019-02-25,2887,SELL,0.000028404297240977594,1.3989116391181466e-7,VALIDATION_2019_2022
2019-02-22,2019-02-25,2885,SELL,0.0005013324199274541,2.4690621681427117e-6,VALIDATION_2019_2022
2019-02-22,2019-02-25,2891,SELL,0.000032463603242126327,1.5988324596747218e-7,VALIDATION_2019_2022
2019-02-22,2019-02-25,1303,SELL,0.0003767667901480101,1.85557644147895e-6,VALIDATION_2019_2022
2019-02-22,2019-02-25,1301,SELL,0.0002913945140079477,1.4351179814891426e-6,VALIDATION_2019_2022
