portfolio,start,end,days,ending_nav,cumulative_return,cagr,annualized_volatility,sharpe_rf0,max_drawdown,calmar,average_daily_turnover,total_cost,trade_count,utility,top_k,rebalance_every
TOP20_EVERY5,2011-01-03,2018-12-28,1972,1.2290804586362833,0.22908045863628335,0.026722763314956266,0.12952497606455265,0.26863958051553166,-0.26005334902752686,0.10275877397805648,0.049305169554290956,0.33111594803190486,8992,-0.10330391119880716,20,5
TOP30_EVERY10,2011-01-03,2018-12-28,1972,1.052606203304382,0.05260620330438193,0.0065764953772795565,0.133870951531691,0.11614728474540467,-0.2929287569730984,0.02245083564084328,0.03356823698727151,0.2151670993451732,7052,-0.13988788310926964,30,10
TOP30_EVERY5,2011-01-03,2018-12-28,1972,0.9905800432179964,-0.00941995678200358,-0.0012093546484578388,0.13285465320633105,0.05757725341547143,-0.3025924452902059,-0.003996645214648332,0.04511057275690127,0.27616816940783045,13393,-0.1525055772935608,30,5
TOP50_EVERY21,2011-01-03,2018-12-28,1972,1.0278093016388503,0.027809301638850314,0.003513143322526391,0.14678447156791,0.09753497240168643,-0.3181950341732528,0.0110408489926764,0.02185007268824499,0.13621804476036756,5839,-0.1555843737641,50,21
TOP50_EVERY10,2011-01-03,2018-12-28,1972,0.9646271870301069,-0.03537281296989314,-0.004593892521045695,0.1469257848689937,0.04237348589437502,-0.31163501723750064,-0.01474125905929447,0.03179229790401759,0.19360176809377153,11574,-0.16041140113979602,50,10
TOP50_EVERY5,2011-01-03,2018-12-28,1972,0.9084235888026221,-0.09157641119737792,-0.012204574924187361,0.14610713413245777,-0.010733138833336995,-0.3220256896462175,-0.03789938292685748,0.04243621173400156,0.24511290637598235,22026,-0.1732174197472961,50,5
