date,rel_soft,ex_soft,rel_sleeve,ex_sleeve
2012-12-04,1.0,,1.0,
2012-12-05,1.0000400979035713,4.0173328627712834e-05,1.0,0.0
2012-12-06,1.0000165982762053,-2.3490711982376844e-05,1.0,0.0
2012-12-07,1.0000203879997969,3.7902827516589355e-06,1.0,0.0
2012-12-10,1.0003991916452741,0.00037625343825364865,1.0,0.0
2012-12-11,1.00086429688116,0.000465569690420109,0.9999981929651645,-1.809561415822003e-06
2012-12-12,1.0001914587831915,-0.0006794745042986161,0.9999988011569697,6.147225395380929e-07
2012-12-13,1.0001644437488135,-2.7108706392109383e-05,1.000001971475926,3.181924634887423e-06
2012-12-14,1.0000788579974589,-8.547107686118771e-05,1.0000013794825173,-5.912962631748897e-07
2012-12-17,1.0003134682537438,0.00023321676228160726,1.0000001919799297,-1.1805407417186942e-06
2012-12-18,1.000521028988687,0.00020782360163851266,1.0000045343729826,4.349254597357799e-06
2012-12-19,1.0007603610387896,0.00023999442579447638,1.0000021398343653,-2.402405929302631e-06
2012-12-20,1.0003212228431535,-0.0004337794609505785,0.9999999579899117,-2.156853876833509e-06
2012-12-21,1.0015768568521701,0.0012392944346342194,0.9999995510844596,-4.0173941184828976e-07
2012-12-22,1.0009854569931287,-0.0005917691615593412,1.000001883536455,2.337589795509132e-06
2012-12-24,1.000392817024354,-0.0005927313382190214,0.9999996538335528,-2.232240073896108e-06
2012-12-25,1.000579087640747,0.00018835721679022477,1.0000002583528276,6.11531427052725e-07
2012-12-26,1.0008297366111014,0.0002494101817744898,0.999998449934909,-1.8005217217176295e-06
2012-12-27,1.0011872381150475,0.0003579266224262856,1.0000037704411169,5.331261153873612e-06
2012-12-28,1.001151527126645,-3.59143591819322e-05,1.0000034689802306,-3.0353647773040393e-07
2013-01-02,1.0006714580094151,-0.0004840917013080315,1.0000010671716264,-2.4247142946798306e-06
2013-01-03,1.000963479821604,0.00029279195097031696,1.0000034246320437,2.3652622502812193e-06
2013-01-04,1.0011354528723988,0.0001702720901345378,1.0000018673324678,-1.5433768508765766e-06
2013-01-07,1.0006295530800509,-0.0005032262486225347,1.000002473177146,6.03326098858048e-07
2013-01-08,1.0005376556923156,-9.185601071415306e-05,1.0000018747885095,-5.984942781367408e-07
2013-01-09,1.0007328151914219,0.0001947814355525157,1.000005669720628,3.789609874460531e-06
2013-01-10,1.00071746706484,-1.5554043401033724e-05,1.0000034256726933,-2.2758086428709134e-06
2013-01-11,1.0005964526281867,-0.00012098293761830803,1.0000030306712004,-3.951806504254307e-07
2013-01-14,1.0006753704572207,7.885535634888363e-05,1.0000036215347754,5.907461902987521e-07
2013-01-15,1.0010552932148016,0.00037804351691284044,1.000004822689718,1.1960164595370415e-06
2013-01-16,1.0008502267336299,-0.00020345907064978075,1.0000048556668024,3.275296378557613e-08
2013-01-17,1.0016139706388545,0.00075793816265457,1.0000052893168971,4.307174288342708e-07
2013-01-18,1.0006614062507566,-0.0009599692019752748,1.0000036525324112,-1.6521616428288866e-06
2013-01-21,1.0011338735460096,0.0004715438372466796,1.0000040546627726,4.016083648972213e-07
2013-01-22,1.000610500496986,-0.0005252299064131272,1.0000042548781898,2.0115276333498855e-07
2013-01-23,1.0007740965971517,0.0001633199889252701,1.00000396804659,-2.865210926294992e-07
2013-01-24,1.001197092055331,0.000419817397692146,1.0000029980013065,-9.634985576045807e-07
2013-01-25,1.000954647418183,-0.00024133573471751824,1.0000039082019367,9.071194110310543e-07
2013-01-28,1.0001812382988509,-0.0007815671311190986,1.0000048523666716,9.550310167139031e-07
2013-01-29,0.99988500650658,-0.00029812990535016404,1.0000054099040674,5.612088027628914e-07
2013-01-30,1.0000877248233146,0.00020297447071104813,1.000005207488562,-2.0264687439208728e-07
2013-01-31,0.9991256666978169,-0.0009696985509357603,1.0000064312072074,1.2335388928086388e-06
2013-02-01,0.9998717363074847,0.0007483605541886984,1.0000055431379529,-8.900116583721029e-07
2013-02-04,0.9990249080282878,-0.0008716272351214638,1.00000831126155,2.8488055172637416e-06
2013-02-05,0.9998236454921692,0.0007955983839531555,1.0000071194837368,-1.1859266819680414e-06
2013-02-06,0.9991629382457367,-0.0006646635302027804,1.0000083982242387,1.2861615210635335e-06
2013-02-18,0.9991934340009874,3.056222927555474e-05,1.0000082928280434,-1.055366340985131e-07
2013-02-19,0.9996406639642905,0.0004458527108002208,1.000007947090749,-3.443917331313884e-07
2013-02-20,0.9998378895506684,0.00020013351996994722,1.0000073685481206,-5.868571568701242e-07
2013-02-21,1.0004436398054548,0.0005978262782789789,1.0000065231490642,-8.341987693949449e-07
2013-02-22,1.0005026030754736,5.88770235155911e-05,1.0000067188558708,1.9550596408457466e-07
2013-02-23,0.9995732220723446,-0.0009364828115410173,1.0000076021553959,8.904905630657822e-07
2013-02-25,0.9999810035110235,0.0004043265022896092,1.0000067243717394,-8.699685585256134e-07
2013-02-26,1.0003788150548238,0.0003962175706457849,1.0000061816474657,-5.405357528243115e-07
2013-02-27,0.999605418011083,-0.000772101898782962,1.00000714074584,9.578490416384255e-07
2013-03-01,0.99952354363373,-8.244848600935661e-05,1.0000078496814853,7.136199595692005e-07
2013-03-04,1.0001166384140963,0.0005840989504842797,1.0000064386429415,-1.3889634584707267e-06
2013-03-05,0.9997398010834967,-0.00038025814438702454,1.00000704573763,6.126732166045201e-07
2013-03-06,1.000289714138293,0.0005493444836380812,1.000006102546228,-9.41964408585072e-07
2013-03-07,1.0004037858111257,0.00011423147738631734,1.0000060922440386,-1.0319547438797372e-08
2013-03-08,0.9994512490902961,-0.0009672962623663572,1.0000074006047992,1.3291621758781957e-06
2013-03-11,0.999693205540402,0.000241681794530324,1.0000072256019856,-1.747069431345949e-07
2013-03-12,0.9996343335570408,-5.840648139376903e-05,1.0000071909088077,-3.440805007581815e-08
2013-03-13,0.9993911426368041,-0.00024320450520365355,1.0000069094996282,-2.8131996887559296e-07
2013-03-14,0.9999411031611226,0.0005492891941979439,1.0000064485631108,-4.600903766860398e-07
2013-03-15,0.9984760286686767,-0.0014632882435494654,1.0000089226647135,2.4709236541298196e-06
2013-03-18,0.9999106856269092,0.0014140690994179916,1.0000064644524018,-2.4192219835184048e-06
2013-03-19,0.9996272620110052,-0.0002832983967037128,1.0000066607258822,1.961679746420586e-07
2013-03-20,1.0001665543299412,0.0005366194391832613,1.000006114784877,-5.430290713759334e-07
2013-03-21,0.9999475349038913,-0.00021880838057208862,1.0000064107023874,2.9567979731304206e-07
2013-03-22,0.9998483578289057,-9.871861520704961e-05,1.0000063433436643,-6.704340060892378e-08
2013-03-25,1.000099275664176,0.0002545667974718224,1.0000062533664074,-9.12713258305331e-08
2013-03-26,1.0008831108482656,0.0007808891135955287,1.0000054083843644,-8.418844562596561e-07
2013-03-27,1.0005055741437359,-0.0003802810981512472,1.0000057472500923,3.41628597855248e-07
2013-03-28,1.000795030654015,0.0002885119017490556,1.0000053794602746,-3.667728076806043e-07
2013-03-29,1.0007151454781011,-8.01729230730519e-05,1.0000054513979038,7.225375919794885e-08
2013-04-01,1.0005465453493094,-0.00016781400089549425,1.000005760666679,3.080452164461178e-07
2013-04-02,1.0005854868232873,3.881095558389003e-05,1.000005392275009,-3.673554999084061e-07
2013-04-03,1.0003780284056958,-0.00020821320377906183,1.0000056568252822,2.656667958955694e-07
2013-04-08,1.0015651974834598,0.0011553593689136443,1.0000034500676667,-2.148428161041771e-06
2013-04-09,1.0014196121119694,-0.00014552236896459014,1.0000038391071218,3.894784132985052e-07
2013-04-10,1.0017778729958347,0.0003576743262928561,1.000003250412473,-5.88562907077872e-07
2013-04-11,1.0020402200536405,0.0002629784539693869,1.000002160540307,-1.0944339443597073e-06
2013-04-12,1.002367273854339,0.00032558502728585736,1.0000016754282728,-4.839176787063693e-07
2013-04-15,1.0029102845187459,0.00053906331766429,1.0000006979823055,-9.726359806450091e-07
2013-04-16,1.0028552028905644,-5.4811419040956544e-05,1.0000008969305132,1.9854826183163254e-07
2013-04-17,1.003245225511208,0.0003847960110797688,1.0000005072133515,-3.8559210990829484e-07
2013-04-18,1.0028509434189508,-0.00039312324083462524,1.0000013601727211,8.53211876927773e-07
2013-04-19,1.0020360601843838,-0.0008249253566425807,1.0000057634385702,4.470231084408027e-06
2013-04-22,1.0025386583561122,0.0005023105233676883,1.0000054120399349,-3.519105531424316e-07
2013-04-23,1.0021773749386929,-0.00036097893694253536,1.0000060888443403,6.779470695938983e-07
2013-04-24,1.0016732197133023,-0.0005054396722179444,1.0000065478370856,4.611612685057054e-07
2013-04-25,1.0023666345079802,0.0006906704476905556,1.000005683067438,-8.627826985074805e-07
2013-04-26,1.0030794698152155,0.0007094146977780769,1.0000047170303759,-9.636712484661913e-07
2013-04-29,1.0026962696000479,-0.00038211235962437584,1.000005009855788,2.928919242695116e-07
2013-04-30,1.0026335967498912,-6.290587929203006e-05,1.0000052699181532,2.6173181910671417e-07
2013-05-02,1.0022504806521613,-0.0003838047878979012,1.000006118902963,8.527463553065218e-07
2013-05-03,1.001790979089425,-0.0004602847727823711,1.0000068670586446,7.51112879671112e-07
2013-05-06,1.00222305565462,0.0004313259675281511,1.0000059979355673,-8.691611568245605e-07
2013-05-07,1.0021637407296005,-5.9213636037780404e-05,1.0000059948685207,-3.0685973761990226e-09
