cost_multiple,mdd_improve_pp,cagr_giveback_pp,base_cagr,chal_cagr,base_mdd,chal_mdd
0,1.8861087620096306,2.918551368603861,0.1440487375673798,0.11486322388134118,-0.22489811590046993,-0.20603702828037362
1,1.8803690923791416,2.9881957480160315,0.1378248622325564,0.1079429047523961,-0.2263873534222821,-0.2075836624984907
2,1.89922020240747,3.0331501594423216,0.1314523151771918,0.10112081358276859,-0.22813085354719387,-0.20913865152311917
3,1.923626375760512,3.105772241643634,0.12541806682038303,0.0943603444039467,-0.2299302914633341,-0.21069402770572898
