year,available,mdd_improve_pp,ret_delta_pp,note,base_ret,chal_ret,base_mdd,chal_mdd
2011,False,,,no data,,,,
2015,True,0.8460505881924485,-0.6635996113604992,,-0.0320928120212719,-0.03872880813487689,-0.1364659035219743,-0.1280053976400498
2018,True,0.8363247051791034,-1.5831996429589656,,0.09175922087722732,0.07592722444763766,-0.06979967680852917,-0.06143642975673813
2020,True,1.8803690923791416,-1.2487984523659068,,-0.036932316064959725,-0.04942030058861879,-0.2263873534222821,-0.2075836624984907
2022,True,0.18754848607772656,-2.092704712718807,,0.055296315757585646,0.034369268630397576,-0.16713069839858075,-0.16525521353780348
2008,False,,,market starts 2011-12-01; 2008 N/A,,,,
