ym,sum_dret_pp
2026-06,-4.70471029350685
2026-07,-4.359453993461147
2024-07,-1.952658132724641
2025-11,-1.1214794973640883
2023-07,-1.0991389230532236
2026-09,-0.9378240650477015
2025-02,-0.9180571849762124
2023-05,-0.6778677041657086
2024-11,-0.6059557568126683
2023-11,-0.5782331561549223
