date,nav_base,nav_ref_winner_mc50_full,nav_ref_blend_a05,nav_ref_blend_a25,nav_mild_mc25_full,nav_mild_mc35_full,nav_mild_mc40_full,nav_mild_mc25_a50,nav_mild_mc35_a50
2013-03-13,3173349.552604444,3163505.8141577053,3172337.238672348,3171246.8679128904,3168729.5789300282,3166771.92806672,3165797.032646089,3171246.8679128904,3170193.626498333
2013-03-14,3167570.652604444,3158153.3363405694,3166545.0008739233,3165580.02368194,3163188.7359179487,3161306.6621489427,3160368.44564703,3165580.02368194,3164595.4448620784
2013-03-15,3163519.352604444,3153933.9863405693,3162585.4508739235,3161322.12368194,3158878.935917949,3157031.312148943,3156112.5456470298,3161322.12368194,3160259.1448620786
2013-03-18,3113333.652604444,3106234.786340569,3112395.150873923,3111898.8236819403,3110093.2359179487,3108679.712148943,3107977.64564703,3111898.8236819403,3111146.3448620783
2013-03-19,3111702.252604444,3104518.2363405693,3110768.900873923,3110139.4236819404,3108338.635917949,3106938.5621489426,3106246.5456470298,3110139.4236819404,3109377.8448620783
2013-03-20,3095132.052604444,3088895.1863405695,3094183.150873923,3093948.3236819403,3092360.2359179487,3091100.9121489427,3090481.1956470297,3093948.3236819403,3093291.444862079
2013-03-21,3092649.002604444,3086537.286340569,3091739.0008739233,3091520.77368194,3089946.635917949,3088710.462148943,3088100.6956470297,3091520.77368194,3090860.9448620784
2013-03-22,3078175.652604444,3072614.186340569,3077320.650873923,3077130.27368194,3075707.8359179487,3074597.6621489427,3074050.94564703,3077130.27368194,3076527.4448620784
2013-03-25,3122505.402604444,3115065.436340569,3121427.050873923,3121009.12368194,3119121.935917949,3117627.762148943,3116888.49564703,3121009.12368194,3120230.9448620784
2013-03-26,3111055.2526044436,3104560.036340569,3110053.6008739234,3110094.8236819403,3108376.535917949,3106978.1621489427,3106286.7956470298,3110094.8236819403,3109415.1448620786
2013-03-27,3136473.152604444,3128561.6863405695,3135285.2508739233,3134934.12368194,3132922.7359179487,3131306.8121489426,3130507.14564703,3134934.12368194,3134122.9448620784
2013-03-28,3127803.252604444,3120421.1863405695,3126606.7508739233,3126494.47368194,3124595.8359179487,3123054.1621489427,3122291.9456470297,3126494.47368194,3125740.1448620786
2013-03-29,3141543.7026044438,3133695.4363405695,3140420.0508739236,3140221.5736819403,3138169.135917949,3136509.612148943,3135686.09564703,3140221.5736819403,3139403.844862079
2013-04-01,3129103.852604444,3121883.536340569,3128069.6008739234,3128018.02368194,3126088.8359179487,3124535.6621489427,3123766.4456470297,3128018.02368194,3127244.9448620784
2013-04-02,3120299.252604444,3113317.9363405695,3119282.800873923,3119162.02368194,3117330.2359179487,3115854.862148943,3115123.1956470297,3119162.02368194,3118430.0448620785
2013-04-03,3133536.002604444,3125794.936340569,3132445.150873923,3132077.0736819403,3130092.5359179485,3128501.9121489427,3127715.39564703,3132077.0736819403,3131274.0448620785
2013-04-08,3050635.2026044438,3046722.7363405693,3049747.9508739235,3050241.72368194,3049223.435917949,3048352.6621489427,3047921.39564703,3050241.72368194,3049867.6448620786
2013-04-09,3054121.302604444,3049917.3863405692,3053215.3008739236,3053562.02368194,3052494.7359179487,3051592.812148943,3051146.9456470297,3053562.02368194,3053160.1448620786
2013-04-10,3053488.052604444,3049305.8363405694,3052575.300873923,3052908.72368194,3051871.7359179487,3050973.1621489427,3050531.64564703,3052908.72368194,3052530.1448620786
2013-04-11,3066277.902604444,3061378.6363405692,3065341.2508739233,3065373.0236819405,3064219.635917949,3063211.1621489427,3062715.59564703,3065373.0236819405,3064960.7448620787
2013-04-12,3058710.602604444,3054304.8863405692,3057822.1008739234,3058037.22368194,3056984.535917949,3056040.9121489427,3055577.09564703,3058037.22368194,3057678.2448620787
2013-04-15,3043632.902604444,3039903.1363405692,3042685.9508739235,3043113.4236819404,3042256.2359179487,3041443.262148943,3041044.14564703,3043113.4236819404,3042854.344862079
2013-04-16,3037470.302604444,3034255.8863405692,3036612.5008739233,3037271.52368194,3036476.7359179487,3035717.512148943,3035343.4456470297,3037271.52368194,3037037.1448620786
2013-04-17,3005279.052604444,3003805.6363405692,3004684.200873923,3005766.02368194,3005334.935917949,3004852.962148943,3004615.3456470296,3005766.02368194,3005688.7448620787
2013-04-18,3006173.9135854496,3004280.7465972146,3005722.1008739234,3006415.8386725085,3005909.6817856487,3005388.5038907244,3005130.3873190414,3006415.8386725085,3006292.556081228
2013-04-19,3051916.96358545,3047443.5965972147,3051119.900873923,3051461.8886725083,3050296.581785649,3049286.4538907246,3048784.1873190417,3051461.8886725083,3051047.206081228
2013-04-22,3056386.7305655554,3051886.946597215,3055479.050354064,3056065.938672508,3054866.9317856487,3053807.6538907248,3053278.8873190414,3056065.938672508,3055655.4060812276
2013-04-23,3061554.4805655554,3056199.6212611445,3060130.7657457767,3060600.138173625,3059313.686111395,3058199.5726616317,3057645.0197816966,3060600.138173625,3060142.295526166
2013-04-24,3075762.431819301,3069565.8212611447,3074516.7657457767,3074578.888173625,3073068.4861113946,3071799.322661632,3071167.9197816965,3074578.888173625,3074012.795526166
2013-04-25,3068917.9818193014,3063276.5712611447,3067649.4157457766,3067972.0381736252,3066594.8361113947,3065400.7226616316,3064804.219781697,3067972.0381736252,3067484.395526166
2013-04-26,3061696.8818193013,3056680.3212611447,3060345.9157457766,3061035.588173625,3059801.4861113946,3058687.922661632,3058128.4697816963,3061035.588173625,3060632.645526166
2013-04-29,3062504.3818193013,3057302.0712611447,3061103.215745777,3061704.088173625,3060440.186111395,3059317.7226616316,3058756.069781697,3061704.088173625,3061277.995526166
2013-04-30,3082119.081819301,3075957.3712611445,3080651.4157457766,3081169.938173625,3079632.686111395,3078295.5226616315,3077626.4197816965,3081169.938173625,3080633.145526166
2013-05-02,3095976.0818193015,3088917.0712611447,3094564.4157457766,3094726.7881736252,3092973.7361113946,3091485.2226616316,3090738.469781697,3094726.7881736252,3094087.445526166
2013-05-03,3108203.431819301,3100381.5712611447,3106806.865745777,3106722.138173625,3104772.7361113946,3103149.5226616315,3102336.569781697,3106722.138173625,3105987.2455261657
2013-05-06,3108441.3318193015,3100442.421261145,3107022.365745777,3106765.338173625,3104839.4861113946,3103213.9726616316,3102400.6197816967,3106765.338173625,3106054.795526166
2013-05-07,3109988.681819301,3101894.021261145,3108534.5157457767,3108278.688173625,3106331.436111395,3104690.522661632,3103869.469781697,3108278.688173625,3107557.795526166
2013-05-08,3127395.1818193016,3118288.5712611447,3125843.715745777,3125392.488173625,3123200.0861113947,3121369.372661632,3120454.1197816967,3125392.488173625,3124569.045526166
2013-05-09,3136229.1318193013,3126572.2212611446,3134618.5657457765,3134028.3881736253,3131722.886111395,3129797.972661632,3128833.3697816967,3134028.3881736253,3133163.645526166
2013-05-10,3131011.1818193016,3121708.7712611444,3129427.3157457765,3128965.888173625,3126717.436111395,3124848.0726616317,3123913.0197816966,3128965.888173625,3128115.795526166
2013-05-13,3114407.581819301,3106032.7712611444,3112879.215745777,3112609.488173625,3110587.7861113944,3108899.4726616316,3108054.5197816966,3112609.488173625,3111850.745526166
2013-05-14,3115873.0818193015,3107692.2212611446,3114373.615745777,3114324.0381736252,3112296.3361113947,3110587.222661632,3109734.1197816967,3114324.0381736252,3113573.8455261663
2013-05-15,3145295.4318193016,3135195.021261145,3143705.0657457765,3143049.188173625,3140597.386111395,3138568.722661632,3137552.719781697,3143049.188173625,3142118.195526166
2013-05-16,3194868.281819301,3182029.1212611445,3193239.3157457765,3191952.888173625,3188788.936111395,3186221.7226616316,3184931.469781697,3191952.888173625,3190715.195526166
2013-05-17,3188050.681819301,3175695.8212611442,3186446.8157457765,3185335.388173625,3182273.2361113946,3179777.1226616316,3178526.6697816965,3185335.388173625,3184143.295526166
2013-05-20,3187669.531819301,3175076.9712611446,3186129.2657457767,3184719.5381736252,3181643.136111395,3179150.5726616317,3177904.4197816965,3184719.5381736252,3183508.095526166
2013-05-21,3183554.931819301,3171630.271261145,3181993.865745777,3181066.238173625,3178094.0861113947,3175642.2226616316,3174417.3697816967,3181066.238173625,3179927.695526166
2013-05-22,3188863.7318193014,3176650.8212611447,3187262.465745777,3186297.7881736252,3183258.936111395,3180749.472661632,3179496.469781697,3186297.7881736252,3185135.095526166
2013-05-23,3131148.331819301,3122100.4712611446,3129678.1657457766,3129352.888173625,3127128.5361113944,3125248.372661632,3124311.1697816965,3129352.888173625,3128532.645526166
2013-05-24,3112344.9427692373,3103777.870308283,3110741.7702854546,3110307.6725779306,3108309.7939179796,3106629.33630433,3105788.724730472,3110307.6725779306,3109566.580818791
2013-05-27,3143657.3427692372,3133298.5703082825,3141997.0702854544,3140994.1725779306,3138588.3439179794,3136604.08630433,3135614.124730472,3140994.1725779306,3140071.4308187906
2013-05-28,3143052.2927692374,3133223.1203082823,3141514.620285454,3140873.4725779304,3138508.893917979,3136526.68630433,3135535.9747304716,3140873.4725779304,3139992.4308187906
2013-05-29,3162906.770131795,3152188.370308283,3161227.5888344543,3160565.372577931,3157956.893917979,3155781.5363043295,3154695.574730472,3160565.372577931,3159585.1808187906
2013-05-30,3120186.720131795,3111290.6703082826,3118370.0388344545,3117309.1604055744,3115220.4380203052,3113463.7850202997,3113382.5747304717,3117309.1604055744,3116536.920261418
2013-05-31,3152253.1201317953,3141707.370308283,3150288.988834454,3148702.3104055747,3146265.238020305,3144217.6350202993,3144113.624730472,3148702.3104055747,3147799.2202614183
2013-06-03,3106232.570131795,3097867.9203082826,3104375.888834454,3102773.9052574825,3100877.0087567586,3099249.345966593,3099824.174730472,3102773.9052574825,3102098.234064877
2013-06-04,3096993.1318109278,3088988.283488321,3095135.727140284,3093700.3552574823,3091906.258756759,3090365.495966593,3090872.445772161,3093700.3552574823,3093063.384064877
2013-06-05,3090951.431810927,3083830.483488321,3089108.527140284,3088322.5552574825,3086644.8587567587,3085154.045966593,3085664.9957721606,3088322.5552574825,3087765.6840648768
2013-06-06,3061264.1318109273,3055095.7834883207,3059487.927140284,3058794.555257482,3057438.558756759,3056213.745966593,3056666.5957721607,3058794.555257482,3058360.6840648768
2013-06-07,3071505.5818109275,3064593.5334883207,3069690.027140284,3068699.255257482,3067213.708756759,3065896.995966593,3066250.5957721607,3068699.255257482,3068203.784064877
2013-06-10,3090407.7318109274,3082863.483488321,3088727.527140284,3087595.255257482,3085853.208756759,3084364.845966593,3084687.695772161,3087595.255257482,3086971.334064877
2013-06-11,3077557.4818109274,3070607.233488321,3075819.7271402837,3074884.4052574825,3073316.408756759,3071943.245966593,3072320.145772161,3074884.4052574825,3074348.484064877
2013-06-13,3023310.031810927,3018754.733488321,3021698.277140284,3021276.4552574824,3020318.658756759,3019438.345966593,3019994.545772161,3021276.4552574824,3020984.784064877
2013-06-14,3019680.6318109273,3015441.933488321,3018142.877140284,3018067.0552574825,3017162.6587567586,3016306.345966593,3016647.045772161,3018067.0552574825,3017810.784064877
2013-06-17,3028439.8818109273,3023775.983488321,3026899.3771402836,3026728.9552574824,3025714.658756759,3024779.095966593,3025056.545772161,3026728.9552574824,3026421.534064877
2013-06-18,3040350.946345537,3035652.338024426,3038752.58075116,3038840.2365083923,3037856.8178391918,3036814.9316227227,3037038.30591453,3038840.2365083923,3038643.5035183346
2013-06-19,3028288.946345537,3024033.588024426,3026716.1807511603,3026902.136508392,3026004.267839192,3025059.031622723,3025322.45591453,3026902.136508392,3026753.053518335
2013-06-20,3007385.246345537,3003372.3880244256,3005915.73075116,3005687.136508392,3004947.817839192,3004173.5316227227,3004488.10591453,3005687.136508392,3005591.253518335
2013-06-21,2982534.146345537,2979455.588024426,2981342.4307511603,2981254.2365083923,2980557.617839192,2979988.381622723,2980368.0059145303,2981254.2365083923,2980924.253518335
2013-06-24,2969352.046345537,2966921.338024426,2967967.83075116,2968194.836508392,2967778.017839192,2967313.531622723,2967727.6059145303,2968194.836508392,2968134.203518335
2013-06-25,2948578.746345537,2947251.438024426,2947339.33075116,2947746.036508392,2947752.767839192,2947454.2816227227,2947890.7559145303,2947746.036508392,2947803.303518335
2013-06-26,2976501.739238499,2974967.815953845,2975291.150765233,2975994.322188341,2976031.0574695147,2975504.468695249,2975833.993079143,2975994.322188341,2976028.637216397
2013-06-27,2984409.386252977,2983053.3659538445,2983283.7103465414,2984008.8831896842,2984055.722436466,2983451.932264204,2983740.152224704,2984008.8831896842,2984043.622610935
2013-06-28,3058220.986252977,3052085.9659538446,3056918.0603465415,3056804.5831896844,3056146.722436466,3054864.182264204,3054830.2522247043,3056804.5831896844,3056637.622610935
2013-07-01,3042769.936252977,3038930.2159538446,3041646.8603465413,3041736.3831896842,3041283.8224364654,3040140.5322642038,3040170.7522247043,3041736.3831896842,3041555.772610935
2013-07-02,3043539.336252977,3039533.8159538447,3042445.5603465415,3042563.3831896842,3042054.1224364657,3040902.832264204,3040934.9522247044,3042563.3831896842,3042411.872610935
2013-07-03,3033759.386252977,3030318.2814486534,3032770.6103465417,3032995.194150875,3032763.742691491,3031699.195397678,3031768.613198414,3033041.674269032,3032921.7044043457
2013-07-04,3033197.436252977,3029103.630835243,3032267.0103465416,3032081.6441508746,3031527.199739402,3030474.309267514,3030846.663198414,3032143.424269032,3031976.9544043457
2013-07-05,3049715.486252977,3043762.080835243,3048633.4603465414,3048274.5441508745,3046508.899739402,3045328.309267514,3045872.213198414,3048086.7742690323,3047908.554404346
2013-07-08,3033304.636252977,3029172.080835243,3032240.760346541,3032169.0941508748,3031623.149739402,3030568.559267514,3030938.663198414,3032233.474269032,3032124.3544043456
2013-07-09,3067464.786252977,3060800.780835243,3066711.0603465415,3066610.3941508746,3063916.899739402,3062595.0092675136,3063325.513198414,3066125.924269032,3065892.9544043452
2013-07-10,3094392.636252977,3083157.830835243,3093445.1603465416,3091581.3441508748,3086725.7997394023,3085204.609267514,3085586.836833031,3090706.3742690324,3090246.9044043454
2013-07-11,3143010.786252977,3124339.980835243,3141645.6103465417,3137387.8941508746,3128740.499739402,3126857.6092675137,3126820.186833031,3135797.9742690325,3135040.7044043457
2013-07-12,3157246.236252977,3137754.780835243,3155960.5103465416,3151941.0941508748,3142438.849739402,3140443.559267514,3140273.9868330313,3150119.824269032,3149353.6044043456
2013-07-15,3168146.736252977,3147924.680835243,3166944.6603465416,3162961.2941508745,3152828.249739402,3150746.8592675137,3150484.636833031,3160964.8742690324,3160204.3544043456
2013-07-16,3170139.3735563545,3149339.980835243,3168769.2268683887,3164611.9441508744,3154264.899739402,3152170.909267514,3151888.9868330313,3162590.9742690325,3161813.2544043455
2013-07-17,3194495.41977277,3171226.912299547,3193175.571153886,3188542.9748617774,3176389.1706499066,3174189.288151152,3173818.516223819,3185906.0822292585,3185083.9855178143
2013-07-18,3194184.2600134937,3171448.4488632116,3193002.805483611,3188646.1925782417,3176671.3706499063,3174406.863927735,3174037.7017262136,3185996.0568805654,3185209.5046355478
2013-07-19,3174583.210013494,3153037.8488632115,3173191.505483611,3168748.592578242,3157787.4740348416,3155854.663927735,3155538.2017262136,3166605.8568805656,3165778.6046355474
2013-07-22,3184511.640969605,3161542.2551198443,3183183.3533852925,3178157.1482974933,3166394.773865205,3164422.659140861,3164085.317881777,3175777.191483152,3174906.0416558953
2013-07-23,3213114.0502701458,3187712.1551198447,3212165.4533852926,3206743.0982974935,3192876.0738652046,3190774.759140861,3190386.5178817767,3203630.741483152,3202830.091655895
2013-07-24,3203815.0932714166,3179030.5414415207,3202712.798883828,3197423.7457256806,3184100.4738871763,3182040.6436566133,3181663.1949712974,3194547.8106868276,3193655.6094567147
2013-07-25,3187729.8199346242,3165234.2171277683,3186846.751915242,3182267.927327755,3170140.4920259127,3168152.8459763667,3167798.6988345175,3179763.705841426,3178850.5690555377
2013-07-26,3198164.2636966235,3174774.1667094305,3197303.470406073,3192615.7488820604,3179790.9489909634,3177757.386330758,3177384.462468882,3189855.298714451,3188968.1347172167
2013-07-29,3189317.0509334095,3166647.8667094307,3188296.734502536,3183565.2155426736,3171573.0489909635,3169581.386330758,3169221.8624688825,3181019.298714451,3180128.5347172166
2013-07-30,3209062.6009334093,3183103.4667094303,3207699.2845025356,3201847.5155426734,3188227.9989909637,3186151.436330758,3185759.1624688823,3198706.898714451,3197775.1847172165
2013-07-31,3190918.2009334094,3167639.7667094306,3189804.234502536,3184994.4655426736,3172577.9489909634,3170578.386330758,3170218.3624688825,3182309.748714451,3181386.2847172166
2013-08-01,3199333.5009334097,3173863.9167094305,3197977.5345025356,3191952.2155426736,3178877.7989909635,3176841.2363307583,3176472.4124688827,3189038.8487144513,3188099.934717217
2013-08-02,3226847.4911254095,3199084.2696728795,3226050.134502535,3218909.5155426734,3204363.996890177,3202221.203566317,3201805.6016165423,3216025.0759344143,3214964.733849281
2013-08-05,3230166.6168103577,3202077.7196728797,3229569.8934155665,3222078.4603995592,3207390.7968901773,3205237.553566317,3204813.5516165425,3219219.8259344148,3218107.233849281
2013-08-06,3196541.6668103575,3173389.41967288,3196074.2934155664,3190556.7603995595,3178377.746890177,3176360.203566317,3175992.8016165425,3188517.5259344145,3187497.633849281
2013-08-07,3172212.1668103575,3151635.1196728796,3171380.9934155666,3166805.6603995594,3156382.1468901774,3154459.3535663174,3154138.4516165424,3165416.8759344146,3164455.933849281
