date,nav_base,nav_ref_winner_mc50_full,nav_ref_blend_a05,nav_ref_blend_a25,nav_mild_mc25_full,nav_mild_mc35_full,nav_mild_mc40_full,nav_mild_mc25_a50,nav_mild_mc35_a50
2012-12-04,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0
2012-12-05,3005661.9052330507,3005661.9052330507,3005661.9052330507,3005661.9052330507,3005661.9052330507,3005661.9052330507,3005661.9052330507,3005661.9052330507,3005661.9052330507
2012-12-06,3004637.5571767353,3004637.686596184,3004637.7022074778,3004637.4522294253,3004637.4298648713,3004637.977967273,3004637.977967273,3004637.4522294253,3004637.4298648713
2012-12-07,3005129.4742792607,3005130.3146776725,3005130.5416440074,3005131.4464777224,3005129.925145014,3005130.828758844,3005130.2068992397,3005131.4464777224,3005130.7772153774
2012-12-10,2984929.697590946,2984844.6951511763,2984926.1676665475,2984911.644775098,2984890.0638035797,2984873.4507828737,2984864.579699303,2984911.644775098,2984903.1081546783
2012-12-11,2989095.530843341,2989044.062735304,2989093.226137062,2989087.2338936017,2989072.2685625446,2989063.564647133,2989057.5386611386,2989087.2338936017,2989081.297424991
2012-12-12,3021203.9998724367,3019274.328723839,3021109.80618725,3020728.8275730046,3020242.8305895166,3019857.6690689316,3019664.317864596,3020728.8275730046,3020533.6707283696
2012-12-13,3032286.6498724367,3029628.578723839,3032157.1561872503,3031628.4775730046,3030961.4305895166,3030429.9190689316,3030163.917864596,3031628.4775730046,3031361.67072837
2012-12-14,3028709.6498724367,3026291.678723839,3028593.20618725,3028112.8275730046,3027504.6305895164,3027020.869068932,3026779.017864596,3028112.8275730046,3027868.92072837
2012-12-17,3010944.3998724367,3009699.128723839,3010885.5061872504,3010638.577573004,3010324.680589516,3010075.9690689314,3009951.067864596,3010638.577573004,3010513.22072837
2012-12-18,3015709.229808702,3014165.6027089306,3015647.595325752,3015342.5890704016,3014949.3075507767,3014637.30530503,3014479.0733257006,3015342.5890704016,3015185.32075034
2012-12-19,3025633.229808702,3023501.7027089307,3025585.8453257517,3025174.9390704012,3024616.6075507766,3024172.10530503,3023948.6733257007,3025174.9390704012,3024951.72075034
2012-12-20,2990994.0298087024,2990966.0027089305,2990918.795325752,2990906.4890704015,2990925.8075507767,2990942.95530503,2990952.273325701,2990906.4890704015,2990914.72075034
2012-12-21,2953048.229808702,2955472.4027089304,2953045.095325752,2953523.7390704015,2954173.0575507767,2954693.50530503,2954955.8233257006,2953523.7390704015,2953784.72075034
2012-12-22,2959565.9798087026,2961518.052708931,2959511.145325752,2959890.0890704016,2960432.607550777,2960867.45530503,2961085.773325701,2959890.0890704016,2960108.32075034
2012-12-24,2962918.7798087024,2964625.6527089304,2962840.695325752,2963164.1390704014,2963650.507550777,2964041.60530503,2964238.1733257007,2963164.1390704014,2963359.32075034
2012-12-25,2997272.9298087023,2996857.9527089307,2997197.995325752,2997114.1390704014,2997028.5075507765,2996961.2553050304,2996928.6733257007,2997114.1390704014,2997080.57075034
2012-12-26,2984187.329808702,2984589.0527089303,2984115.945325752,2984195.0390704013,2984325.0575507767,2984432.50530503,2984486.1233257004,2984195.0390704013,2984246.67075034
2012-12-27,2990231.329808702,2990315.5027089305,2990196.445325752,2990217.4890704015,2990250.257550777,2990277.1553050303,2990290.023325701,2990217.4890704015,2990231.62075034
2012-12-28,3010781.3176259096,3009581.4143648418,3010718.674489413,3010495.367951872,3010190.3073693905,3009947.1413938645,3009826.480498034,3010495.367951872,3010374.1084321383
2013-01-02,3039526.611818147,3036789.6643648418,3039425.794310285,3039034.6679518716,3038286.15736939,3037687.9413938643,3037390.780498034,3039034.6679518716,3038735.358432138
2013-01-03,3049647.661818147,3046200.4643648416,3049563.7943102852,3048905.217951872,3048003.8573693903,3047283.141393865,3046923.530498034,3048905.217951872,3048544.458432138
2013-01-04,3022345.9118181467,3020714.3643648415,3022327.744310285,3022175.7179518715,3021689.00736939,3021299.5413938644,3021107.780498034,3022175.7179518715,3021980.858432138
2013-01-07,3009755.111818147,3008940.1143648415,3009722.8943102853,3009825.3179518715,3009529.7073693904,3009294.441393865,3009177.730498034,3009825.3179518715,3009707.308432138
2013-01-08,3010306.411818147,3009292.1643648418,3010232.3943102853,3010195.867951872,3009894.2573693907,3009653.8913938645,3009534.480498034,3010195.867951872,3010075.7584321382
2013-01-09,3006132.8118181466,3005285.1143648415,3006082.894310285,3005991.6679518716,3005756.6073693903,3005568.0913938647,3005473.9304980338,3005991.6679518716,3005898.408432138
2013-01-10,3048712.1618181467,3045365.8643648415,3048615.944310285,3048035.6179518714,3047146.00736939,3046433.4413938643,3046077.9304980338,3048035.6179518714,3047680.458432138
2013-01-11,3050115.261818147,3046560.4143648418,3049993.444310285,3049287.4679518715,3048379.0573693905,3047651.3913938645,3047289.380498034,3049287.4679518715,3048924.408432138
2013-01-14,3049536.6618181467,3045967.9143648418,3049417.244310285,3048668.3179518715,3047769.0573693905,3047048.0913938647,3046689.1804980338,3048668.3179518715,3048309.108432138
2013-01-15,3036499.911818147,3033758.8643648415,3036433.6443102853,3035859.4179518716,3035160.7073693904,3034599.3913938645,3034321.0804980337,3035859.4179518716,3035580.658432138
2013-01-16,3015864.811818147,3014334.9143648418,3015811.4943102854,3015485.2679518717,3015102.5073693907,3014795.891393865,3014643.230498034,3015485.2679518717,3015332.7084321384
2013-01-17,2995458.611818147,2994843.9492766345,2995514.594310285,2995607.5679518715,2995534.65736939,2995476.0413938644,2995447.380498034,2995607.5679518715,2995579.158432138
2013-01-18,3023616.6618181467,3021284.1992766345,3023538.0943102855,3023228.0179518717,3022724.0573693905,3022319.941393865,3022119.130498034,3023228.0179518717,3023027.2584321382
2013-01-21,3019687.1618181467,3017655.1992766345,3019658.5443102852,3019518.8179518715,3019073.1073693903,3018716.1413938645,3018537.530498034,3019518.8179518715,3019341.658432138
2013-01-22,3033840.5910333255,3031088.714829019,3033765.6177226743,3033400.384310749,3032747.6081066076,3032233.0173462,3031975.7084727865,3033400.384310749,3033134.5740334284
2013-01-23,3030558.73620792,3027910.538623037,3030486.740308561,3030079.028871681,3029476.663018423,3028997.196245717,3028757.6719247317,3030079.028871681,3029837.6466737837
2013-01-24,3010087.502604444,3008749.388623037,3010191.240308561,3010117.0788716814,3009794.7630184228,3009529.146245717,3009395.171924732,3010117.0788716814,3009996.946673784
2013-01-25,2999924.102604444,2999209.0886230366,3000210.3903085613,3000212.278871681,2999995.413018423,2999834.546245717,2999752.571924732,3000212.278871681,3000118.296673784
2013-01-28,3034541.252604444,3031660.6641577054,3034470.838672348,3034012.8179128906,3033319.5789300282,3032800.27806672,3032541.082646089,3034012.8179128906,3033706.8764983336
2013-01-29,3054511.7526044436,3050479.014157705,3054070.2386723477,3053614.8679128904,3052647.8289300282,3051925.17806672,3051563.432646089,3053614.8679128904,3053191.126498333
2013-01-30,3058035.2026044438,3053842.964157705,3057535.088672348,3057101.91791289,3056100.378930028,3055342.9780667196,3054961.482646089,3057101.91791289,3056671.4764983333
2013-01-31,3082630.552604444,3076963.514157705,3082196.788672348,3081226.8679128904,3079850.3289300282,3078841.62806672,3078333.1826460892,3081226.8679128904,3080609.576498333
2013-02-01,3089401.9526044438,3083600.114157705,3088833.938672348,3088085.0679128906,3086665.628930028,3085585.27806672,3085040.532646089,3088085.0679128906,3087479.2264983333
2013-02-04,3179575.402604444,3170018.0141577055,3179113.2386723477,3178082.8679128904,3175432.0789300282,3173408.4780667196,3172393.1826460892,3178082.8679128904,3176953.9764983333
2013-02-05,3163994.352604444,3155425.6641577054,3163529.2386723477,3162834.4679128905,3160439.5789300282,3158574.17806672,3157639.732646089,3162834.4679128905,3161839.5764983334
2013-02-06,3182403.902604444,3172806.8141577053,3181788.888672348,3180960.7679128903,3178289.378930028,3176234.62806672,3175205.832646089,3180960.7679128903,3179830.2264983333
2013-02-18,3186715.902604444,3176756.864157705,3185899.638672348,3185052.91791289,3182338.878930028,3180237.2280667196,3179189.5326460893,3185052.91791289,3183911.626498333
2013-02-19,3174343.302604444,3165150.5641577053,3173478.538672348,3172939.9679128905,3170414.478930028,3168438.1280667195,3167454.582646089,3172939.9679128905,3171891.4264983335
2013-02-20,3220034.802604444,3208496.864157705,3218882.188672348,3218033.4679128905,3214937.4289300283,3212488.8280667197,3211269.732646089,3218033.4679128905,3216767.876498333
2013-02-21,3177377.552604444,3168055.864157705,3176383.838672348,3175906.4679128905,3173399.478930028,3171388.17806672,3170391.132646089,3175906.4679128905,3174897.776498333
2013-02-22,3174107.502604444,3165320.8141577053,3173226.588672348,3173051.8679128904,3170587.378930028,3168608.42806672,3167626.032646089,3173051.8679128904,3172063.026498333
2013-02-23,3199965.302604444,3189495.6641577054,3198933.788672348,3198271.1179128904,3195419.1789300283,3193178.67806672,3192063.882646089,3198271.1179128904,3197093.5764983334
2013-02-25,3171472.2026044438,3162308.114157705,3170391.4886723477,3169944.96791289,3167491.878930028,3165546.42806672,3164580.932646089,3169944.96791289,3168943.126498333
2013-02-26,3158699.0026044436,3150486.464157705,3157943.9886723477,3157622.6179128904,3155351.478930028,3153535.17806672,3152633.082646089,3157622.6179128904,3156707.676498333
2013-02-27,3154612.852604444,3146201.714157705,3153830.438672348,3153213.0679128906,3150948.8289300282,3149180.17806672,3148300.232646089,3153213.0679128906,3152269.626498333
2013-03-01,3175513.002604444,3166260.114157705,3174747.888672348,3174100.2179128905,3171554.128930028,3169566.17806672,3168576.582646089,3174100.2179128905,3173039.426498333
2013-03-04,3125834.2026044438,3118844.1641577054,3125347.9886723477,3124727.8179128906,3122855.728930028,3121383.02806672,3120650.382646089,3124727.8179128906,3123955.776498333
2013-03-05,3154621.0526044443,3145976.8141577053,3153949.788672348,3152991.1179128904,3150726.1789300283,3148956.5780667197,3148076.232646089,3152991.1179128904,3152048.1764983335
2013-03-06,3150525.352604444,3142017.964157705,3149665.788672348,3148835.7679128903,3146659.728930028,3144934.2780667194,3144075.1826460892,3148835.7679128903,3147949.3264983334
2013-03-07,3155842.652604444,3147278.0641577053,3155032.288672348,3154304.4679128905,3152063.778930028,3150281.3280667197,3149393.6826460892,3154304.4679128905,3153397.126498333
2013-03-08,3206066.052604444,3194890.364157705,3205081.2386723477,3203909.66791289,3200966.378930028,3198667.27806672,3197520.232646089,3203909.66791289,3202687.776498333
2013-03-11,3200670.752604444,3189792.9141577054,3199644.838672348,3198590.6179128904,3195730.0789300282,3193486.62806672,3192366.882646089,3198590.6179128904,3197410.4264983335
2013-03-12,3174351.2026044438,3164854.114157705,3173452.038672348,3172633.0179128903,3170112.478930028,3168140.0780667197,3167157.832646089,3172633.0179128903,3171586.776498333
