book,family,max_cut,alpha,asof,window,mdd_improve_pp,cagr_giveback_pp,flag,n_days
BASE_E16_E18_E22_v2s,BASE,,0.0,2026-09-04,ytd,0.0,0.0,OK,162
BASE_E16_E18_E22_v2s,BASE,,0.0,2026-09-04,trailing_1y,0.0,0.0,OK,242
REF_WINNER_MC50_FULL,REF_WINNER,0.5,1.0,2026-09-04,ytd,7.228128799143474,23.228076836201872,PAUSE_REVIEW,162
REF_WINNER_MC50_FULL,REF_WINNER,0.5,1.0,2026-09-04,trailing_1y,7.228128799143452,20.493436961884814,PAUSE_REVIEW,242
REF_BLEND_A05,REF_BLEND,0.5,0.05,2026-09-04,ytd,3.068634412458826,5.004516391649383,PAUSE_REVIEW,162
REF_BLEND_A05,REF_BLEND,0.5,0.05,2026-09-04,trailing_1y,3.0686344124587928,5.621855067181336,PAUSE_REVIEW,242
REF_BLEND_A25,REF_BLEND,0.5,0.25,2026-09-04,ytd,5.941594773596403,11.5541113601636,PAUSE_REVIEW,162
REF_BLEND_A25,REF_BLEND,0.5,0.25,2026-09-04,trailing_1y,5.94159477359637,11.685141356601502,PAUSE_REVIEW,242
MILD_MC25_FULL,MILD,0.25,1.0,2026-09-04,ytd,7.036649083219992,21.46232013982299,PAUSE_REVIEW,162
MILD_MC25_FULL,MILD,0.25,1.0,2026-09-04,trailing_1y,7.0366490832199595,19.0397249899523,PAUSE_REVIEW,242
MILD_MC35_FULL,MILD,0.35,1.0,2026-09-04,ytd,7.173468777125869,22.639148217919104,PAUSE_REVIEW,162
MILD_MC35_FULL,MILD,0.35,1.0,2026-09-04,trailing_1y,7.173468777125869,19.961589250997736,PAUSE_REVIEW,242
MILD_MC40_FULL,MILD,0.4,1.0,2026-09-04,ytd,7.200408924635838,22.93386058692417,PAUSE_REVIEW,162
MILD_MC40_FULL,MILD,0.4,1.0,2026-09-04,trailing_1y,7.2004089246358145,20.26575856332682,PAUSE_REVIEW,242
MILD_MC25_A50,MILD_BLEND,0.25,0.5,2026-09-04,ytd,6.2283230233514,13.913320948736164,PAUSE_REVIEW,162
MILD_MC25_A50,MILD_BLEND,0.25,0.5,2026-09-04,trailing_1y,6.228323023351379,13.51356038466478,PAUSE_REVIEW,242
MILD_MC35_A50,MILD_BLEND,0.35,0.5,2026-09-04,ytd,6.438584122661628,15.280323859298651,PAUSE_REVIEW,162
MILD_MC35_A50,MILD_BLEND,0.35,0.5,2026-09-04,trailing_1y,6.438584122661606,14.677661743656234,PAUSE_REVIEW,242
