date,nav_core,nav_alpha,nav_combined,exposure_e45,core_w,alpha_w,cash_w,ret_combined
2019-01-02,2353225.1515742643,600000.0,2953225.1515742643,0.9147150102642784,0.8,0.1829430020528556,0.0170569979471442,-0.0155916161419119
2019-01-03,2358521.1529052155,598945.5340101749,2957466.68691539,0.9147150102642784,0.8,0.1829430020528556,0.0170569979471442,0.0014489344972231
2019-01-04,2350455.1895115064,579373.298213229,2929828.4877247354,0.9147150102642784,0.8,0.1829430020528556,0.0170569979471442,-0.0092715037843109
2019-01-07,2387932.7438791413,602433.8528889888,2990366.59676813,0.9189792597510644,0.8,0.1837958519502129,0.016204148049787,0.0207163625086946
2019-01-08,2373678.381454343,601941.83049747,2975620.2119518127,0.9189792597510644,0.8,0.1837958519502129,0.016204148049787,-0.0049388101609667
2019-01-09,2400087.861001949,610906.9177363499,3010994.7787382985,0.9189792597510644,0.8,0.1837958519502129,0.016204148049787,0.0118794998379517
2019-01-10,2403102.2848838214,610647.2204309421,3013749.505314764,0.9189792597510644,0.8,0.1837958519502129,0.016204148049787,0.0009197509235908
2019-01-11,2404579.337940579,610851.3214429376,3015430.6593835163,0.9189792597510644,0.8,0.1837958519502129,0.016204148049787,0.000558562856687
2019-01-14,2403172.0669051656,611888.0394507502,3015060.106355916,0.9230302967635112,0.8,0.1846060593527022,0.0153939406472977,-0.0001287631716871
2019-01-15,2414425.3490265133,613735.8260240676,3028161.175050581,0.9230302967635112,0.8,0.1846060593527022,0.0153939406472977,0.0043501050954346
2019-01-16,2400865.03448501,621452.2995309506,3022317.334015961,0.9230302967635112,0.8,0.1846060593527022,0.0153939406472977,-0.0019785076074086
2019-01-17,2409981.7965403525,619940.2929765955,3029922.089516948,0.9230302967635112,0.8,0.1846060593527022,0.0153939406472977,0.0025512215394113
2019-01-18,2422851.893442164,620357.2958873136,3043209.189329477,0.9230302967635112,0.8,0.1846060593527022,0.0153939406472977,0.0044067936298382
2019-01-21,2419705.60169819,623310.4523742351,3043016.054072425,0.9268787819253356,0.8,0.1853757563850671,0.0146242436149328,-8.67897110823604e-05
2019-01-22,2429930.523729116,621307.1211614166,3051237.6448905324,0.9268787819253356,0.8,0.1853757563850671,0.0146242436149328,0.0027377471018137
2019-01-23,2434322.907387915,616841.0647832936,3051163.972171209,0.9268787819253356,0.8,0.1853757563850671,0.0146242436149328,8.461133802169403e-06
