date,nav_alpha
2019-01-02,600000.0
2019-01-03,598945.5340101749
2019-01-04,579373.298213229
2019-01-07,602433.8528889888
2019-01-08,601941.83049747
2019-01-09,610906.9177363499
2019-01-10,610647.2204309421
2019-01-11,610851.3214429376
2019-01-14,611888.0394507502
2019-01-15,613735.8260240676
2019-01-16,621452.2995309506
2019-01-17,619940.2929765955
2019-01-18,620357.2958873136
2019-01-21,623310.4523742351
2019-01-22,621307.1211614166
2019-01-23,616841.0647832936
2019-01-24,617340.968925772
2019-01-25,622090.1486013175
2019-01-28,623844.2198542438
2019-01-29,622150.1457335628
2019-01-30,624439.5461718984
2019-02-11,632213.7088374075
2019-02-12,629961.6292283504
2019-02-13,635314.1486943954
2019-02-14,631446.9764589189
2019-02-15,635352.786700415
2019-02-18,636946.3510690668
2019-02-19,637176.9643327667
2019-02-20,636558.813271483
2019-02-21,639003.0352393346
2019-02-22,641684.7149962214
2019-02-25,641292.4280562601
2019-02-26,641766.1883217387
2019-02-27,642021.4576049957
2019-03-04,639601.2287396448
2019-03-05,635691.1764386586
2019-03-06,636156.1843640214
2019-03-07,637407.5977919011
2019-03-08,632998.8755203277
2019-03-11,630838.8038050628
2019-03-12,635372.5133042895
2019-03-13,635602.672041193
2019-03-14,635300.5778609407
2019-03-15,636182.6104217264
2019-03-18,640223.0009151872
2019-03-19,643026.8710943818
2019-03-20,642569.3054788138
2019-03-21,646180.56583546
2019-03-22,650466.8012564164
2019-03-25,642981.5510816441
2019-03-26,648838.6371102342
2019-03-27,651170.7474730057
2019-03-28,648561.5983622625
2019-03-29,653333.0740228097
2019-04-01,658644.4306178695
2019-04-02,656852.7019850664
2019-04-03,659231.4681522675
2019-04-08,659621.3163610878
2019-04-09,659926.2608226879
2019-04-10,660750.6579029997
2019-04-11,663388.5954254571
2019-04-12,663732.0104500799
2019-04-15,663322.8648072939
2019-04-16,661813.7622418886
2019-04-17,664491.1001305935
2019-04-18,664721.3498349196
2019-04-19,665657.703987112
2019-04-22,665418.2266497281
2019-04-23,662024.4902044565
2019-04-24,667210.4928743391
2019-04-25,666373.8048634013
2019-04-26,668090.0539256849
2019-04-29,668253.3871687249
2019-04-30,671268.0614671503
2019-05-02,673607.1866173734
2019-05-03,674434.8958576354
2019-05-06,668920.0717078868
2019-05-07,667808.2711421864
2019-05-08,669183.6756770902
2019-05-09,669240.7057708444
2019-05-10,664531.3584978288
2019-05-13,660407.0738401113
2019-05-14,647126.8371030492
2019-05-15,653041.2019778216
2019-05-16,655387.1617898337
2019-05-17,654900.3454510091
2019-05-20,651463.4826007049
2019-05-21,652885.9985297532
2019-05-22,657461.3187993608
2019-05-23,654201.2348458379
2019-05-24,651918.9083869325
2019-05-27,653024.6738937139
2019-05-28,654689.3569152497
2019-05-29,649736.48609811
2019-05-30,653084.8451801259
2019-05-31,656252.8951247784
2019-06-03,660690.8207324941
2019-06-04,662885.0791880382
2019-06-05,665949.9099955248
2019-06-06,665922.9328660985
2019-06-10,670192.1356784011
2019-06-11,672332.6032837852
2019-06-12,668817.2082802521
2019-06-13,665836.2702736577
2019-06-14,665873.7123411712
2019-06-17,665495.816599318
2019-06-18,666784.5877563213
2019-06-19,671345.3456423144
2019-06-20,676698.7659861494
2019-06-21,674023.9282135562
2019-06-24,671434.9798365202
2019-06-25,675170.1302534209
2019-06-26,674642.0366914958
2019-06-27,674308.8932372115
2019-06-28,676448.4602680227
2019-07-01,674627.5831131019
2019-07-02,671904.3306034959
2019-07-03,669731.3899219728
2019-07-04,670829.2355504446
2019-07-05,671251.6565010207
2019-07-08,672166.7641256523
2019-07-09,671207.4974801242
2019-07-10,670047.0203046431
2019-07-11,673535.657186612
2019-07-12,670009.5008360955
2019-07-15,671010.7778055002
2019-07-16,670462.1626911586
2019-07-17,667321.7291399863
2019-07-18,668163.3918571468
2019-07-19,667836.314640242
2019-07-22,669222.4818038096
2019-07-23,671423.139491227
2019-07-24,671399.8260867669
2019-07-25,669717.8126919429
2019-07-26,671054.7119464162
2019-07-29,670843.5457087618
2019-07-30,672199.0205442562
2019-07-31,670731.3409373377
2019-08-01,662273.7583795154
2019-08-02,654732.3360409089
2019-08-05,652037.9732601714
2019-08-06,638966.1843455348
2019-08-07,648842.3985794274
2019-08-08,647303.5016076267
2019-08-12,645927.2751245651
2019-08-13,643915.7515742326
2019-08-14,644039.3449219287
2019-08-15,638617.4907660136
2019-08-16,639474.6358118667
2019-08-19,646698.3933648084
2019-08-20,649380.8299573264
2019-08-21,648953.7456664882
2019-08-22,648178.6984834735
2019-08-23,646211.6406012229
2019-08-26,639092.2503139119
2019-08-27,641509.659026731
2019-08-28,641799.799142885
2019-08-29,643977.1924868741
2019-08-30,648132.3756804185
2019-09-02,652644.1180784238
2019-09-03,652765.0289935624
2019-09-04,647028.464664664
2019-09-05,653214.45119993
2019-09-06,655724.6151717072
2019-09-09,659331.592946883
2019-09-10,659952.5814038126
2019-09-11,660040.4437717665
2019-09-12,662364.1566429975
2019-09-16,660422.9386722688
2019-09-17,662631.7258578903
2019-09-18,661805.7294695164
2019-09-19,665862.9926281315
2019-09-20,662894.0707228626
2019-09-23,664649.683996259
2019-09-24,665158.6784967394
2019-09-25,662220.7034185523
2019-09-26,663121.6994271413
2019-09-27,661076.5247904072
2019-10-01,660422.8935469688
2019-10-02,658354.5599101322
2019-10-03,652423.7957839777
2019-10-04,655981.366576225
2019-10-07,657221.5137753998
2019-10-08,659225.9994714727
2019-10-09,654750.3833703689
2019-10-14,657183.435657804
2019-10-15,658047.23997767
2019-10-16,660756.4752477594
2019-10-17,659904.1189521684
2019-10-18,662411.9017704107
2019-10-21,661606.7587235706
2019-10-22,663747.3139501804
2019-10-23,667008.1802221333
2019-10-24,669060.4654319468
2019-10-25,671471.2774240263
2019-10-28,670249.8944631998
2019-10-29,670703.2434456896
2019-10-30,668234.0101129249
2019-10-31,671829.2115283709
2019-11-01,670940.4129832311
2019-11-04,672900.7063060366
2019-11-05,677701.0802182045
2019-11-06,680292.1549313858
2019-11-07,680904.752757914
2019-11-08,680817.9386656503
2019-11-11,677930.3643008514
2019-11-12,673463.5830344942
2019-11-13,672253.3171922392
2019-11-14,674938.063127982
2019-11-15,679512.1468676555
2019-11-18,679142.5708171821
2019-11-19,679211.1641028281
2019-11-20,683428.3130116408
2019-11-21,678873.634007875
2019-11-22,680710.651351715
2019-11-25,682161.053432074
2019-11-26,681204.6690730826
2019-11-27,679694.8576213241
2019-11-28,679057.574883167
2019-11-29,676075.8484372686
2019-12-02,668308.3390361489
2019-12-03,666438.293912839
2019-12-04,672445.5388345745
2019-12-05,674578.9163649874
2019-12-06,678655.8441073045
2019-12-09,677639.839706897
2019-12-10,675978.5452989899
2019-12-11,676707.2205194434
2019-12-12,681840.851197388
2019-12-13,691113.2907327854
2019-12-16,690476.456803106
2019-12-17,691198.5534150521
2019-12-18,695596.7607324839
2019-12-19,697767.6882982396
2019-12-20,697009.7396685308
2019-12-23,693579.1505017943
2019-12-24,692823.0384893997
2019-12-25,689665.975360634
2019-12-26,691481.3736205414
2019-12-27,692436.3012930627
2019-12-30,692743.3197998179
2019-12-31,689418.4169057336
2020-01-02,688332.9860810942
2020-01-03,691163.9671809012
2020-01-06,683482.842747282
2020-01-07,679772.5947072131
2020-01-08,674035.9068716915
2020-01-09,675942.8519332134
2020-01-10,680803.5981420984
2020-01-13,682882.0235815508
2020-01-14,686045.2054197548
2020-01-15,685985.9359070504
2020-01-16,682076.2195060317
2020-01-17,685861.9188333901
2020-01-20,685821.5483430856
2020-01-30,662868.6957774045
2020-01-31,648785.6982664282
2020-02-03,633447.3832988958
2020-02-04,643833.8735636487
2020-02-05,652948.2397437901
2020-02-06,656866.9493742678
2020-02-07,657816.3489645546
2020-02-10,648773.3253666769
2020-02-11,655747.4891711661
2020-02-12,660439.6445603002
2020-02-13,663200.0009661154
2020-02-14,662974.0136242016
2020-02-17,660278.1543530094
2020-02-18,660255.4662171389
2020-02-19,657949.4530640604
2020-02-20,662302.3588917298
2020-02-21,657295.4568072535
2020-02-24,647398.2762056548
2020-02-25,639283.5152073908
2020-02-26,635886.0181846604
2020-02-27,635675.0577694401
2020-03-02,614930.6109718606
2020-03-03,630642.8325788032
2020-03-04,627801.4493825234
2020-03-05,635134.9680811217
2020-03-06,632711.1911726164
2020-03-09,616913.0180354095
2020-03-10,601277.930933217
2020-03-11,608780.1919323215
2020-03-12,597918.0668623286
2020-03-13,553031.5166003639
2020-03-16,565029.3811685484
2020-03-17,508325.5752451134
2020-03-18,519186.75404275634
2020-03-19,496678.8436994367
2020-03-20,490772.003920199
2020-03-23,484578.25321310305
2020-03-24,500453.6015146577
2020-03-25,518405.87750755524
2020-03-26,523022.60517933156
2020-03-27,534505.0711406679
2020-03-30,518796.5862738009
2020-03-31,532147.1511055051
2020-04-01,526519.8003485526
2020-04-06,531648.1422612577
2020-04-07,540842.4081769804
2020-04-08,544079.2692471268
2020-04-09,554901.7011255916
2020-04-10,551572.0584396424
2020-04-13,553397.4279907878
2020-04-14,553862.9575843754
2020-04-15,564339.4930656916
2020-04-16,560821.8236776404
2020-04-17,572089.2784261843
2020-04-20,566525.8163854213
2020-04-21,568958.4090242942
2020-04-22,556328.9284330744
2020-04-23,566226.3406282394
2020-04-24,564891.984202797
2020-04-27,567240.129532026
2020-04-28,574734.8118474089
2020-04-29,576110.3698668395
2020-04-30,585942.039663512
