date,nav_core
2019-01-02,2353225.1515742643
2019-01-03,2358521.1529052155
2019-01-04,2350455.1895115064
2019-01-07,2387932.7438791413
2019-01-08,2373678.381454343
2019-01-09,2400087.861001949
2019-01-10,2403102.2848838214
2019-01-11,2404579.337940579
2019-01-14,2403172.0669051656
2019-01-15,2414425.3490265133
2019-01-16,2400865.03448501
2019-01-17,2409981.7965403525
2019-01-18,2422851.8934421637
2019-01-21,2419705.60169819
2019-01-22,2429930.5237291157
2019-01-23,2434322.907387915
2019-01-24,2437817.0783738033
2019-01-25,2446218.5987358885
2019-01-28,2443263.1838575853
2019-01-29,2447256.3344770297
2019-01-30,2448491.4099435713
2019-02-11,2441975.567682096
2019-02-12,2450662.9412749344
2019-02-13,2439550.0990473893
2019-02-14,2437517.9481172455
2019-02-15,2431299.6757780984
2019-02-18,2449316.4012050154
2019-02-19,2449276.5984973195
2019-02-20,2462031.9052737425
2019-02-21,2467684.837595205
2019-02-22,2471732.135308694
2019-02-25,2479107.977057771
2019-02-26,2475307.910706737
2019-02-27,2496196.5618904764
2019-03-04,2485801.7287356933
2019-03-05,2484227.6635654722
2019-03-06,2493135.5549394386
2019-03-07,2484142.2139891484
2019-03-08,2479232.324455593
2019-03-11,2483785.2662569783
2019-03-12,2500340.781233001
2019-03-13,2507226.3092278973
2019-03-14,2501159.162351258
2019-03-15,2511559.697818405
2019-03-18,2528242.121198107
2019-03-19,2538818.869281234
2019-03-20,2545714.0927791004
2019-03-21,2553259.5608522724
2019-03-22,2545505.18332308
2019-03-25,2526295.270403755
2019-03-26,2539429.4409673624
2019-03-27,2533982.913757129
2019-03-28,2527354.255392105
2019-03-29,2558412.9389132774
2019-04-01,2546620.9366592625
2019-04-02,2544606.7254222226
2019-04-03,2543377.165852927
2019-04-08,2550594.33579577
2019-04-09,2557116.107327315
2019-04-10,2559959.575317115
2019-04-11,2553299.5014334535
2019-04-12,2558799.651220985
2019-04-15,2562235.8192601013
2019-04-16,2553323.398567886
2019-04-17,2558678.720969253
2019-04-18,2557818.863330218
2019-04-19,2563935.1465502144
2019-04-22,2564093.449550175
2019-04-23,2574619.1521922015
2019-04-24,2601567.6846613595
2019-04-25,2612315.2668307507
2019-04-26,2614089.585800003
2019-04-29,2640991.0812845845
2019-04-30,2671158.3563104747
2019-05-02,2686907.462187235
2019-05-03,2684455.4962403486
2019-05-06,2663855.651682169
2019-05-07,2685640.527532708
2019-05-08,2691936.6481346437
2019-05-09,2660807.549926602
2019-05-10,2656722.311217932
2019-05-13,2646224.949919447
2019-05-14,2638349.7473455453
2019-05-15,2646612.3889203677
2019-05-16,2633370.3871624675
2019-05-17,2644795.4822687292
2019-05-20,2668053.597328583
2019-05-21,2704138.1420359877
2019-05-22,2690035.217140543
2019-05-23,2687004.371714292
2019-05-24,2689275.616050412
2019-05-27,2697087.747452839
2019-05-28,2698232.7782395086
2019-05-29,2704423.460385875
2019-05-30,2727660.727293064
2019-05-31,2748839.5976987705
2019-06-03,2753510.805756905
2019-06-04,2750976.9579229173
2019-06-05,2759898.706690758
2019-06-06,2793758.553239511
2019-06-10,2809321.304342463
2019-06-11,2745713.833932576
2019-06-12,2703660.5568838115
2019-06-13,2701669.1448619016
2019-06-14,2705531.875282931
2019-06-17,2716340.594184386
2019-06-18,2718924.677885899
2019-06-19,2761729.1849416466
2019-06-20,2757868.1304556592
2019-06-21,2730848.870925407
2019-06-24,2748898.87234698
2019-06-25,2750616.174741737
2019-06-26,2741146.534675615
2019-06-27,2752036.5044358307
2019-06-28,2740134.1898278357
2019-07-01,2734426.402108993
