date,nav,cash,positions,stale_positions,turnover,cumulative_cost,period
2019-01-02,1.0,1.0,0,0,0.0,0.0,VALIDATION_2019_2022
2019-01-03,0.9980786985053769,-4.3021142204224816e-16,20,0,0.9980786985053776,0.001921301494622851,VALIDATION_2019_2022
2019-01-04,0.9915179402240355,-4.3021142204224816e-16,20,0,0.0,0.001921301494622851,VALIDATION_2019_2022
2019-01-07,1.00620421576894,-4.3021142204224816e-16,20,0,0.0,0.001921301494622851,VALIDATION_2019_2022
2019-01-08,1.015671984142003,-4.3021142204224816e-16,20,0,0.0,0.001921301494622851,VALIDATION_2019_2022
2019-01-09,1.0172337752395153,-4.3021142204224816e-16,20,0,0.0,0.001921301494622851,VALIDATION_2019_2022
2019-01-10,1.0217207359181104,-2.3852447794681098e-17,20,0,0.21618461045265755,0.0026795152462493928,VALIDATION_2019_2022
2019-01-11,1.025175382090492,-2.3852447794681098e-17,20,0,0.0,0.0026795152462493928,VALIDATION_2019_2022
2019-01-14,1.0201842674258053,-2.3852447794681098e-17,20,0,0.0,0.0026795152462493928,VALIDATION_2019_2022
2019-01-15,1.0212957590962215,-2.3852447794681098e-17,20,0,0.0,0.0026795152462493928,VALIDATION_2019_2022
2019-01-16,1.0255577612495812,-2.3852447794681098e-17,20,0,0.0,0.0026795152462493928,VALIDATION_2019_2022
2019-01-17,1.0212937655510932,4.445228907190568e-18,20,0,0.3079992751163817,0.0037596350994676003,VALIDATION_2019_2022
2019-01-18,1.0255879601535014,4.445228907190568e-18,20,0,0.0,0.0037596350994676003,VALIDATION_2019_2022
2019-01-21,1.031081092167454,4.445228907190568e-18,20,0,0.0,0.0037596350994676003,VALIDATION_2019_2022
2019-01-22,1.0313161680921297,4.445228907190568e-18,20,0,0.0,0.0037596350994676003,VALIDATION_2019_2022
2019-01-23,1.0305434642371476,4.445228907190568e-18,20,0,0.0,0.0037596350994676003,VALIDATION_2019_2022
2019-01-24,1.0289453013702248,6.938893903907228e-18,20,0,0.2055351729051455,0.0044855692705803914,VALIDATION_2019_2022
2019-01-25,1.03314722972979,6.938893903907228e-18,20,0,0.0,0.0044855692705803914,VALIDATION_2019_2022
2019-01-28,1.0415687466147039,6.938893903907228e-18,20,0,0.0,0.0044855692705803914,VALIDATION_2019_2022
2019-01-29,1.0362930484767963,6.938893903907228e-18,20,0,0.0,0.0044855692705803914,VALIDATION_2019_2022
2019-01-30,1.0384970641371285,6.938893903907228e-18,20,0,0.0,0.0044855692705803914,VALIDATION_2019_2022
