date,E10A_financial_benchmark,E10B_static10_telco,E10C_staged_reentry,E10D_relative_harvest_reentry
2010-01-04,1.0,1.0,1.0,1.0
2010-01-05,1.0004843046669205,1.0003722597021132,1.0003722597021132,1.0003722597021132
2010-01-06,1.0163656385072146,1.0146168397322084,1.0146168397322084,1.0146168397322084
2010-01-07,1.0083671835629313,1.005054009451305,1.005054009451305,1.005054009451305
2010-01-08,1.0150279386151673,1.011081738394529,1.011081738394529,1.011081738394529
2010-01-11,1.0128513643695647,1.010481444877945,1.010481444877945,1.010481444877945
2010-01-12,1.0075529380795842,1.0059373440027721,1.0059373440027721,1.0059373440027721
2010-01-13,0.9906162470223813,0.989875784052822,0.989875784052822,0.989875784052822
2010-01-14,0.9929033359111363,0.9920360237792061,0.9920360237792061,0.9920360237792061
2010-01-15,0.9976985187576468,0.997085473495748,0.997085473495748,0.997085473495748
2010-01-18,0.9913690661855437,0.9913924664534858,0.9913924664534858,0.9913924664534858
2010-01-19,0.9861600137960275,0.9866667460758856,0.9866667460758856,0.9866667460758856
2010-01-20,0.9707760851365403,0.972438158320281,0.972438158320281,0.972438158320281
2010-01-21,0.9709914376899549,0.9728177071884264,0.9728177071884264,0.9728177071884264
2010-01-22,0.9510852883837018,0.9548494717083209,0.9548494717083209,0.9548494717083209
2010-01-25,0.9416809466355683,0.9461755028522789,0.9461755028522789,0.9461755028522789
2010-01-26,0.9112692838859148,0.9181000996035311,0.9181000996035311,0.9181000996035311
2010-01-27,0.9104099773007673,0.9181578795798009,0.9181578795798009,0.9181578795798009
2010-01-28,0.9240448232602515,0.929997790419702,0.929997790419702,0.929997790419702
2010-01-29,0.9202632990249277,0.927549095741995,0.927549095741995,0.927549095741995
2010-02-01,0.9067885997173992,0.914388091287459,0.914388091287459,0.914388091287459
2010-02-02,0.8947858803638667,0.9033143483746907,0.9033143483746907,0.9033143483746907
2010-02-03,0.9076545966959884,0.9158266004801143,0.9158266004801143,0.9158266004801143
2010-02-04,0.9050976466040034,0.9133961950099899,0.9133961950099899,0.9133961950099899
2010-02-05,0.8630180139414785,0.8738701632872424,0.8738701632872424,0.8738701632872424
