model,validation_pass,blind_confirmed,final_oos_cagr_delta,final_oos_sharpe_delta,crisis_entries,status
E10B_static10_telco,False,False,-0.049036794206157364,0.05432693091253027,0,reject_or_watch
E10C_staged_reentry,True,True,-0.04903679420615692,0.05432693091253338,5,qualified_shadow
E10D_relative_harvest_reentry,True,True,-0.04903679420615803,0.054326930912526716,5,qualified_shadow
