code,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,backward_adjustment_factor
2801,2004-02-11,5.898466898328141,5.928561117197161,5.778090022852055,5.808184241721077,121414618.0,0.3009421886902112
2834,2004-02-11,4.374547094181945,4.537236862147389,4.266087248871648,4.428777016837093,113304825.0,0.36153281770098716
2880,2004-02-11,5.484527173719933,5.503118791257966,5.391569086029764,5.391569086029764,39595808.0,0.1859161753803367
2881,2004-02-11,8.455720705065442,8.560760713824019,8.350680696306865,8.481980707255085,35188002.0,0.26260002189644227
2882,2004-02-11,18.276504417821922,18.761721349268523,18.114765440673054,18.438243394970787,70757132.0,0.32347795429773313
2884,2004-02-11,4.112320609338102,4.204525107305324,4.093879709744658,4.149202408524991,42689652.0,0.18440899593444404
2885,2004-02-11,5.035988928846102,5.067862276497026,4.812875495289629,4.812875495289629,50469472.0,0.31873347650924694
2886,2004-02-11,6.319643430639106,6.458842625146575,6.236123913934624,6.319643430639106,145659729.0,0.2783983890149386
2890,2004-02-11,4.954421843727295,4.981348049399727,4.873643226710003,4.900569432382433,53092905.0,0.26926205672430953
2891,2004-02-11,7.122736823131305,7.140907070129088,7.031885588142385,7.031885588142385,27875095.0,0.1817024699778394
2892,2004-02-11,5.848835104415272,5.870103595704055,5.742492647971359,5.763761139260142,95051481.0,0.2126849128878281
2801,2004-02-12,5.928561117197161,6.199409087018352,5.808184241721077,5.868372679459119,493553106.0,0.3009421886902112
2834,2004-02-12,4.483006939492241,4.736079911882932,4.302240530641748,4.410700375952043,171962912.0,0.36153281770098716
2880,2004-02-12,5.484527173719933,5.763401436790438,5.391569086029764,5.447343938643865,198016271.0,0.1859161753803367
2881,2004-02-12,8.613280718203306,8.823360735720462,8.481980707255085,8.534500711634374,52947841.0,0.26260002189644227
2882,2004-02-12,18.599982372119655,19.24693828071512,18.438243394970787,18.599982372119655,117909463.0,0.32347795429773313
2884,2004-02-12,4.167643308118436,4.278288705679102,4.02011611137088,4.056997910557769,58203599.0,0.18440899593444404
2885,2004-02-12,4.908495538242403,4.972242233544252,4.573825387907694,4.621635409384081,72498473.0,0.31873347650924694
2886,2004-02-12,6.431002786245082,6.625881658555539,6.236123913934624,6.263963752836118,240246237.0,0.2783983890149386
2890,2004-02-12,4.9274956380548645,5.008274255072157,4.765938404020279,4.792864609692709,91696551.0,0.26926205672430953
2891,2004-02-12,7.031885588142385,7.2680987991135755,7.031885588142385,7.122736823131305,63223340.0,0.1817024699778394
2892,2004-02-12,5.806298121837707,6.125325491169449,5.614881700238661,5.67868717410501,208201875.0,0.2126849128878281
2801,2004-02-13,5.988749554935203,6.259597524756393,5.988749554935203,6.259597524756393,311405034.0,0.3009421886902112
2834,2004-02-13,4.519160221262339,4.718003270997882,4.483006939492241,4.718003270997882,119312028.0,0.36153281770098716
2880,2004-02-13,5.484527173719933,5.819176289404539,5.484527173719933,5.819176289404539,150373344.0,0.1859161753803367
2881,2004-02-13,8.63954072039295,8.980920748858326,8.587020716013663,8.928400744479037,60955340.0,0.26260002189644227
2882,2004-02-13,18.923460326417388,19.893894189310586,18.923460326417388,19.893894189310586,130742144.0,0.32347795429773313
2884,2004-02-13,4.075438810151214,4.333611404459435,4.075438810151214,4.222966006898768,62620415.0,0.18440899593444404
2885,2004-02-13,4.653508757035005,4.876622190591478,4.653508757035005,4.844748842940553,57037256.0,0.31873347650924694
2886,2004-02-13,6.319643430639106,6.681561336358525,6.319643430639106,6.653721497457031,248206252.0,0.2783983890149386
2890,2004-02-13,4.873643226710003,5.0621266664170195,4.873643226710003,5.035200460744588,98535570.0,0.26926205672430953
2891,2004-02-13,7.122736823131305,7.595163245073686,7.104566576133521,7.576992998075903,85905689.0,0.1817024699778394
2892,2004-02-13,5.742492647971359,6.061520017303101,5.742492647971359,6.061520017303101,227608861.0,0.2126849128878281
2801,2004-02-16,6.530445494577584,6.680916588922689,6.470257056839541,6.680916588922689,449401618.0,0.3009421886902112
2834,2004-02-16,4.844539757193228,5.04338280692877,4.7722331936530304,5.04338280692877,176175608.0,0.36153281770098716
2880,2004-02-16,5.800584671866504,5.93072599463274,5.744809819252404,5.9121343770947075,117020845.0,0.1859161753803367
2881,2004-02-16,8.980920748858326,9.19100076637548,8.954660746668681,9.085960757616903,55943810.0,0.26260002189644227
2882,2004-02-16,20.055633166459454,20.86432805220379,19.893894189310586,20.540850097906052,126644145.0,0.32347795429773313
2884,2004-02-16,4.241406906492213,4.278288705679102,4.18608420771188,4.222966006898768,34080368.0,0.18440899593444404
2885,2004-02-16,4.844748842940553,4.940368885893328,4.68538210468593,4.717255452336855,46971808.0,0.31873347650924694
2886,2004-02-16,6.653721497457031,6.681561336358525,6.514522302949562,6.653721497457031,165092036.0,0.2783983890149386
2890,2004-02-16,5.08905287208945,5.169831489106743,5.008274255072157,5.035200460744588,114891099.0,0.26926205672430953
2891,2004-02-16,7.558822751078119,7.631503739069255,7.431631022093631,7.613333492071471,52222407.0,0.1817024699778394
2892,2004-02-16,6.018983034725535,6.082788508591884,5.912640578281621,5.97644605214797,139440089.0,0.2126849128878281
2801,2004-02-17,6.620728151184647,6.861481902136816,6.500351275708563,6.801293464398774,280442751.0,0.3009421886902112
2834,2004-02-17,5.06145944781382,5.35068570197461,4.898769679848376,5.35068570197461,155674902.0,0.36153281770098716
2880,2004-02-17,5.893542759556673,5.893542759556673,5.744809819252404,5.837767906942572,60340797.0,0.1859161753803367
2881,2004-02-17,9.13848076199619,9.243520770754769,8.954660746668681,8.954660746668681,43645572.0,0.26260002189644227
2882,2004-02-17,20.540850097906052,20.540850097906052,20.21737214360832,20.379111120757187,46766027.0,0.32347795429773313
2884,2004-02-17,4.241406906492213,4.333611404459435,4.241406906492213,4.296729605272546,148398554.0,0.18440899593444404
2885,2004-02-17,4.717255452336855,4.876622190591478,4.701318778511392,4.844748842940553,57055443.0,0.31873347650924694
2886,2004-02-17,6.737241014161513,6.7929206919645,6.625881658555539,6.7094011752600204,157401438.0,0.2783983890149386
2890,2004-02-17,5.035200460744588,5.0621266664170195,4.981348049399727,5.035200460744588,36696977.0,0.26926205672430953
2891,2004-02-17,7.613333492071471,7.613333492071471,7.413460775095847,7.431631022093631,34708180.0,0.1817024699778394
2892,2004-02-17,5.97644605214797,6.082788508591884,5.912640578281621,5.97644605214797,102423553.0,0.2126849128878281
2801,2004-02-18,6.771199245529752,6.771199245529752,6.530445494577584,6.560539713446605,207495089.0,0.3009421886902112
2834,2004-02-18,5.314532420204511,5.386838983744709,5.07953608869887,5.133766011354018,133264958.0,0.36153281770098716
2880,2004-02-18,5.819176289404539,5.837767906942572,5.596076878948135,5.633260114024202,66238843.0,0.1859161753803367
2881,2004-02-18,8.980920748858326,9.13848076199619,8.875880740099747,8.928400744479037,38296294.0,0.26260002189644227
2882,2004-02-18,20.379111120757187,20.70258907505492,19.73215521216172,19.73215521216172,83475782.0,0.32347795429773313
2884,2004-02-18,4.333611404459435,4.352052304052879,4.204525107305324,4.204525107305324,45298275.0,0.18440899593444404
2885,2004-02-18,4.844748842940553,4.908495538242403,4.68538210468593,4.701318778511392,39011246.0,0.31873347650924694
2886,2004-02-18,6.653721497457031,6.7094011752600204,6.486682464048069,6.486682464048069,126138997.0,0.2783983890149386
2890,2004-02-18,5.0621266664170195,5.1967576947791745,4.981348049399727,5.035200460744588,93700704.0,0.26926205672430953
2891,2004-02-18,7.431631022093631,7.486141763086984,7.2680987991135755,7.340779787104712,41559082.0,0.1817024699778394
2892,2004-02-18,6.018983034725535,6.040251526014318,5.806298121837707,5.806298121837707,74909322.0,0.2126849128878281
2801,2004-02-19,6.500351275708563,6.891576121005836,6.470257056839541,6.801293464398774,257938252.0,0.3009421886902112
2834,2004-02-19,5.07953608869887,5.459145547284906,5.06145944781382,5.459145547284906,213202365.0,0.36153281770098716
2880,2004-02-19,5.633260114024202,5.800584671866504,5.614668496486168,5.763401436790438,50860113.0,0.1859161753803367
2881,2004-02-19,8.954660746668681,9.085960757616903,8.875880740099747,9.033440753237613,26207247.0,0.26260002189644227
2882,2004-02-19,19.73215521216172,20.21737214360832,19.570416235012853,20.055633166459454,58324139.0,0.32347795429773313
2884,2004-02-19,4.204525107305324,4.352052304052879,4.18608420771188,4.333611404459435,31276830.0,0.18440899593444404
2885,2004-02-19,4.717255452336855,4.844748842940553,4.701318778511392,4.812875495289629,43805283.0,0.31873347650924694
2886,2004-02-19,6.486682464048069,6.681561336358525,6.458842625146575,6.598041819654044,98146576.0,0.2783983890149386
2890,2004-02-19,5.035200460744588,5.035200460744588,4.954421843727295,5.008274255072157,44527508.0,0.26926205672430953
2891,2004-02-19,7.2680987991135755,7.37712028110028,7.2680987991135755,7.2680987991135755,32502744.0,0.1817024699778394
2892,2004-02-19,5.806298121837707,5.9339090695704035,5.785029630548924,5.912640578281621,68755399.0,0.2126849128878281
2801,2004-02-20,6.801293464398774,6.861481902136816,6.650822370053668,6.771199245529752,133910945.0,0.3009421886902112
2834,2004-02-20,5.459145547284906,5.567605392595202,5.35068570197461,5.459145547284906,134357411.0,0.36153281770098716
2880,2004-02-20,5.763401436790438,5.800584671866504,5.651851731562235,5.707626584176336,31995588.0,0.1859161753803367
