year,n_days,start_nav,end_nav,year_return
2012,20,3000000.0,3010781.3176259096,0.0035937725419699085
2013,246,3039526.611818147,3244974.3919424303,0.0675920320373149
2014,248,3248527.3919424303,3406691.8598437198,0.048688051174694325
2015,244,3375309.1321632727,3194147.669211954,-0.05367255438177021
2016,244,3144399.972829998,3595943.454317214,0.14360243143012785
2017,246,3602960.2543172142,3932481.772291478,0.09145854928025288
2018,247,3956829.772291478,4229862.985320588,0.06900302230363353
2019,242,4147424.985320587,5131242.284655475,0.23721159582560625
2020,245,5134689.584655475,4830585.698680027,-0.059225369121481575
2021,244,4830183.148680027,5755345.478460155,0.1915377328979655
2022,246,5722029.478460155,5842181.969237939,0.02099822995146794
2023,238,5882553.769237939,6402036.855820709,0.08830910977802531
2024,242,6402933.105820709,7599146.481937252,0.18682271957973495
2025,237,7611077.981937252,8849561.798721498,0.16272120975812343
2026,162,8979884.248721497,12375275.724677144,0.3781108288159798
