year,n_days,start_nav,end_nav,year_return
2012,20,3000000.0,3010781.3176259096,0.0035937725419699085
2013,246,3039526.611818147,3124449.708547717,0.027939579933064618
2014,248,3127944.8085477166,3175221.4660618897,0.015114287625849654
2015,244,3145862.427282425,2855075.706560024,-0.09243465899861336
2016,244,2810920.974857697,3074173.80972915,0.09365358799700174
2017,246,3080221.3597291503,3212835.7547155456,0.043053527490003685
2018,247,3232953.5047155456,3313332.7455360955,0.024862479680981986
2019,242,3249843.7455360955,3945352.4098316166,0.21401295531542242
2020,245,3947996.4098316166,3563537.6954945386,-0.09738071528628245
2021,244,3562480.5954945385,4124283.177876131,0.15769982946492478
2022,246,4100002.1778761316,4070171.7443598504,-0.007275711626995696
2023,238,4099257.0443598507,4277517.0210699225,0.04348592312729904
2024,242,4277528.371069923,4930682.687342782,0.1526943271002752
2025,237,4946346.437342782,5577842.226987509,0.127669138756074
2026,162,5664051.676987509,7647342.653068649,0.35015411037633326
