year,e22_v2_return,e22_v2s_return,delta_return
2012,0.0035937725419699085,0.0035937725419699085,0.0
2013,0.0675920320373149,0.1064472836006709,0.03885525156335601
2014,0.048688051174694325,0.07836171171234008,0.029673660537645752
2015,-0.05367255438177021,-0.03207576579555638,0.021596788586213833
2016,0.14360243143012785,0.17646578716416683,0.03286335573403898
2017,0.09145854928025288,0.11759962865057871,0.026141079370325837
2018,0.06900302230363353,0.0917750181818433,0.022771995878209772
2019,0.23721159582560625,0.2844679816324389,0.04725638580683267
2020,-0.059225369121481575,-0.036931352535693796,0.02229401658578778
2021,0.1915377328979655,0.20862976254411625,0.017092029646150753
2022,0.02099822995146794,0.055319658775573544,0.034321428824105604
2023,0.08830910977802531,0.07016341834161,-0.018145691436415312
2024,0.18682271957973495,0.2124249747291469,0.025602255149411945
2025,0.16272120975812343,0.17865735601499133,0.0159361462568679
2026,0.3781108288159798,0.3944161391656007,0.016305310349620905
