source,path,col,n,best_mdd,worst_mdd,median_mdd,closest_to_claim,abs_err_to_claim
E1_validation,research/v412e1/e1_validation_gate.csv,val_mdd,8,-0.1712275344366028,-0.1770768786998521,-0.17354929300284944,-0.1712275344366028,0.0396275344366028
E1_1_validation,research/v412e11/e11_validation_gate.csv,val_mdd,8,-0.1580516582301149,-0.1676033048004612,-0.16282748151528786,-0.1580516582301149,0.026451658230114916
E2_validation,research/v412e2e3/e2_validation_gate.csv,val_mdd,8,-0.216770134440377,-0.2614269427104385,-0.23782134912525932,-0.216770134440377,0.085170134440377
E2_1_validation,research/v412e2e3/e21_validation_gate.csv,val_mdd,8,-0.1788132879237238,-0.2189724162362769,-0.19662710534711736,-0.1788132879237238,0.04721328792372381
E3_validation,research/v412e2e3/e3_validation_gate.csv,val_mdd,8,-0.1848659743145534,-0.2053262771660811,-0.1942735752621453,-0.1848659743145534,0.053265974314553405
