date,nav_base,nav_fin_rs_soft_tilt_exdiv,nav_fin_mix_l75,nav_fin_kd_opt
2012-12-04,500000000.0,500000000.0,500000000.0,500000000.0
2012-12-05,500940511.21989167,500873078.0271926,500923707.28915185,500940511.21989167
2012-12-06,500770541.429113,500742656.8132151,500763607.8822823,500770541.429113
2012-12-07,500852741.45812535,500770055.6223427,500832153.70946944,500852741.45812535
2012-12-10,497491009.79208136,497026367.53329283,497374904.91254234,497491009.79208136
2012-12-11,498186597.36229795,496987593.2435188,497887510.1558131,498186597.36229795
2012-12-12,503535191.01925147,503233675.49960655,503460510.1002297,503535191.01925147
2012-12-13,505377891.01925147,505215725.49960655,505338110.1002297,505377891.01925147
2012-12-14,504783741.01925147,504685575.49960655,504759660.1002297,504783741.01925147
2012-12-17,501825091.01925147,501352625.49960655,501707010.1002297,501825091.01925147
2012-12-18,502621675.5928233,502197940.6330884,502515157.8564305,502621675.5928233
2012-12-19,504288125.5928233,503844340.6330884,504176907.8564305,504288125.5928233
2012-12-20,498480225.5928233,498193690.6330884,498408907.8564305,498480225.5928233
2012-12-21,492143625.5928233,491260790.6330884,491922957.8564305,492143625.5928233
2012-12-22,493220825.5928233,492860040.6330884,493130407.8564305,493220825.5928233
2012-12-24,493777125.5928233,493551690.6330884,493721107.8564305,493777125.5928233
2012-12-25,499531575.5928233,499300140.6330884,499473557.8564305,499531575.5928233
2012-12-26,497343425.5928233,497150740.6330884,497295157.8564305,497343425.5928233
2012-12-27,498361225.5928233,497687940.6330884,498192457.8564305,498361225.5928233
2012-12-28,501802813.685703,501133164.2906652,501635106.38610184,501802813.685703
2013-01-02,506629213.685703,506194614.2906652,506520456.38610184,506629213.685703
2013-01-03,508294163.685703,507883164.2906652,508190756.38610184,508294163.685703
2013-01-04,503777113.685703,503358314.2906652,503672056.38610184,503777113.685703
2013-01-07,501688063.685703,501315014.2906652,501594406.38610184,501688063.685703
2013-01-08,501751363.685703,501849764.2906652,501775356.38610184,501751363.685703
2013-01-09,501035563.685703,501209564.2906652,501077756.38610184,501035563.685703
2013-01-10,508149513.685703,508404664.2906652,508211506.38610184,508149513.685703
2013-01-11,508360913.685703,508667114.2906652,508436256.38610184,508360913.685703
2013-01-14,508255863.685703,508897414.2906652,508414406.38610184,508255863.685703
2013-01-15,506087763.685703,506367664.2906652,506156256.38610184,506087763.685703
2013-01-16,502640763.685703,502973064.2906652,502722756.38610184,502640763.685703
2013-01-17,499278213.685703,498884714.2906652,499179056.38610184,499278213.685703
2013-01-18,503953663.685703,504419164.2906652,504068556.38610184,503953663.685703
2013-01-21,503325613.685703,503218964.2906652,503297406.38610184,503325613.685703
2013-01-22,505675194.40159565,506090569.93854266,505777167.99979025,505675194.40159565
2013-01-23,505116686.70106477,505599510.19263333,505235626.0527679,505116686.70106477
2013-01-24,501744636.7010648,501589460.19263333,501704126.05276793,501744636.7010648
2013-01-25,500074886.7010648,500325160.19263333,500135726.05276793,500074886.7010648
2013-01-28,505781661.2609667,506687087.94452393,506006517.9774166,505781661.2609667
2013-01-29,509091561.2609667,509921537.94452393,509297067.9774166,509091561.2609667
2013-01-30,509678411.2609667,510440187.94452393,509867267.9774166,509678411.2609667
2013-01-31,513760011.2609667,515500887.94452393,514194567.9774166,513760011.2609667
2013-02-01,514910661.2609667,516193337.94452393,515230467.9774166,514910661.2609667
