date,nav_base,nav_fin_rs_soft_tilt_exdiv,nav_fin_mix_l75,nav_fin_kd_opt
2013-02-04,530102961.2609667,532460887.94452393,530690517.9774166,530102961.2609667
2013-02-05,527521461.2609667,529002937.94452393,527889867.9774166,527521461.2609667
2013-02-06,530585611.2609667,532293237.94452393,531010717.9774166,530585611.2609667
2013-02-18,531266161.2609668,532509637.94452393,531573367.97741663,531266161.2609668
2013-02-19,529216161.2609667,529905287.94452393,529384317.9774166,529216161.2609667
2013-02-20,536823711.2609667,537648337.9445239,537025617.9774166,536823711.2609667
2013-02-21,529708361.2609667,529984337.94452393,529772567.9774166,529708361.2609667
2013-02-22,529227311.2609667,528971937.94452393,529159217.9774166,529227311.2609667
2013-02-23,533492111.2609667,533888587.94452393,533587367.9774166,533492111.2609667
2013-02-25,528707011.2609667,528519837.94452393,528656017.9774166,528707011.2609667
2013-02-26,526624011.2609667,526409987.94452393,526566267.9774166,526624011.2609667
2013-02-27,525887461.2609667,526215937.94452393,525966067.9774166,525887461.2609667
2013-03-01,529413611.2609667,530155087.94452393,529595267.9774166,529413611.2609667
2013-03-04,521076311.2609667,521977387.94452393,521297567.9774166,521076311.2609667
2013-03-05,525848311.2609667,527357337.94452393,526221217.9774166,525848311.2609667
2013-03-06,525143611.2609667,526315487.94452393,525432367.9774166,525143611.2609667
2013-03-07,526065711.2609667,527133887.94452393,526328367.9774166,526065711.2609667
2013-03-08,534446161.2609667,536002837.94452393,534831667.9774166,534446161.2609667
2013-03-11,533546061.2609667,535000787.94452393,533905917.9774166,533546061.2609667
2013-03-12,529166361.2609667,530074837.94452393,529389867.9774166,529166361.2609667
2013-03-13,528934861.2609667,530109837.94452393,529224967.9774166,528934861.2609667
2013-03-14,527964835.14796597,529024466.02469397,528226327.28689784,527964835.14796597
2013-03-15,527224802.86308163,529376871.78402895,527758583.04177445,527224802.86308163
2013-03-18,518936402.86308163,519837321.78402895,519158283.04177445,518936402.86308163
2013-03-19,518633152.86308163,519673321.78402895,518888533.04177445,518633152.86308163
2013-03-20,515914702.86308163,516435271.78402895,516039383.04177445,515914702.86308163
2013-03-21,515506252.86308163,515968271.78402895,515617633.04177445,515506252.86308163
2013-03-22,513088802.86308163,513604371.78402895,513213783.04177445,513088802.86308163
2013-03-25,520461202.86308163,520907871.78402895,520568583.04177445,520461202.86308163
2013-03-26,518637752.86308163,518412721.78402895,518576333.04177445,518637752.86308163
2013-03-27,522803102.86308163,522853071.78402895,522810783.04177445,522803102.86308163
2013-03-28,521388702.86308163,521022221.78402895,521292183.04177445,521388702.86308163
2013-03-29,523699502.86308163,523243821.78402895,523581883.04177445,523699502.86308163
2013-04-01,521649152.86308163,521104471.78402895,521508033.04177445,521649152.86308163
2013-04-02,520165852.86308163,519801821.78402895,520070433.04177445,520165852.86308163
2013-04-03,522327302.86308163,522257721.78402895,522304883.04177445,522327302.86308163
2013-04-08,508598902.86308163,507710271.78402895,508374983.04177445,508598902.86308163
2013-04-09,509152852.86308163,508750021.78402895,509050333.04177445,509152852.86308163
2013-04-10,509042152.86308163,508647021.78402895,508940733.04177445,509042152.86308163
2013-04-11,511141802.86308163,510781621.78402895,511048183.04177445,511141802.86308163
2013-04-12,509916152.86308163,509264271.78402895,509749733.04177445,509916152.86308163
2013-04-15,507418102.86308163,506463521.78402895,507175883.04177445,507418102.86308163
2013-04-16,506440752.86308163,505062121.78402895,506093233.04177445,506440752.86308163
2013-04-17,501156552.86308163,499535421.78402895,500749533.04177445,501156552.86308163
2013-04-18,501293352.86308163,499980571.78402895,500964733.04177445,501293352.86308163
2013-04-19,508830352.86308163,507944321.78402895,508608033.04177445,508830352.86308163
2013-04-22,509552992.8824362,508693810.30241454,509338075.50268173,509552992.8824362
2013-04-23,510423242.8824362,509398860.30241454,510166425.50268173,510423242.8824362
2013-04-24,512813842.8824362,512224810.30241454,512665525.50268173,512813842.8824362
2013-04-25,511665142.8824362,510681260.30241454,511419075.50268173,511665142.8824362
2013-04-26,510446792.8824362,508629560.30241454,509994075.50268173,510446792.8824362
2013-04-29,510514692.8824362,508573960.30241454,510030125.50268173,510514692.8824362
2013-04-30,513830092.8824362,511662360.30241454,513287675.50268173,513830092.8824362
2013-05-02,516055542.8824362,514597960.30241454,515691925.50268173,516055542.8824362
2013-05-03,518069592.8824362,516957110.30241454,517791425.50268173,518069592.8824362
2013-05-06,518091642.8824362,517360260.30241454,517907925.50268173,518091642.8824362
2013-05-07,518355082.7015005,517481716.7833293,518136669.240648,518355082.7015005
2013-05-08,521233983.6847886,520235863.8072549,520984650.9957702,521233983.6847886
2013-05-09,522673183.68478864,521676713.8072549,522425650.9957703,522673183.68478864
2013-05-10,521832183.6847886,520656113.8072549,521538900.9957702,521832183.6847886
2013-05-13,519075883.6847886,517897063.8072549,518782050.9957702,519075883.6847886
2013-05-14,519398133.6847886,517975163.8072549,519042050.9957702,519398133.6847886
2013-05-15,524147583.68478864,523150113.8072549,523898300.9957703,524147583.68478864
2013-05-16,532332533.6847886,531900713.8072549,532227400.9957702,532332533.6847886
2013-05-17,531269233.6847886,530665813.8072549,531119300.9957702,531269233.6847886
2013-05-20,531184533.6847886,531368813.8072549,531230300.9957702,531184533.6847886
2013-05-21,530611233.6847886,529962363.8072549,530448600.9957702,530611233.6847886
2013-05-22,531501783.6847886,530715963.8072549,531304800.9957702,531501783.6847886
2013-05-23,521911733.6847886,520906463.8072549,521658450.9957702,521911733.6847886
2013-05-24,518691562.3768816,517803771.47096145,518467829.4335572,518691562.3768816
2013-05-27,523911262.3768816,523581771.47096145,523826529.4335572,523911262.3768816
2013-05-28,523837462.3768816,523183021.47096145,523672279.4335572,523837462.3768816
2013-05-29,527107476.9606764,526423793.32099855,526935094.017352,527107476.9606764
2013-05-30,519877476.9606764,519196393.32099855,519702894.017352,519877476.9606764
2013-05-31,525238426.9606764,524761743.32099855,525114194.017352,525238426.9606764
2013-06-03,517568876.9606764,516914493.32099855,517399044.017352,517568876.9606764
2013-06-04,515972026.9606764,515003943.32099855,515724894.017352,515972026.9606764
2013-06-05,515073376.9606764,513200743.32099855,514600344.017352,515073376.9606764
2013-06-06,510075429.6557542,508334518.60975146,509636516.59436744,510075429.6557542
2013-06-07,511744929.6557542,510334268.60975146,511380666.59436744,511744929.6557542
2013-06-10,514880979.6557542,514053068.60975146,514662816.59436744,514880979.6557542
2013-06-11,512788629.6557542,511508968.60975146,512458666.59436744,512788629.6557542
2013-06-13,503700929.6557542,502096418.60975146,503313978.37693673,503700929.6557542
2013-06-14,503156529.6557542,501332018.60975146,502692678.37693673,503156529.6557542
2013-06-17,504600679.6557542,502909418.60975146,504166428.37693673,504600679.6557542
2013-06-18,506698765.70350146,504550861.87269634,506159591.8806932,506698765.70350146
2013-06-19,504697615.70350146,502555911.87269634,504162441.8806932,504697615.70350146
2013-06-20,501159465.70350146,499819361.87269634,500819091.8806932,501159465.70350146
2013-06-21,496810915.70350146,496209961.87269634,496634191.8806932,496810915.70350146
2013-06-24,494747115.70350146,493124261.87269634,494326891.8806932,494747115.70350146
2013-06-25,491225365.7035014,490011511.87269634,490887641.88069314,491225365.7035014
2013-06-26,495891243.2752137,494400370.9006576,495470623.50179195,495891243.2752137
2013-06-27,497241419.46045834,496129501.38119304,496911959.4231056,497241419.46045834
2013-06-28,509615769.46045834,508594301.38119304,509304309.4231056,509615769.46045834
2013-07-01,506958469.46045834,506495451.38119304,506780309.4231056,506958469.46045834
2013-07-02,507143069.46045834,506440851.38119304,506910309.4231056,507143069.46045834
2013-07-03,505477919.46045834,505190701.38119304,505339759.4231056,505477919.46045834
2013-07-04,505320519.46045834,506000701.38119304,505419509.4231056,505320519.46045834
2013-07-05,508137969.46045834,508180801.38119304,508089009.4231056,508137969.46045834
2013-07-08,505356069.46045834,505652101.38119304,505365759.4231056,505356069.46045834
2013-07-09,511100469.46045834,511724351.38119304,511170659.4231056,511100469.46045834
2013-07-10,515477669.46045834,517167751.38119304,515818459.4231056,515477669.46045834
2013-07-11,523489019.46045834,525539201.38119304,523934809.4231056,523489019.46045834
2013-07-12,525919219.46045834,527705051.38119304,526294409.4231056,525919219.46045834
2013-07-15,527754869.46045834,529486101.38119304,528109959.4231056,527754869.46045834
2013-07-16,528063917.7146274,529588890.0796278,528373453.5605441,528066827.56728387
2013-07-17,532135001.01680684,533945983.53322333,532506479.47855824,532170596.7194731
2013-07-18,532122401.1409249,533723249.65899044,532433909.6426001,532145758.8167641
2013-07-19,528847701.1409249,530315799.65899044,529145809.6426001,528837058.8167641
2013-07-22,530494231.9572934,532176240.18513834,530832903.0033454,530463777.86637324
2013-07-23,535351031.9572934,537111040.1851383,535700703.0033454,535322427.86637324
2013-07-24,533785907.18807364,535383481.3046412,534113110.10355145,533719874.1651201
2013-07-25,531152023.0534112,532353909.36309,531360344.2525524,531035973.33158743
2013-07-26,532885032.05080074,534142838.26805896,533107610.1417265,532814859.28521883
2013-07-29,531322553.5997559,533030664.1534997,531671637.59820604,531244148.85468745
2013-07-30,534528403.5997559,537089964.1534997,535119387.598206,534410648.8546874
2013-07-31,531611053.5997559,533170614.1534997,531918487.598206,531526298.8546874
2013-08-01,532899703.59975594,535289314.1534997,533425087.598206,532702398.8546874
2013-08-02,537554326.5997559,540038075.1534997,538061784.598206,537091654.8546875
2013-08-05,538121216.0997559,540748626.6534997,538648725.098206,537544423.8546875
2013-08-06,532580337.0997559,534315423.6534997,532888494.098206,532215985.8546874
2013-08-07,528498613.3497559,529999519.9034997,528768967.848206,528291188.3546874
2013-08-08,526532768.5997559,528389369.1534997,526878872.598206,526181478.8546874
2013-08-09,523289729.0997559,525076217.6534997,523617532.098206,522942609.8546874
2013-08-12,526781758.0997559,528053670.6534997,526962563.098206,526463697.8546874
2013-08-13,526015902.8497559,526423371.4034997,525946758.348206,525712057.3546874
2013-08-14,525803022.044096,525527700.25016344,525594240.27128434,525781697.6157407
2013-08-15,524063849.15847385,523779301.6295255,523860969.7308606,524114256.23011863
2013-08-16,525223728.51366025,525368558.6571868,525119881.43312025,525121102.00778
2013-08-19,524464254.47379327,524378053.1742142,524302769.95268273,524416227.967913
2013-08-20,523738836.72379327,523397141.4242142,523496300.20268273,523635624.967913
2013-08-22,522551310.3592073,522675133.2696973,522427312.19593674,522366127.382367
2013-08-23,523132376.3336386,522931473.5164876,522928603.5367397,523036632.79013675
2013-08-26,524939048.93862885,524606652.1209941,524685033.78539973,524792454.86817425
2013-08-27,523646361.68862885,523602670.8709941,523463491.53539973,523415024.86817425
2013-08-28,522521182.5307544,521489759.63922006,522087145.73711175,522448384.83079535
2013-08-29,523214473.0695806,522082507.5442006,522775563.526065,523244511.0926638
2013-08-30,529148152.0695806,527691855.5442006,528636734.526065,529246344.09266376
2013-09-02,528470348.2798368,527138485.9665031,527977016.1453264,528409301.034632
2013-09-03,533455285.64344674,532304376.0167326,533005226.41941786,533312830.4165635
2013-09-04,537311202.2245243,537012921.727854,537071047.4602466,537025169.0967115
2013-09-05,538606787.3138313,537879321.4008436,538260434.4030547,538464087.1163859
2013-09-06,537785898.9274386,537115372.2609112,537443895.3651501,537658020.4403276
2013-09-09,537558772.8557667,536509668.24906385,537110544.0296006,537390578.5756514
2013-09-10,541440349.6057667,540745750.9990638,541063318.8509631,541235627.5756514
2013-09-11,542396904.1057667,541228936.4990638,541910905.3509631,542163400.5756514
2013-09-12,544153769.1057667,543263620.4990638,543748501.3509631,543967754.5756514
2013-09-13,543058289.6057667,542421809.9990638,542673594.8509631,542906606.5756514
2013-09-14,540844085.1057667,540137524.4990638,540429708.3509631,540727233.5756514
2013-09-16,547430194.1057667,547512295.4990638,547256981.3509631,547231779.5756514
2013-09-17,548404979.3557667,548551562.7490638,548243018.1009631,548342078.0756514
2013-09-18,546503274.8557667,546799577.2490638,546396831.6009631,546476705.0756514
2013-09-23,554518366.3557667,555409587.7490638,554603967.6009631,554556950.5756514
2013-09-24,554243081.1057667,555506920.4990638,554444630.8509631,554141752.0756514
2013-09-25,555025634.0211678,556200541.2212467,555218492.1009631,554923805.606779
2013-09-26,546087064.8682045,546608807.7870305,546197288.9526631,545991119.9432487
2013-09-27,550939880.3800989,552289427.8540084,551190655.4526631,550723953.811154
2013-09-30,544575129.4105859,545508321.7796862,544830576.9526631,544565973.3060251
2013-10-01,545583324.5890633,546983372.601973,545894521.2026631,545425964.0715017
2013-10-02,542685864.386982,543230185.6799103,543104125.9526631,542814003.633636
2013-10-03,554473861.8874953,555863031.4079461,554933895.6474049,554237537.6483544
2013-10-04,555701024.3874953,557410979.7044412,556114507.9680469,555403350.1483544
2013-10-07,555061096.9995115,556804942.4612697,555437492.9680469,554716821.7154064
2013-10-08,558997084.3708235,560644101.5897162,559365497.2180469,558832926.0866714
2013-10-09,557127883.2839134,559107249.7087519,557481894.7180469,556885410.7388734
2013-10-11,557796755.5343767,559477134.5307856,558180413.1208841,557535746.2850556
2013-10-14,555594415.7843767,557656281.7807856,555978839.8708841,555143274.7850556
2013-10-15,559813440.5343767,562204100.5307856,560229027.1208841,559418742.2850556
2013-10-16,557717667.175232,560201348.3139141,558202490.456648,557341339.9062304
2013-10-17,557410329.3914368,559376593.1612216,557835721.1940026,557100200.2261136
2013-10-18,558617564.6478502,560845379.815451,559011680.1847272,558304332.4815534
2013-10-21,555624224.6478502,557214120.815451,555877682.5335641,555282553.4815534
2013-10-22,554856479.8978502,556455620.065451,555114314.9345123,554573493.9815534
2013-10-23,555397267.3978502,557220307.565451,555688189.6638682,555094531.4815534
2013-10-24,557162359.8978502,558900138.065451,557475626.8180027,557000851.9815534
2013-10-25,553338900.3978502,555295009.565451,553619821.2811698,553056745.9815534
2013-10-28,558199417.3978502,560817457.565451,558585115.5012023,557858731.4815534
2013-10-29,555558987.1478502,557256583.315451,555652160.5719192,555156365.9815534
2013-10-30,559116709.3978502,561240480.565451,559294716.8219192,558743891.9815534
2013-10-31,560659486.8978502,563098477.065451,560927517.8219192,560307008.4815534
2013-11-01,556363949.6478502,558291845.815451,556502425.5719192,555969628.4815534
2013-11-04,551094747.8978502,552542838.065451,551138862.8219192,550765204.4815534
2013-11-05,548536316.1478502,549654557.315451,548538248.0719192,548443417.4815534
2013-11-06,548366995.8978502,549379274.065451,548304657.3219192,548193422.9815534
2013-11-07,545098232.093903,545620598.558251,545015778.9501851,545272717.775408
2013-11-08,546525363.1023018,547195990.50518,546475990.1429209,546578273.2534995
2013-11-11,542175073.6023018,542063439.00518,541943617.4925917,542302904.2534995
2013-11-12,545437845.6023018,546438735.00518,545355198.9292709,545306277.7534995
2013-11-13,539312941.3523018,540034955.75518,539185514.7553833,539139912.2534995
2013-11-14,539363291.3523018,540081605.75518,539208077.1063945,539188112.2534995
2013-11-15,541110830.6023018,541284451.00518,540829009.6471235,540848473.7534995
2013-11-18,541816638.1023018,542378070.50518,541510295.2263455,541473353.2534995
2013-11-19,543026100.3523018,543280326.75518,542633799.222339,542718058.2534995
2013-11-20,541523953.3523018,542664860.75518,541369516.7224972,541139264.7534995
2013-11-21,535540714.6023019,536156123.00518,535157566.037367,535450963.2534995
2013-11-22,539790761.6023018,540570489.00518,539260558.061093,539803956.7534995
2013-11-25,546908565.3523018,548027460.75518,546207938.8636521,546793812.2534995
2013-11-26,547063768.1023018,548711838.50518,546875611.560208,546894311.2534995
2013-11-27,548172642.8523018,549476557.25518,547736692.5623392,548051828.7534995
2013-11-28,551541272.3523018,553028581.6797438,551378226.1521405,551398276.7534995
2013-11-29,552894772.3523018,554732181.6797438,552650726.1521405,552761976.7534995
2013-12-02,552090094.8523018,553873935.1797438,551943475.1521405,551901710.2534995
2013-12-03,549904185.1023018,551494250.4297438,549571433.9021405,549687046.7534995
2013-12-04,551546892.1023018,552764007.4297438,551029301.4021405,551345561.2534995
2013-12-05,549723747.6023018,551368212.9297438,549349648.9021405,549523459.2534995
2013-12-06,546676020.6023018,547768923.9297438,546373213.4021405,546576302.7534995
2013-12-09,553402554.6023018,555025969.9297438,553321816.4021405,553231873.7534995
2013-12-10,556081001.8523018,558102542.1797438,555988642.6521405,555924924.7534995
2013-12-11,558204414.3523018,560806554.6797438,558106157.6521405,558082137.2534995
2013-12-12,552222485.1023018,554602300.4297438,552101033.9021405,552026946.7534995
2013-12-13,555765792.1023018,558386507.4297438,555730301.4021405,555602961.2534995
2013-12-16,552196522.6023018,554873837.9297438,552298218.9021405,551989834.2534995
2013-12-17,550787265.3523018,553082374.6797438,550763458.6521405,550636562.2534995
2013-12-18,550772855.3523018,552603983.6797438,550664584.6521405,550749191.2534995
2013-12-19,552178454.6023018,553539619.9297438,552057916.4021405,551999573.7534995
2013-12-20,550437542.1023018,551530907.4297438,550323341.4021405,550167511.2534995
2013-12-23,551630609.3506746,553659886.5734801,551757348.7332907,551434081.6138216
2013-12-24,551307409.3506746,553249936.5734801,551490698.7332907,551108481.6138216
2013-12-25,552966405.7675699,554921476.9236097,553157959.7648135,552793187.2925088
2013-12-26,554142327.5175699,556149266.6736097,554313216.9322094,553709653.2925088
2013-12-27,556096919.5175699,557949139.6736097,556206988.4322094,555582213.7925088
2013-12-30,562170908.0175699,564050571.1736097,562461567.9322094,561444807.7925088
2013-12-31,560677930.2675699,563034423.4236097,561042934.1822094,559595188.7925088
2014-01-02,561122925.5175699,563605081.6736097,561397154.9322094,560194608.2925088
2014-01-03,555680134.2675699,558005122.4236097,555826651.6822094,554963565.2925088
2014-01-06,553843359.2675699,555797347.4236097,553984721.6822094,553076890.2925088
2014-01-07,552709514.5175699,554423796.6736097,552543726.4322094,552015330.7925088
2014-01-08,553618264.5175699,555594696.6736097,553473876.4322094,552933480.7925088
2014-01-09,553940676.7675699,555297702.9236097,553546948.6822094,553343185.7925088
2014-01-10,554150916.7675699,555346961.9236097,553715414.6822094,553615864.7925088
2014-01-13,556027941.2675699,557530979.4236097,555695369.1822094,555307779.7925088
2014-01-14,556582411.5175699,558056712.6736097,556137419.9322094,556047174.2925088
2014-01-15,557822086.9302222,559641529.5078448,557543425.3128985,557130911.8736625
2014-01-16,558238206.9492621,560161374.282021,558144766.5319828,557564297.2342476
2014-01-17,557384893.8984914,559269099.2361141,557194929.735685,556728824.661577
2014-01-20,558744756.1484914,560444333.1022938,558531326.6945947,558118129.079069
2014-01-21,556454268.8984914,558172851.8522938,556094256.5793386,555710169.4490548
2014-01-22,558976518.6484914,560728745.6022938,558487330.9125526,558260170.2512255
2014-01-23,556259069.3984914,557956709.3522938,555594497.9240736,555637949.268216
2014-01-24,558716703.3984914,560029755.3522938,557893559.1512736,557952720.268216
2014-01-27,550612304.8984914,551515132.8522938,549652067.8222688,549987955.268216
2014-02-05,539165459.3984914,539875644.3522938,537915882.6957139,538704246.768216
2014-02-06,540048058.8984914,540953486.8522938,538918286.0006644,539358036.768216
2014-02-07,543479878.6484914,544990662.6022938,542545678.9085534,542756971.268216
2014-02-10,542925668.6484914,544020721.6022938,541987522.1603534,542270500.268216
2014-02-11,543573518.6484914,544756421.6022938,542418730.8822464,542918350.268216
2014-02-12,547716172.8984914,548576300.8522938,546760066.360528,547115465.768216
2014-02-13,545544698.6484914,546369289.6022938,544575249.5563273,545132208.268216
2014-02-14,548439660.3984914,549111438.3522938,547496050.6286104,547928803.268216
2014-02-17,548229655.1484914,548703989.1022938,547044230.9386613,547639312.768216
2014-02-18,552181906.8984914,552782896.8522938,551067383.0340518,551551836.768216
2014-02-19,551892319.3984914,552285009.3522938,550877501.3308243,551292199.268216
2014-02-20,547096605.1484914,547309389.1022938,546123328.4257078,546509762.768216
2014-02-21,553560964.1484914,554365060.1022938,552654810.4147769,552872258.768216
2014-02-24,551332679.3984914,551879850.3522938,550266249.1647769,550669720.268216
2014-02-25,549626484.8984914,550425505.8522938,548602046.6647769,548946718.268216
2014-02-26,549440342.8984914,550649732.8522938,548368275.1647769,548828857.768216
2014-02-27,552476475.1484914,553132716.1022938,551464245.4147769,552179049.768216
2014-03-03,547501570.3984914,548066979.3522938,546495926.1647769,546928574.268216
2014-03-04,544467983.6484914,544858055.6022938,543416859.4147769,544058154.268216
2014-03-05,546034540.8984914,546454718.8522938,544900819.6647769,545567476.268216
2014-03-06,550895137.3984914,551332477.3522938,549715277.6647769,550305359.768216
2014-03-07,554084039.3984914,555136391.3522938,552995983.1647769,553348441.268216
2014-03-10,550014322.3984914,550587193.3522938,548739631.6647769,549301105.768216
2014-03-11,547790177.8984914,548353148.8522938,546611829.1647769,547057353.768216
2014-03-12,548330392.2584815,548590161.8927742,547140749.4644878,547647529.4567115
2014-03-13,546601768.2635044,546397153.368729,545493512.9644878,545993471.2248306
2014-03-14,543829311.0135044,543270528.906167,542736902.7144878,543305699.2248306
2014-03-17,544830343.7635044,544253766.0198989,543826768.4644878,544607406.2248306
2014-03-18,546852258.2635044,546641212.4119895,546099678.9644878,546285250.2248306
2014-03-19,544538738.7635044,544262151.6435369,543816706.4644878,544068523.2248306
2014-03-20,539323631.7635044,538787335.511792,538804988.9644878,538833158.7248306
2014-03-21,538898989.2635044,537475046.865511,538260221.9644878,538577433.2248306
2014-03-24,540881576.2635044,539892326.865511,540238491.4644878,540454210.7248306
2014-03-25,542257491.2635044,541291910.865511,541569277.4644878,541751114.7248306
2014-03-26,543916226.0135044,542910020.615511,543162588.7144878,543366353.2248306
2014-03-27,542079249.2635044,541337537.865511,541540305.9644878,541637004.2248306
2014-03-28,547090258.2635044,546675008.865511,546658878.9644878,546544350.2248306
2014-03-31,550481330.2635044,549984599.865511,549966132.4644878,549938168.7248306
2014-04-01,551121695.2635044,550223633.865511,550692178.4644878,550783522.7248306
2014-04-02,549551437.5135044,548656613.115511,549065582.7144878,548812790.7248306
2014-04-03,550991809.7635044,550043310.365511,550498088.9644878,550373666.7248306
2014-04-07,549393472.2635044,548305922.865511,548906693.9644878,548636179.2248306
2014-04-08,551733617.5135044,550702281.115511,551269124.7144878,551309798.7248306
2014-04-09,553365367.5135044,552691281.115511,552929274.7144878,552889798.7248306
2014-04-10,555498982.5135044,554925915.115511,555023370.7144878,555153552.7248306
2014-04-11,554804380.0135044,554433343.615511,554353439.7144878,554346661.2248306
2014-04-14,554210784.7635044,553879035.365511,553723968.9644878,553619591.7248306
2014-04-15,552472350.5135044,552055383.115511,552062223.2144878,551946363.2248306
2014-04-16,551006371.0135044,550556072.615511,550594166.7144878,550620665.2248306
2014-04-17,553649928.0135044,553125479.615511,553179934.2144878,553333029.7248306
2014-04-18,554361705.5135044,553705726.115511,553945635.2144878,554048346.2248306
2014-04-21,552297813.5135044,551464353.115511,551756713.7144878,552086185.7248306
2014-04-22,551850731.2635044,550764414.865511,551261907.7128509,551778885.4476315
2014-04-23,550406706.5135044,549502996.115511,549873480.4628509,550329467.9476315
2014-04-24,551648101.2635044,550979396.865511,551139725.7128509,551452677.4476315
2014-04-25,544736896.2021121,543589300.384796,544247359.0038164,544663358.6689799
2014-04-28,545890598.3730977,545062680.384796,545325968.5038164,545510386.1689799
2014-04-29,548263005.3730977,547281087.384796,547754836.0038164,547969400.6689799
2014-04-30,543539171.6230977,542923797.634796,543086335.7538164,543296587.1689799
2014-05-02,548533946.867251,547862471.482248,548142169.1747996,548300909.1678969
2014-05-05,546858059.5574481,546087380.8476794,546539256.5620928,546499842.5674558
2014-05-06,550162371.8393426,549569827.9349519,549841940.4459152,549907315.6977075
2014-05-07,550545788.7387137,550108211.9307214,550120170.9355232,550163085.191091
2014-05-08,552764750.6305864,552469529.686714,552216021.90289,552325684.602077
2014-05-09,551600304.1313115,550978097.1363176,551142626.65289,551258896.2475713
2014-05-12,548255345.6666368,547475679.7570801,548026904.15289,547949316.4876562
2014-05-13,549635861.3008813,549372568.77567,549154953.40289,549190982.9751828
2014-05-14,552498341.3359554,551923883.3685402,552020046.40289,552397907.4751828
2014-05-15,552803140.5669403,552603355.0110588,552395270.90289,553037250.9751828
2014-05-16,553646762.3169403,553387381.6417308,553153591.65289,553504366.9751828
2014-05-19,554118734.5669403,553772278.8917308,553617537.90289,553894542.9751828
2014-05-20,552739794.8169403,552617376.1417308,552545474.65289,552506371.4751828
2014-05-21,550850752.5669403,550440696.8917308,550791300.40289,550671703.4751828
2014-05-22,557019674.1185052,557207572.0007932,557489037.9471276,557112151.0018053
2014-05-23,560128226.1185052,560771086.0007932,560295693.4471276,560109032.5018053
2014-05-26,561237406.0566391,561943547.5299178,561190266.8283418,561225770.0018053
2014-05-27,563232860.5566391,564189783.0299178,563208953.3283418,563173118.7433281
