window,start,end,n_days,base_cagr,base_mdd,chal_cagr,chal_mdd,mdd_improve_pp,cagr_giveback_pp,score,rel_nav_end
mtd,2026-09-01,2026-09-10,8,5.2342988858766795,-0.012596068388510462,5.212931545476409,-0.012488715692478114,0.010735269603234787,2.136734040027033,-1.0576317504102817,0.9999046358918023
ytd,2026-01-01,2026-09-10,166,0.6872036760494618,-0.12807794587413646,0.6875646585201696,-0.1257977743710541,0.2280171503082351,-0.036098247070781575,0.20996802677284432,1.0001400831713745
trailing_1y,2025-09-10,2026-09-10,242,0.5165250071187601,-0.12807794587413635,0.5174260893769753,-0.125797774371054,0.2280171503082351,-0.0901082258215169,0.18296303739747666,1.000568232060464
heldout_2019_plus,2019-01-01,2026-09-10,1860,0.18068587296337357,-0.21720270077643733,0.18106637324289432,-0.21615379208416674,0.10489086922705892,-0.03805002795207457,0.08586585525102164,1.0023798290036163
sealed_2023_plus,2023-01-01,2026-09-10,883,0.24856495256732214,-0.12807794587413646,0.24838495441204045,-0.125797774371054,0.2280171503082462,0.017999815528169094,0.21901724254416166,0.9994955168152331
full,2012-12-04,2026-09-10,3355,0.13849076454881026,-0.21720270077643722,0.13838361195870053,-0.21615379208416674,0.10489086922704782,0.01071525901097381,0.09953323972156092,0.9987480582588487
