book,alpha,asof,window,base_cagr,book_cagr,base_mdd,book_mdd,mdd_improve_pp,cagr_giveback_pp,flag,n_days
BASE_E16_E18_E22_v2s,0.0,2026-09-04,ytd,0.6826979970195655,0.6826979970195655,-0.1445727963916551,-0.1445727963916551,0.0,0.0,OK,162
BASE_E16_E18_E22_v2s,0.0,2026-09-04,trailing_1y,0.5436980484500511,0.5436980484500511,-0.14457279639165488,-0.14457279639165488,0.0,0.0,OK,242
BLEND_E45_A05,0.05,2026-09-04,ytd,0.6826979970195655,0.6326528331030716,-0.1445727963916551,-0.11388645226706684,3.068634412458826,5.004516391649383,PAUSE_REVIEW,162
BLEND_E45_A05,0.05,2026-09-04,trailing_1y,0.5436980484500511,0.48747949777823774,-0.14457279639165488,-0.11388645226706695,3.0686344124587928,5.621855067181336,PAUSE_REVIEW,242
BLEND_E45_A08,0.08,2026-09-04,ytd,0.6826979970195655,0.623064189962051,-0.1445727963916551,-0.11023468874960185,3.433810764205325,5.963380705751442,PAUSE_REVIEW,162
BLEND_E45_A08,0.08,2026-09-04,trailing_1y,0.5436980484500511,0.479118345707066,-0.14457279639165488,-0.11023468874960185,3.433810764205303,6.457970274298508,PAUSE_REVIEW,242
BLEND_E45_A10,0.1,2026-09-04,ytd,0.6826979970195655,0.6152278319282083,-0.1445727963916551,-0.10577429644608305,3.879849994557205,6.747016509135717,PAUSE_REVIEW,162
BLEND_E45_A10,0.1,2026-09-04,trailing_1y,0.5436980484500511,0.47083553870104833,-0.14457279639165488,-0.10577429644608316,3.879849994557172,7.286250974900277,PAUSE_REVIEW,242
BLEND_E45_A12,0.12,2026-09-04,ytd,0.6826979970195655,0.605821458480043,-0.1445727963916551,-0.10227392375880806,4.229887263284704,7.687653853952248,PAUSE_REVIEW,162
BLEND_E45_A12,0.12,2026-09-04,trailing_1y,0.5436980484500511,0.4627011177478708,-0.14457279639165488,-0.10227392375880806,4.229887263284682,8.099693070218027,PAUSE_REVIEW,242
BLEND_E45_A15,0.15,2026-09-04,ytd,0.6826979970195655,0.5983366849106095,-0.1445727963916551,-0.0980730759990921,4.6499720392563,8.436131210895592,PAUSE_REVIEW,162
BLEND_E45_A15,0.15,2026-09-04,trailing_1y,0.5436980484500511,0.45531757508769033,-0.14457279639165488,-0.09807307599909221,4.649972039256268,8.838047336236077,PAUSE_REVIEW,242
BLEND_E45_A25,0.25,2026-09-04,ytd,0.6826979970195655,0.5671568834179295,-0.1445727963916551,-0.08515684865569106,5.941594773596403,11.5541113601636,PAUSE_REVIEW,162
BLEND_E45_A25,0.25,2026-09-04,trailing_1y,0.5436980484500511,0.42684663488403607,-0.14457279639165488,-0.08515684865569118,5.94159477359637,11.685141356601502,PAUSE_REVIEW,242
