book,alpha,window,base_cagr,book_cagr,base_mdd,book_mdd,mdd_improve_pp,cagr_giveback_pp,mdd_pp_per_cagr_giveback_pp,mean_e45_exposure
BASE_E16_E18_E22_v2s,0.0,heldout_2019_plus,0.18234637927240827,0.18234637927240827,-0.2263873534222821,-0.2263873534222821,0.0,0.0,,1.0
BASE_E16_E18_E22_v2s,0.0,sealed_2023_plus,0.2492563398696781,0.2492563398696781,-0.144572796391655,-0.144572796391655,0.0,0.0,,1.0
BASE_E16_E18_E22_v2s,0.0,full,0.1378248622325564,0.1378248622325564,-0.2263873534222821,-0.2263873534222821,0.0,0.0,,1.0
BLEND_E45_A05,0.05,heldout_2019_plus,0.18234637927240827,0.17168621919535254,-0.2263873534222821,-0.21786080178618272,0.8526551636099389,1.0660160077055725,0.7998521198993452,0.9953398647195717
BLEND_E45_A05,0.05,sealed_2023_plus,0.2492563398696781,0.23422475413471222,-0.144572796391655,-0.11388645226706673,3.068634412458826,1.503158573496588,2.041457545840084,0.9953398647195717
BLEND_E45_A05,0.05,full,0.1378248622325564,0.13311077376297686,-0.2263873534222821,-0.21786080178618272,0.8526551636099389,0.4714088469579547,1.808738145480727,0.9953398647195717
BLEND_E45_A08,0.08,heldout_2019_plus,0.18234637927240827,0.16909294735712588,-0.2263873534222821,-0.21674060342134505,0.9646750000937065,1.3253431915282388,0.7278680769328512,0.9925437835513148
BLEND_E45_A08,0.08,sealed_2023_plus,0.2492563398696781,0.23145545486244767,-0.144572796391655,-0.11023468874960174,3.433810764205325,1.7800885007230427,1.9290112614123216,0.9925437835513148
BLEND_E45_A08,0.08,full,0.1378248622325564,0.13192071881263523,-0.2263873534222821,-0.21674060342134494,0.9646750000937176,0.5904143419921182,1.6338949301922543,0.9925437835513148
BLEND_E45_A10,0.1,heldout_2019_plus,0.18234637927240827,0.1663791782881041,-0.2263873534222821,-0.2168718841310523,0.9515469291229817,1.5967200984304153,0.5959384678995132,0.9906797294391435
BLEND_E45_A10,0.1,sealed_2023_plus,0.2492563398696781,0.22739069565372372,-0.144572796391655,-0.10577429644608305,3.879849994557194,2.1865644215954383,1.774404612202663,0.9906797294391435
BLEND_E45_A10,0.1,full,0.1378248622325564,0.1304966101202334,-0.2263873534222821,-0.2168718841310524,0.9515469291229706,0.7328252112323019,1.2984636916664907,0.9906797294391435
BLEND_E45_A12,0.12,heldout_2019_plus,0.18234637927240827,0.16387084088685921,-0.2263873534222821,-0.2176342477094022,0.8753105712879905,1.847553838554905,0.4737672878710962,0.9888156753269721
BLEND_E45_A12,0.12,sealed_2023_plus,0.2492563398696781,0.22401861587842742,-0.144572796391655,-0.10227392375880817,4.229887263284682,2.5237723991250682,1.6760177204375017,0.9888156753269721
BLEND_E45_A12,0.12,full,0.1378248622325564,0.12924262529158836,-0.2263873534222821,-0.2176342477094021,0.8753105712880016,0.8582236940968047,1.0199095845392374,0.9888156753269721
BLEND_E45_A15,0.15,heldout_2019_plus,0.18234637927240827,0.1617478843601421,-0.2263873534222821,-0.21850026412867607,0.7887089293606042,2.0598494912266174,0.38289638768264417,0.9860195941587152
BLEND_E45_A15,0.15,sealed_2023_plus,0.2492563398696781,0.21984286448730872,-0.144572796391655,-0.09807307599909232,4.649972039256268,2.941347538236938,1.580898543544259,0.9860195941587152
BLEND_E45_A15,0.15,full,0.1378248622325564,0.1281585898147799,-0.2263873534222821,-0.21850026412867607,0.7887089293606042,0.9666272417776511,0.8159390665528412,0.9860195941587152
BLEND_E45_A25,0.25,heldout_2019_plus,0.18234637927240827,0.15406866712029776,-0.2263873534222821,-0.22008177023841224,0.6305583183869867,2.82777121521105,0.22298774207584723,0.9766993235978588
BLEND_E45_A25,0.25,sealed_2023_plus,0.2492563398696781,0.20564512383990396,-0.144572796391655,-0.09332258706256946,5.125020932908553,4.361121602977414,1.1751612083941003,0.9766993235978588
BLEND_E45_A25,0.25,full,0.1378248622325564,0.124038092709855,-0.2263873534222821,-0.22008177023841224,0.6305583183869867,1.3786769522701414,0.4573648071426043,0.9766993235978588
