from_alpha,to_alpha,delta_mdd_improve_pp,delta_cagr_giveback_pp,delta_score
0.05,0.08,0.11201983648376768,0.2593271838226663,-0.017643755427565466
0.08,0.1,-0.013128070970724881,0.27137690690217653,-0.14881652442181315
0.1,0.12,-0.07623635783499116,0.2508337401244898,-0.20165322789723605
0.12,0.15,-0.08660164192738629,0.21229565267171235,-0.19274946826324246
