date,nav_base_e16_e18_e22_v2s,nav_blend_e45_a05,nav_blend_e45_a08,nav_blend_e45_a10,nav_blend_e45_a12,nav_blend_e45_a15,nav_blend_e45_a25
2012-12-04,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0
2012-12-05,3005661.9052330507,3005661.9052330507,3005661.9052330507,3005661.9052330507,3005661.9052330507,3005661.9052330507,3005661.9052330507
2012-12-06,3004637.5571767353,3004637.7022074778,3004637.498381731,3004637.498381731,3004637.474119579,3004637.474119579,3004637.4522294253
2012-12-07,3005129.4742792607,3005130.5416440074,3005130.615928107,3005130.543563553,3005130.563999959,3005130.4695199896,3005131.4464777224
2012-12-10,2984929.697590946,2984926.1676665475,2984924.3467996363,2984923.142899446,2984920.039255067,2984918.8682087185,2984911.644775098
2012-12-11,2989095.530843341,2989093.226137062,2989094.3239429016,2989093.9724779036,2989089.3072772636,2989089.517214179,2989087.2338936017
2012-12-12,3021203.9998724367,3021109.80618725,3021055.2683291896,3021016.545279532,3020973.6333816024,3020919.2256904054,3020728.8275730046
2012-12-13,3032286.6498724367,3032157.1561872503,3032079.6683291895,3032025.845279532,3031968.9833816024,3031892.475690406,3031628.4775730046
2012-12-14,3028709.6498724367,3028593.20618725,3028523.0183291896,3028474.3452795325,3028420.6333816024,3028352.9256904055,3028112.8275730046
2012-12-17,3010944.3998724367,3010885.5061872504,3010849.2183291893,3010824.295279532,3010794.8833816024,3010762.1256904057,3010638.577573004
2012-12-18,3015709.229808702,3015647.595325752,3015607.918272676,3015576.0175503506,3015541.5053441133,3015497.9428672665,3015342.5890704016
2012-12-19,3025633.229808702,3025585.8453257517,3025552.718272676,3025508.067550351,3025458.9553441135,3025396.4428672665,3025174.9390704012
2012-12-20,2990994.0298087024,2990918.795325752,2990891.368272676,2990893.3675503507,2990889.5553441136,2990897.6928672665,2990906.4890704015
2012-12-21,2953048.229808702,2953045.095325752,2953080.818272676,2953132.9175503505,2953179.5553441136,2953264.392867266,2953523.7390704015
2012-12-22,2959565.9798087026,2959511.145325752,2959519.9182726764,2959563.4175503505,2959602.1053441134,2959673.6928672665,2959890.0890704016
2012-12-24,2962918.7798087024,2962840.695325752,2962830.668272676,2962870.1175503507,2962903.6053441134,2962968.9428672665,2963164.1390704014
2012-12-25,2997272.9298087023,2997197.995325752,2997171.018272676,2997164.167550351,2997152.2053441135,2997147.892867266,2997114.1390704014
2012-12-26,2984187.329808702,2984115.945325752,2984102.668272676,2984113.3675503507,2984118.1553441137,2984140.392867266,2984195.0390704013
2012-12-27,2990231.329808702,2990196.445325752,2990194.668272676,2990197.217550351,2990195.8553441134,2990204.4428672665,2990217.4890704015
2012-12-28,3010781.3176259096,3010718.674489413,3010681.3353351145,3010634.475795674,3010610.1417048043,3010587.5184227675,3010495.367951872
