date,nav_base_e16_e18_e22_v2s,nav_blend_e45_a05,nav_blend_e45_a08,nav_blend_e45_a10,nav_blend_e45_a12,nav_blend_e45_a15,nav_blend_e45_a25
2013-01-02,3039526.611818147,3039425.794310285,3039364.872218189,3039320.570367771,3039165.6417048043,3039172.2684227675,3039034.6679518716
2013-01-03,3049647.661818147,3049563.7943102852,3049515.122218189,3049472.4203677718,3049031.9917048044,3049019.4684227672,3048905.217951872
2013-01-04,3022345.9118181467,3022327.744310285,3022333.272218189,3022324.9203677718,3022317.191704804,3022289.268422767,3022175.7179518715
2013-01-07,3009755.111818147,3009722.8943102853,3009720.072218189,3009724.2703677714,3009968.4917048044,3009980.4184227674,3009825.3179518715
2013-01-08,3010306.411818147,3010232.3943102853,3010221.672218189,3010221.7203677716,3010445.2417048044,3010390.6684227674,3010195.867951872
2013-01-09,3006132.8118181466,3006082.894310285,3006094.472218189,3006104.2703677714,3006112.5331607233,3006044.73286967,3005991.6679518716
2013-01-10,3048712.1618181467,3048615.944310285,3048590.322218189,3048583.320367771,3048698.3831607234,3048585.28286967,3048035.6179518714
2013-01-11,3050115.261818147,3049993.444310285,3049952.922218189,3049934.6703677718,3050142.9831607235,3050023.8328696704,3049287.4679518715
2013-01-14,3049536.6618181467,3049417.244310285,3049395.622218189,3049392.2203677716,3049553.2831607233,3049387.78286967,3048668.3179518715
2013-01-15,3036499.911818147,3036433.6443102853,3036433.572218189,3036426.570367771,3036546.3831607234,3036403.08286967,3035859.4179518716
2013-01-16,3015864.811818147,3015811.4943102854,3015825.8722181893,3015834.7703677714,3015881.233160724,3015774.13286967,3015485.2679518717
2013-01-17,2995458.611818147,2995514.594310285,2995573.772218189,2995584.670367771,2995532.3331607236,2995474.33286967,2995607.5679518715
2013-01-18,3023616.6618181467,3023538.0943102855,3023540.222218189,3023551.120367772,3023447.2331607235,3023334.88286967,3023228.0179518717
2013-01-21,3019687.1618181467,3019658.5443102852,3019666.422218189,3019662.320367771,3019526.8831607234,3019443.38286967,3019518.8179518715
2013-01-22,3033840.5910333255,3033765.6177226743,3033769.248338614,3033776.031242123,3033721.591955729,3033601.89964237,3033400.384310749
2013-01-23,3030558.73620792,3030486.740308561,3030499.3495262363,3030496.7812481895,3030400.207695208,3030252.114946602,3030079.028871681
2013-01-24,3010087.502604444,3010191.240308561,3010203.3495262363,3010209.1812481894,3010199.9576952085,3010133.064946602,3010117.0788716814
2013-01-25,2999924.102604444,3000210.3903085613,3000315.1995262364,3000376.8812481896,3000350.657695208,3000274.4149466017,3000212.278871681
2013-01-28,3034541.252604444,3034470.838672348,3034552.2162169754,3034611.1250627534,3034557.4178301706,3034421.0831951187,3034012.8179128906
2013-01-29,3054511.7526044436,3054070.2386723477,3054118.016216975,3054178.625062753,3054171.067830171,3054062.3831951185,3053614.8679128904
2013-01-30,3058035.2026044438,3057535.088672348,3057600.966216975,3057665.1750627533,3057660.9178301706,3057555.183195119,3057101.91791289
2013-01-31,3082630.552604444,3082196.788672348,3082252.3662169753,3082317.575062753,3082208.6678301706,3081998.1331951185,3081226.8679128904
2013-02-01,3089401.9526044438,3088833.938672348,3088923.416216975,3088990.0250627534,3088906.1678301706,3088731.883195119,3088085.0679128906
2013-02-04,3179575.402604444,3179113.2386723477,3179363.7162169754,3179541.6750627533,3179456.967830171,3179249.3831951185,3178082.8679128904
2013-02-05,3163994.352604444,3163529.2386723477,3163768.1162169753,3163929.8750627534,3163938.867830171,3163817.183195119,3162834.4679128905
2013-02-06,3182403.902604444,3181788.888672348,3182021.4662169754,3182207.225062753,3182278.367830171,3182174.633195119,3180960.7679128903
2013-02-18,3186715.902604444,3185899.638672348,3186079.7162169754,3186253.6250627534,3186438.5178301707,3186403.533195119,3185052.91791289
2013-02-19,3174343.302604444,3173478.538672348,3173680.916216975,3173868.3750627534,3174145.7678301707,3174185.433195119,3172939.9679128905
2013-02-20,3220034.802604444,3218882.188672348,3219065.466216975,3219222.7750627534,3219428.167830171,3219417.3331951187,3218033.4679128905
2013-02-21,3177377.552604444,3176383.838672348,3176587.1162169753,3176744.875062753,3176998.2678301707,3177040.9831951186,3175906.4679128905
2013-02-22,3174107.502604444,3173226.588672348,3173415.8662169753,3173586.325062753,3173959.967830171,3174093.8331951187,3173051.8679128904
2013-02-23,3199965.302604444,3198933.788672348,3199044.266216975,3199189.075062753,3199494.5178301707,3199555.283195119,3198271.1179128904
2013-02-25,3171472.2026044438,3170391.4886723477,3170459.566216975,3170578.4250627533,3170936.067830171,3171047.0331951184,3169944.96791289
2013-02-26,3158699.0026044436,3157943.9886723477,3158053.066216975,3158177.975062753,3158497.0178301707,3158596.3831951185,3157622.6179128904
2013-02-27,3154612.852604444,3153830.438672348,3153911.316216975,3154036.325062753,3154326.2678301707,3154378.0831951187,3153213.0679128906
2013-03-01,3175513.002604444,3174747.888672348,3174917.8662169753,3175087.725062753,3175347.717830171,3175372.883195119,3174100.2179128905
2013-03-04,3125834.2026044438,3125347.9886723477,3125542.766216975,3125686.325062753,3125801.9178301706,3125746.933195119,3124727.8179128906
2013-03-05,3154621.0526044443,3153949.788672348,3154166.166216975,3154317.9750627535,3154359.717830171,3154235.4831951186,3152991.1179128904
2013-03-06,3150525.352604444,3149665.788672348,3149880.266216975,3150013.6750627533,3150045.067830171,3149929.9831951186,3148835.7679128903
2013-03-07,3155842.652604444,3155032.288672348,3155260.3662169753,3155402.1250627534,3155448.067830171,3155350.433195119,3154304.4679128905
2013-03-08,3206066.052604444,3205081.2386723477,3205248.716216975,3205384.575062753,3205434.867830171,3205309.0831951187,3203909.66791289
2013-03-11,3200670.752604444,3199644.838672348,3199843.6162169753,3199990.725062753,3200048.617830171,3199933.6331951185,3198590.6179128904
2013-03-12,3174351.2026044438,3173452.038672348,3173592.3162169755,3173727.825062753,3173895.0178301707,3173860.3831951185,3172633.0179128903
2013-03-13,3173349.552604444,3172337.238672348,3172412.016216975,3172506.6750627533,3172591.967830171,3172496.133195119,3171246.8679128904
2013-03-14,3167570.652604444,3166545.0008739233,3166686.5626778044,3166796.471347869,3166861.996406108,3166761.331281574,3165580.02368194
2013-03-15,3163519.352604444,3162585.4508739235,3162751.1126778047,3162912.771347869,3162955.6964061083,3162800.4812815743,3161322.12368194
2013-03-18,3113333.652604444,3112395.150873923,3112586.7126778048,3112738.421347869,3112879.8464061082,3112860.9812815743,3111898.8236819403
2013-03-19,3111702.252604444,3110768.900873923,3110930.6626778045,3111071.2213478694,3111203.5464061084,3111170.331281574,3110139.4236819404
2013-03-20,3095132.052604444,3094183.150873923,3094386.6126778047,3094547.071347869,3094755.5464061084,3094799.531281574,3093948.3236819403
2013-03-21,3092649.002604444,3091739.0008739233,3091920.1126778047,3092080.8713478693,3092326.5464061084,3092391.781281574,3091520.77368194
2013-03-22,3078175.652604444,3077320.650873923,3077495.6126778047,3077655.421347869,3077896.8964061085,3077963.9812815743,3077130.27368194
2013-03-25,3122505.402604444,3121427.050873923,3121586.2626778046,3121724.921347869,3121936.9464061083,3121967.831281574,3121009.12368194
2013-03-26,3111055.2526044436,3110053.6008739234,3110258.362677804,3110414.221347869,3110704.0964061082,3110818.9812815743,3110094.8236819403
2013-03-27,3136473.152604444,3135285.2508739233,3135430.6126778047,3135554.9713478694,3135796.3964061085,3135852.8812815743,3134934.12368194
2013-03-28,3127803.252604444,3126606.7508739233,3126752.7126778048,3126880.171347869,3127183.8464061082,3127297.781281574,3126494.47368194
2013-03-29,3141543.7026044438,3140420.0508739236,3140529.1626778045,3140640.821347869,3140956.3964061085,3141069.7312815743,3140221.5736819403
2013-04-01,3129103.852604444,3128069.6008739234,3128177.4626778048,3128304.171347869,3128672.1964061083,3128826.1312815743,3128018.02368194
2013-04-02,3120299.252604444,3119282.800873923,3119388.7626778046,3119504.421347869,3119813.0964061082,3119931.3812815743,3119162.02368194
2013-04-03,3133536.002604444,3132445.150873923,3132543.2626778046,3132649.221347869,3132909.8964061085,3132979.431281574,3132077.0736819403
2013-04-08,3050635.2026044438,3049747.9508739235,3049921.062677805,3050048.421347869,3050371.6464061085,3050560.431281574,3050241.72368194
2013-04-09,3054121.302604444,3053215.3008739236,3053438.8126778044,3053583.3713478693,3053834.2464061086,3053964.331281574,3053562.02368194
2013-04-10,3053488.052604444,3052575.300873923,3052824.7626778046,3052963.021347869,3053168.7464061086,3053274.731281574,3052908.72368194
2013-04-11,3066277.902604444,3065341.2508739233,3065525.2626778046,3065603.0713478695,3065707.2964061084,3065743.031281574,3065373.0236819405
2013-04-12,3058710.602604444,3057822.1008739234,3058013.2126778048,3058091.421347869,3058223.2464061086,3058292.181281574,3058037.22368194
2013-04-15,3043632.902604444,3042685.9508739235,3042889.9626778048,3042962.271347869,3043092.5464061084,3043184.9812815743,3043113.4236819404
2013-04-16,3037470.302604444,3036612.5008739233,3036790.5126778046,3036870.271347869,3037106.9464061083,3037277.931281574,3037271.52368194
2013-04-17,3005279.052604444,3004684.200873923,3004930.1626778045,3005046.021347869,3005331.1464061085,3005561.831281574,3005766.02368194
2013-04-18,3006173.9135854496,3005722.1008739234,3005947.6126778047,3006056.9713478694,3006309.7964061084,3006505.2312815743,3006415.8386725085
2013-04-19,3051916.96358545,3051119.900873923,3051270.2126778048,3051356.0713478695,3051578.9964061086,3051708.281281574,3051461.8886725083
2013-04-22,3056386.7305655554,3055479.050354064,3055666.1234126356,3055744.7374077467,3055899.2748575304,3055987.944702407,3056065.938672508
2013-04-23,3061554.4805655554,3060130.7657457767,3060274.292127967,3060353.561506345,3060582.5043694847,3060712.3045873623,3060600.138173625
2013-04-24,3075762.431819301,3074516.7657457767,3074606.2421279666,3074657.661506345,3074816.854369485,3074870.904587363,3074578.888173625
2013-04-25,3068917.9818193014,3067649.4157457766,3067786.542127967,3067847.9615063453,3068030.6543694846,3068124.154587363,3067972.0381736252
2013-04-26,3061696.8818193013,3060345.9157457766,3060482.9921279666,3060542.711506345,3060832.2043694844,3061025.8545873626,3061035.588173625
2013-04-29,3062504.3818193013,3061103.215745777,3061166.792127967,3061208.861506345,3061544.7043694844,3061765.754587363,3061704.088173625
2013-04-30,3082119.081819301,3080651.4157457766,3080667.4921279666,3080694.861506345,3081071.6043694844,3081306.054587363,3081169.938173625
2013-05-02,3095976.0818193015,3094564.4157457766,3094625.2421279666,3094668.961506345,3094949.9543694844,3095091.654587363,3094726.7881736252
2013-05-03,3108203.431819301,3106806.865745777,3106847.9921279666,3106890.511506345,3107143.2043694844,3107244.1045873626,3106722.138173625
2013-05-06,3108441.3318193015,3107022.365745777,3107112.3921279665,3107142.761506345,3107250.4043694846,3107258.404587363,3106765.338173625
2013-05-07,3109988.681819301,3108534.5157457767,3108594.6421279665,3108613.811506345,3108749.1543694846,3108772.654587363,3108278.688173625
2013-05-08,3127395.1818193016,3125843.715745777,3125848.042127967,3125847.161506345,3126006.6543694846,3126030.654587363,3125392.488173625
2013-05-09,3136229.1318193013,3134618.5657457765,3134611.0921279667,3134595.761506345,3134729.0043694847,3134728.7045873627,3134028.3881736253
2013-05-10,3131011.1818193016,3129427.3157457765,3129393.692127967,3129384.761506345,3129590.8043694845,3129641.8545873626,3128965.888173625
2013-05-13,3114407.581819301,3112879.215745777,3112889.1421279665,3112907.561506345,3113139.0543694845,3113222.2545873625,3112609.488173625
2013-05-14,3115873.0818193015,3114373.615745777,3114425.442127967,3114466.411506345,3114742.9543694844,3114866.3545873626,3114324.0381736252
2013-05-15,3145295.4318193016,3143705.0657457765,3143693.942127967,3143699.261506345,3143877.6543694846,3143903.404587363,3143049.188173625
2013-05-16,3194868.281819301,3193239.3157457765,3193190.7421279666,3193171.911506345,3193262.854369485,3193165.8545873626,3191952.888173625
2013-05-17,3188050.681819301,3186446.8157457765,3186399.2421279666,3186381.811506345,3186499.2543694847,3186431.3545873626,3185335.388173625
2013-05-20,3187669.531819301,3186129.2657457767,3186114.3421279667,3186098.2115063453,3186077.8543694844,3185902.304587363,3184719.5381736252
2013-05-21,3183554.931819301,3181993.865745777,3182014.942127967,3182014.3115063454,3182106.5543694845,3182037.304587363,3181066.238173625
2013-05-22,3188863.7318193014,3187262.465745777,3187248.442127967,3187227.761506345,3187324.3543694844,3187255.5045873625,3186297.7881736252
2013-05-23,3131148.331819301,3129678.1657457766,3129756.1421279665,3129782.311506345,3129923.6543694846,3129948.0045873625,3129352.888173625
2013-05-24,3112344.9427692373,3110741.7702854546,3110746.9929056703,3110737.7242886736,3110868.012503287,3110909.4494464146,3110307.6725779306
2013-05-27,3143657.3427692372,3141997.0702854544,3141942.89290567,3141899.024288674,3141928.812503287,3141864.949446414,3140994.1725779306
2013-05-28,3143052.2927692374,3141514.620285454,3141574.94290567,3141581.4742886736,3141643.512503287,3141606.549446414,3140873.4725779304
2013-05-29,3162906.770131795,3161227.5888344543,3161187.5408666134,3161135.286207046,3161485.4125032867,3161406.9494464146,3160565.372577931
2013-05-30,3120186.720131795,3118370.0388344545,3118258.5408666134,3118148.1862070463,3118739.3125032866,3118714.3494464145,3117309.1604055744
2013-05-31,3152253.1201317953,3150288.988834454,3150125.4408666138,3149958.5362070464,3150518.1625032867,3150396.3994464143,3148702.3104055747
2013-06-03,3106232.570131795,3104375.888834454,3104293.9408666138,3104172.4362070463,3104625.512503287,3104596.5994464145,3102773.9052574825
2013-06-04,3096993.1318109278,3095135.727140284,3095023.3426671927,3094897.4132391973,3095458.762503287,3095469.7494464144,3093700.3552574823
2013-06-05,3090951.431810927,3089108.527140284,3089053.142667193,3088957.163239197,3089767.362503287,3089899.949446414,3088322.5552574825
2013-06-06,3061264.1318109273,3059487.927140284,3059441.7426671926,3059359.163239197,3060233.5625032866,3060387.049446414,3058794.555257482
2013-06-07,3071505.5818109275,3069690.027140284,3069596.6426671925,3069489.4632391967,3070397.1625032867,3070487.799446414,3068699.255257482
2013-06-10,3090407.7318109274,3088727.527140284,3088692.8926671925,3088631.263239197,3089589.062503287,3089632.481739252,3087595.255257482
2013-06-11,3077557.4818109274,3075819.7271402837,3075778.8426671927,3075707.413239197,3076632.6770426095,3076771.581739252,3074884.4052574825
2013-06-13,3023310.031810927,3021698.277140284,3021722.792667193,3021691.413239197,3022909.1270426093,3023081.231739252,3021276.4552574824
2013-06-14,3019680.6318109273,3018142.877140284,3018212.492667193,3018217.413239197,3019268.527042609,3019476.331739252,3018067.0552574825
2013-06-17,3028439.8818109273,3026899.3771402836,3026952.3426671927,3026954.013239197,3027643.648552785,3028162.4317392516,3026728.9552574824
2013-06-18,3040350.946345537,3038752.58075116,3038818.2258177325,3038816.6866201,3039804.766850511,3040024.740644715,3038840.2365083923
2013-06-19,3028288.946345537,3026716.1807511603,3026819.3758177324,3026833.4866200997,3027752.5668505114,3028040.990644715,3026902.136508392
2013-06-20,3007385.246345537,3005915.73075116,3005996.1258177324,3006010.3866200997,3006923.066850511,3007031.590644715,3005687.136508392
2013-06-21,2982534.146345537,2981342.4307511603,2981525.1758177322,2981607.5866201,2982364.866850511,2982799.040644715,2981254.2365083923
2013-06-24,2969352.046345537,2967967.83075116,2968071.3758177324,2968109.0866201,2969001.166850511,2969336.290644715,2968194.836508392
2013-06-25,2948578.746345537,2947339.33075116,2947479.825817732,2947548.1866201,2948610.166850511,2948785.2906447146,2947746.036508392
2013-06-26,2976501.739238499,2975291.150765233,2975442.6906611943,2975525.7500051144,2976873.0488037746,2976913.5624780054,2975994.322188341
2013-06-27,2984409.386252977,2983283.7103465414,2983499.632457344,2983613.342761387,2984943.170929535,2984965.2355373264,2984008.8831896842
2013-06-28,3058220.986252977,3056918.0603465415,3056959.7824573442,3056983.042761387,3058331.920929535,3058102.135537327,3056804.5831896844
2013-07-01,3042769.936252977,3041646.8603465413,3041816.132457344,3041906.342761387,3043201.270929535,3043091.8355373265,3041736.3831896842
2013-07-02,3043539.336252977,3042445.5603465415,3042619.132457344,3042721.742761387,3044042.370929535,3043919.7355373264,3042563.3831896842
2013-07-03,3033759.386252977,3032770.6103465417,3032976.0324573442,3033101.342761387,3034417.870929535,3034313.7355373264,3032995.194150875
2013-07-04,3033197.436252977,3032267.0103465416,3032510.382457344,3032643.792761387,3033862.620929535,3033629.4855373264,3032081.6441508746
2013-07-05,3049715.486252977,3048633.4603465414,3048838.182457344,3048940.342761387,3050206.4209295353,3049914.6355373263,3048274.5441508745
2013-07-08,3033304.636252977,3032240.760346541,3032437.232457344,3032536.092761387,3033800.5709295347,3033490.0855373265,3032169.0941508748
2013-07-09,3067464.786252977,3066711.0603465415,3067050.082457344,3067245.1927613867,3068553.2209295346,3068466.8855373263,3066610.3941508746
2013-07-10,3094392.636252977,3093445.1603465416,3093661.5324573442,3093768.942761387,3094888.770929535,3094493.6855373266,3091581.3441508748
2013-07-11,3143010.786252977,3141645.6103465417,3141607.932457344,3141556.342761387,3142510.370929535,3141756.7855373262,3137387.8941508746
2013-07-12,3157246.236252977,3155960.5103465416,3155995.382457344,3155984.142761387,3157000.920929535,3156363.9855373264,3151941.0941508748
2013-07-15,3168146.736252977,3166944.6603465416,3166998.0324573442,3167009.392761387,3168076.370929535,3167494.1855373266,3162961.2941508745
2013-07-16,3170139.3735563545,3168769.2268683887,3168831.7824573442,3168797.742761387,3169852.020929535,3169212.1855373266,3164611.9441508744
2013-07-17,3194495.41977277,3193175.571153886,3192975.689601335,3192972.89426251,3193996.653580036,3193423.141983046,3188542.9748617774
2013-07-18,3194184.2600134937,3193002.805483611,3192782.7980522555,3192804.9360045223,3193886.6340890704,3193426.627894824,3188646.1925782417
2013-07-19,3174583.210013494,3173191.505483611,3172915.348052256,3172906.586004522,3173935.7340890705,3173362.027894824,3168748.592578242
2013-07-22,3184511.640969605,3183183.3533852925,3182736.5330820857,3182662.370104043,3183654.112595337,3183067.951351726,3178157.1482974933
2013-07-23,3213114.0502701458,3212165.4533852926,3211729.583082086,3211688.570104043,3212714.162595337,3212049.751351726,3206743.0982974935
2013-07-24,3203815.0932714166,3202712.798883828,3202248.704677647,3202198.2393498775,3203191.8150491407,3202601.6958311046,3197423.7457256806
2013-07-25,3187729.8199346242,3186846.751915242,3186427.9493509047,3186410.395610934,3187451.572373242,3187084.1961723045,3182267.927327755
2013-07-26,3198164.2636966235,3197303.470406073,3196910.1351541015,3196901.9323160867,3197952.833429232,3197560.95626139,3192615.7488820604
2013-07-29,3189317.0509334095,3188296.734502536,3187816.2721416503,3187783.2298038853,3188798.5511301053,3188474.6511199544,3183565.2155426736
2013-07-30,3209062.6009334093,3207699.2845025356,3207077.92214165,3206958.579803885,3207832.0511301053,3207253.001119954,3201847.5155426734
2013-07-31,3190918.2009334094,3189804.234502536,3189373.72214165,3189347.579803885,3190347.101130105,3189917.701119954,3184994.4655426736
2013-08-01,3199333.5009334097,3197977.5345025356,3197278.2721416503,3197120.779803885,3197984.3011301053,3197340.0511199543,3191952.2155426736
2013-08-02,3226847.4911254095,3226050.134502535,3225019.2221416496,3224712.629803885,3225480.351130105,3224859.651119954,3218909.5155426734
2013-08-05,3230166.6168103577,3229569.8934155665,3228341.963768238,3227972.8708117492,3228698.3662132984,3228169.489313024,3222078.4603995592
2013-08-06,3196541.6668103575,3196074.2934155664,3195348.463768238,3195212.8208117494,3196135.8662132984,3195799.539313024,3190556.7603995595
2013-08-07,3172212.1668103575,3171380.9934155666,3171002.3137682383,3171008.6708117495,3172001.4662132985,3171580.589313024,3166805.6603995594
2013-08-08,3160337.9668103573,3159539.193415567,3158928.763768238,3158853.770811749,3159778.2662132983,3159282.239313024,3154386.0603995593
2013-08-09,3140308.0688882014,3139655.5351123256,3139102.2236107127,3139056.4383594333,3140033.257736976,3139665.6011773925,3135071.9751783814
2013-08-12,3160666.5188882016,3160266.0351123256,3159712.323610713,3159662.4383594333,3160705.857736976,3160421.9511773926,3155693.575178382
2013-08-13,3154739.8688882017,3154539.085112326,3154060.7736107125,3154023.9383594333,3155170.007736976,3154928.0511773927,3150386.975178382
2013-08-14,3154492.091088437,3153906.7671192214,3153880.7334505892,3154057.297977715,3155347.1173552573,3155124.741872709,3151065.7812550277
2013-08-15,3144957.841088437,3143997.4171192213,3143929.0334505895,3144072.1979777142,3145355.6173552573,3145146.191872709,3141192.081255028
2013-08-16,3151460.050022787,3150586.2053272873,3150278.37607149,3150306.136855032,3151500.4615034675,3151184.3050274537,3146915.406869149
2013-08-19,3147190.700022787,3146376.105327287,3146138.22607149,3146200.9868550324,3147448.511503468,3147246.505027454,3143136.2068691486
2013-08-20,3143094.5000227867,3142492.7053272873,3142270.52607149,3142336.036855032,3143586.9615034675,3143429.205027454,3139386.7068691486
2013-08-22,3135982.8530965014,3135852.2938235477,3135355.0784280133,3135292.902028915,3136513.303232081,3136502.2584234285,3132363.597136938
2013-08-23,3138723.1623311085,3138192.872896377,3137807.6363765514,3137817.5811781855,3139052.796132477,3138991.5246632206,3134968.6690454255
2013-08-26,3149204.862331108,3148598.2228963766,3148108.436376551,3148067.981178185,3149271.746132477,3149186.0246632206,3145031.769045425
2013-08-27,3141679.573911324,3140801.1394931846,3140061.1056899754,3139921.1717322064,3141054.3035160257,3140880.942588535,3136530.838062335
2013-08-28,3134985.7053364087,3134593.792997984,3134335.094838038,3134329.2878767946,3135615.193335353,3135580.225110042,3131757.50966313
2013-08-29,3140057.641993127,3140223.555925039,3140182.5951772374,3140266.9378312957,3141609.3697842886,3141635.9574221647,3137943.7166216993
2013-08-30,3176012.5107450914,3176290.60931094,3176449.326933041,3176630.1555514224,3178085.0073001925,3178098.5613979097,3174297.0169931524
2013-09-02,3171190.193136277,3171391.3774651205,3171273.51113872,3171302.5931303953,3172670.64759195,3172709.52897191,3168686.2167997207
2013-09-03,3200304.144730326,3201060.9641219685,3200990.230931804,3201060.5218610056,3202444.8772758297,3202620.198556397,3198247.5258512474
2013-09-04,3224807.9860912925,3224813.2163637704,3224136.7488930635,3223923.006924158,3225023.8884453545,3224834.444517562,3219598.427598803
2013-09-05,3232943.0768513368,3232504.257683176,3231899.8460568045,3231671.531272823,3232806.7080538594,3232524.594517562,3227406.777598803
2013-09-06,3228504.776851337,3227710.1576831765,3226947.8960568043,3226632.281272823,3227717.7580538597,3227249.194517562,3222063.027598803
2013-09-09,3225871.3268513368,3225393.4076831765,3224728.896056805,3224433.681272823,3225585.0580538595,3225217.344517562,3220193.177598803
2013-09-10,3249492.976851337,3249171.757683176,3248421.896056805,3248092.481272823,3249171.3080538595,3248387.685831868,3242993.45204491
2013-09-11,3255007.926851337,3254916.2076831763,3254235.2460568044,3253888.131272823,3255030.7080538594,3254441.585831868,3249111.8520449097
2013-09-12,3266374.876851337,3266418.5576831764,3265768.5960568045,3265410.6812728234,3266523.2080538594,3265813.4858318684,3260337.3520449097
2013-09-13,3259919.076851337,3259262.357683176,3258409.2460568044,3257974.131272823,3258993.0580538595,3257979.035831868,3252413.1020449097
2013-09-14,3246840.176851337,3246112.157683176,3245353.2460568044,3244992.031272823,3246058.4580538594,3245043.985831868,3239693.70204491
2013-09-16,3287178.776851337,3286360.357683176,3285214.5460568047,3284642.3312728233,3285493.258053859,3284350.585831868,3278154.5020449096
2013-09-17,3293992.926851337,3292820.2076831763,3291820.1960568046,3291341.981272823,3292210.2080538594,3290899.035831868,3284769.70204491
2013-09-18,3281547.926851337,3280322.107683176,3279363.9960568044,3278935.481272823,3279798.10805386,3278571.8858318683,3272600.00204491
2013-09-23,3331373.526851337,3330001.7076831763,3328939.4960568044,3328431.381272823,3329157.7580538597,3327698.185831868,3321058.1020449097
2013-09-24,3330506.976851337,3329498.857683176,3328197.0460568047,3327576.3312728233,3328228.3080538595,3326828.6358318683,3319883.5020449096
2013-09-25,3333480.8771133586,3332485.688211364,3331268.043385333,3330694.3313053176,3331376.7805234953,3330221.3779863906,3323387.182606428
2013-09-26,3278672.2771133585,3278353.288211364,3277417.0933853327,3276986.9813053175,3277850.480523495,3277074.9279863904,3271006.9826064273
2013-09-27,3308731.4450623775,3307719.0539750466,3306253.370560009,3305584.2673863005,3306210.7747997507,3305505.8779863906,3298633.582606428
2013-09-30,3270237.4450623775,3269004.9539750465,3267937.520560009,3267486.1173863006,3268254.6247997503,3267645.6779863904,3261531.5826064274
2013-10-01,3276545.8950623777,3275464.9039750462,3274184.470560009,3273627.1673863004,3274304.17479975,3273641.4779863907,3267181.7826064276
2013-10-02,3260126.2950623776,3259355.0039750463,3258440.870560009,3257995.3173863003,3258857.7247997504,3258178.8279863903,3252318.882606427
2013-10-03,3330843.1950623775,3330271.3539750464,3328663.270560009,3327879.5673863003,3328446.1247997503,3327118.6779863904,3319940.3826064277
2013-10-04,3338240.7950623776,3337162.2539750463,3335201.2705600094,3334277.0673863003,3334694.02479975,3333148.3779863906,3325605.4826064277
2013-10-07,3334817.0950623774,3333626.7539750463,3331617.420560009,3330704.1173863,3331111.17479975,3329771.2779863905,3322203.4826064273
2013-10-08,3356043.7950623776,3354722.8539750464,3352743.8705600095,3351827.1173863006,3352178.1747997506,3350156.0279863905,3342586.2826064276
