date,nav_base,nav_blend_e45_a05,rel_blend_vs_base
2012-12-04,500000000.0,500000000.0,1.0
2012-12-05,500940511.21989167,500940511.21989167,1.0
2012-12-06,500770541.429113,500770541.429113,1.0
2012-12-07,500852741.45812535,500852741.45812535,1.0
2012-12-10,497491009.79208136,497490837.4275276,0.9999996535323245
2012-12-11,498186597.36229795,498186273.5669906,0.999999350052151
2012-12-12,503535191.01925147,503518578.9722691,0.9999670091638506
2012-12-13,505377891.01925147,505356078.9722691,0.9999568401242517
2012-12-14,504783741.01925147,504762678.9722691,0.9999582751081882
2012-12-17,501825091.01925147,501813578.9722691,0.9999770596425162
2012-12-18,502621675.5928233,502608041.94313246,0.9999728749269025
2012-12-19,504288125.5928233,504268541.94313246,0.9999611657528762
2012-12-20,498480225.5928233,498481091.94313246,1.0000017379833033
2012-12-21,492143625.5928233,492166791.94313246,1.0000470723364165
2012-12-22,493220825.5928233,493241041.94313246,1.0000409884361328
2012-12-24,493777125.5928233,493794391.94313246,1.0000349679023475
2012-12-25,499531575.5928233,499528841.94313246,0.9999945275737823
2012-12-26,497343425.5928233,497346041.94313246,1.000005260651241
2012-12-27,498361225.5928233,498363741.94313246,1.000005049249781
2012-12-28,501802813.685703,501794232.6985656,0.999982899683096
2013-01-02,506629213.685703,506604582.6985656,0.9999513826157829
2013-01-03,508294163.685703,508263332.6985656,0.9999393442039275
2013-01-04,503777113.685703,503760432.6985656,0.9999668881600926
2013-01-07,501688063.685703,501678282.6985656,0.9999805038472203
2013-01-08,501751363.685703,501742482.6985656,0.999982300023916
2013-01-09,501035563.685703,501029632.6985656,0.9999881625426073
2013-01-10,508149513.685703,508121832.6985656,0.999945525900563
2013-01-11,508360913.685703,508331932.6985656,0.9999429913151126
2013-01-14,508255863.685703,508227782.6985656,0.9999447502938111
2013-01-15,506087763.685703,506067132.6985656,0.999959234368784
2013-01-16,502640763.685703,502629432.6985656,0.9999774570867387
2013-01-17,499278213.685703,499277282.6985656,0.9999981353339443
2013-01-18,503953663.685703,503939332.6985656,0.999971562887285
2013-01-21,503325613.685703,503313432.6985656,0.9999757989921312
2013-01-22,505675194.40159565,505653155.42382604,0.9999564167315035
2013-01-23,505116686.70106477,505097536.23375857,0.9999620870428351
2013-01-24,501744636.7010648,501738386.2337586,0.9999875425328962
2013-01-25,500074886.7010648,500065286.2337586,0.9999808019407462
2013-01-28,505781661.2609667,505747768.55020845,0.9999329894431646
2013-01-29,509091561.2609667,509044718.55020845,0.9999079876503114
2013-01-30,509678411.2609667,509633218.55020845,0.9999113309299359
2013-01-31,513760011.2609667,513685618.55020845,0.9998551994917322
2013-02-01,514910661.2609667,514847718.55020845,0.9998777599387744
2013-02-04,530102961.2609667,529986718.55020845,0.9997807167300448
2013-02-05,527521461.2609667,527427968.55020845,0.9998227698442168
2013-02-06,530585611.2609667,530471818.55020845,0.9997855337416938
2013-02-18,531266161.2609668,531154918.55020857,0.9997906083261652
2013-02-19,529216161.2609667,529119318.55020845,0.9998170072687736
2013-02-20,536823711.2609667,536713168.55020845,0.9997940800519064
2013-02-21,529708361.2609667,529627568.55020845,0.9998474769955189
2013-02-22,529227311.2609667,529148418.55020845,0.9998509284969245
2013-02-23,533492111.2609667,533384718.55020845,0.9997986985964902
2013-02-25,528707011.2609667,528620218.55020845,0.9998358396826414
2013-02-26,526624011.2609667,526549418.55020845,0.9998583567988485
2013-02-27,525887461.2609667,525798718.55020845,0.9998312515180615
2013-03-01,529413611.2609667,529313968.55020845,0.9998117866472663
2013-03-04,521076311.2609667,521007768.55020845,0.9998684593613699
2013-03-05,525848311.2609667,525761168.55020845,0.9998342816571013
2013-03-06,525143611.2609667,525068618.55020845,0.9998571958048234
2013-03-07,526065711.2609667,525990768.55020845,0.9998575411604406
2013-03-08,534446161.2609667,534332368.55020845,0.9997870829299442
2013-03-11,533546061.2609667,533438968.55020845,0.9997992812269944
2013-03-12,529166361.2609667,529069418.55020845,0.9998168010707875
2013-03-13,528934861.2609667,528834168.55020845,0.9998096311698604
2013-03-14,527964835.14796597,527883058.83252674,0.9998451102990291
2013-03-15,527224802.86308163,527153958.83252674,0.9998656284185224
2013-03-18,518936402.86308163,518862608.83252674,0.9998577975448479
2013-03-19,518633152.86308163,518559108.83252674,0.9998572323613596
2013-03-20,515914702.86308163,515840008.83252674,0.999855220194074
2013-03-21,515506252.86308163,515431208.83252674,0.9998544265367527
2013-03-22,513088802.86308163,513012908.83252674,0.9998520840249653
2013-03-25,520461202.86308163,520388058.83252674,0.9998594630490178
2013-03-26,518637752.86308163,518563358.83252674,0.9998565587828032
2013-03-27,522803102.86308163,522730658.83252674,0.999861431521431
2013-03-28,521388702.86308163,521315758.83252674,0.9998600966416143
2013-03-29,523699502.86308163,523626258.83252674,0.9998601411111631
2013-04-01,521649152.86308163,521575058.83252674,0.999857961945978
2013-04-02,520165852.86308163,520091358.83252674,0.9998567879261108
2013-04-03,522327302.86308163,522253758.83252674,0.9998591993369832
2013-04-08,508598902.86308163,508520758.83252674,0.9998463543076578
2013-04-09,509152852.86308163,509075558.83252674,0.9998481909113928
2013-04-10,509042152.86308163,508964608.83252674,0.9998476667794234
2013-04-11,511141802.86308163,511063908.83252674,0.9998476077868831
2013-04-12,509916152.86308163,509837458.83252674,0.9998456726069315
2013-04-15,507418102.86308163,507339058.83252674,0.9998442230773619
2013-04-16,506440752.86308163,506360758.83252674,0.9998420466163067
2013-04-17,501156552.86308163,501073908.83252674,0.999835093385325
2013-04-18,501293352.86308163,501211058.83252674,0.9998358365813452
2013-04-19,508830352.86308163,508748008.83252674,0.999838169971403
2013-04-22,509552992.8824362,509485933.5247865,0.9998683957143095
2013-04-23,510423242.8824362,510360483.5247865,0.999877044475296
2013-04-24,512813842.8824362,512718883.5247865,0.9998148268441507
2013-04-25,511665142.8824362,511583283.5247865,0.9998400138082719
